Number,Type,Name,Registration Point,Filename
1,field,System Props,"(0, 0)",
2,field,System Texts,"(0, 0)",
3,script,Event Broker Behavior,"(0, 0)",
4,script,Client Initialization Script,"(0, 0)",
5,script,javascriptLog,"(0, 0)",
6,script,Object API,"(0, 0)",
7,script,Error API,"(0, 0)",
8,script,Core Thread API,"(0, 0)",
9,script,Resource API,"(0, 0)",
10,script,CastLoad  API,"(0, 0)",
11,script,Download API,"(0, 0)",
12,script,Connection API,"(0, 0)",
13,script,Sprite API,"(0, 0)",
14,script,Timeout API,"(0, 0)",
15,script,Text API,"(0, 0)",
16,script,String Services API,"(0, 0)",
17,script,Visualizer API,"(0, 0)",
18,script,Window API,"(0, 0)",
19,script,Broker Manager API,"(0, 0)",
20,script,Variable API,"(0, 0)",
21,script,Write API,"(0, 0)",
22,script,Binary API,"(0, 0)",
23,script,Special Services API,"(0, 0)",
24,script,Multiuser API,"(0, 0)",
25,script,DropDown Class,"(0, 0)",
26,script,Manager Template Class,"(0, 0)",
27,script,Object Manager Class,"(0, 0)",
28,script,Error Manager Class,"(0, 0)",
29,script,Thread Manager Class,"(0, 0)",
30,script,Resource Manager Class,"(0, 0)",
31,script,Download Manager Class,"(0, 0)",
32,script,CastLoad Manager Class,"(0, 0)",
33,script,Connection Manager Class,"(0, 0)",
34,script,Sprite Manager Class,"(0, 0)",
35,script,Timeout Manager Class,"(0, 0)",
36,script,Text Manager Class,"(0, 0)",
37,script,String Services Class,"(0, 0)",
38,script,Visualizer Manager Class,"(0, 0)",
39,script,Window Manager Class,"(0, 0)",
40,script,Broker Manager Class,"(0, 0)",
41,script,Method Manager Class,"(0, 0)",
42,script,Binary Manager Class,"(0, 0)",
43,script,Writer Manager Class,"(0, 0)",
44,script,Special Services Class,"(0, 0)",
45,script,Multiuser Manager Class,"(0, 0)",
46,script,Object Base Class,"(0, 0)",
47,script,Variable Container Class,"(0, 0)",
48,script,Download Instance Class,"(0, 0)",
49,script,CastLoad Instance Class,"(0, 0)",
50,script,CastLoad Task Class,"(0, 0)",
51,script,Connection Instance Class,"(0, 0)",
52,script,Multiuser Instance Class,"(0, 0)",
53,script,Layout Parser Class,"(0, 0)",
54,script,Visualizer Instance Class,"(0, 0)",
55,script,Window Instance Class,"(0, 0)",
56,script,Element Wrapper Class,"(0, 0)",
57,script,Grouped Element Class,"(0, 0)",
58,script,Unique Element Class,"(0, 0)",
59,script,Image Wrapper Class,"(0, 0)",
60,script,Text Wrapper Class,"(0, 0)",
61,script,Field Wrapper Class,"(0, 0)",
62,script,Pattern Wrapper Class,"(0, 0)",
63,script,Common Button Class,"(0, 0)",
64,script,Image Button Class,"(0, 0)",
65,script,Icon Button Class,"(0, 0)",
66,script,Scrollbar Class,"(0, 0)",
67,script,Event Agent Class,"(0, 0)",
68,script,Loading Bar Class,"(0, 0)",
69,script,Writer Class,"(0, 0)",
70,script,Thread Instance Class,"(0, 0)",
71,script,FPS Test Class,"(0, 0)",
72,script,RC4 Class,"(0, 0)",
73,field,thread.index,"(0, 0)",
74,script,Core Thread Class,"(0, 0)",
75,field,modal.window,"(0, 0)",
76,field,system.window,"(0, 0)",
77,field,empty.window,"(0, 0)",
78,field,error.window,"(0, 0)",
79,field,performance.window,"(0, 0)",
80,script,Visualizer Part Wrapper Class,"(0, 0)",
81,script,HttpCookie Instance Class,"(0, 0)",
82,script,CBigInt16,"(0, 0)",
83,script,JSBigInt,"(0, 0)",
84,script,JavaScript Proxy,"(0, 0)",
85,script,UTF8 To Locale Class,"(0, 0)",
86,script,tYy1rX5j7e4PLYJLER,"(0, 0)",
87,text,Shift JIS to Unicode map,"(0, 0)",
88,text,Windows-1251 to Unicode map,"(0, 0)",
89,bitmap,crap.fixer,"(0, 0)",
