Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Catalogue Interface Class,"(0, 0)",
4,script,Catalogue Component Class,"(0, 0)",
5,script,Catalogue Handler Class,"(0, 0)",
6,script,Product Preview Class,"(0, 0)",
7,script,Deal Preview Class,"(0, 0)",
8,script,Catalogue Loader Class,"(0, 0)",
9,script,Catalogue spaces Class,"(0, 0)",
10,script,Catalogue plasto Class,"(0, 0)",
11,script,Catalogue trophies Class,"(0, 0)",
12,script,Catalogue pets Class,"(0, 0)",
13,script,Catalogue pets2 Class,"(0, 0)",
14,script,Catalogue recycler Class,"(0, 0)",
15,script,Catalogue soundmachine Class,"(0, 0)",
16,script,Catalogue purse Class,"(0, 0)",
17,field,habbo_orderinfo_dialog.window,"(0, 0)",
18,field,habbo_orderinfo_gift_dialog.window,"(0, 0)",
19,field,habbo_orderinfo_nocredits.window,"(0, 0)",
20,field,habbo_orderinfo_cantbuycredits.window,"(0, 0)",
21,sound,naw_snd_cash_cat,"(0, 0)",
