Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,script,Club Interface Class,"(0, 0)",
3,script,Club Component Class,"(0, 0)",
4,script,Club Handler Class,"(0, 0)",
5,bitmap,badge HC1_old,"(-5, -3)",
6,bitmap,badge HC2_old,"(-5, -3)",
7,field,habbo_club_buy.window,"(0, 0)",
8,field,habbo_club_ended.window,"(0, 0)",
9,field,habbo_club_confirm.window,"(0, 0)",
10,field,habbo_club_status.window,"(0, 0)",
11,field,habbo_club_buy_jp.window,"(0, 0)",
17,bitmap,hc_timeline,"(93, 12)",
18,bitmap,hc_timearrow,"(10, 10)",
19,bitmap,hc_elapsedperiods,"(0, 0)",
20,bitmap,hc_ended,"(0, 0)",
21,bitmap,hc_continous_jp,"(0, 0)",
22,bitmap,habboclub_portier_sadface,"(8, 9)",
23,bitmap,habboclub_portier,"(16, 43)",
