Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
6,script,Login Interface Class,"(0, 0)",
7,script,Login Component Class,"(0, 0)",
8,script,Login Handler Class,"(0, 0)",
9,script,Login Subscript,"(0, 0)",
10,script,Login Subscript 2,"(0, 0)",
11,script,Opening Hours Interface Class,"(0, 0)",
12,script,Opening Hours Component Class,"(0, 0)",
13,script,Opening Hours Handler Class,"(0, 0)",
15,field,entry_bar.window,"(0, 0)",
16,field,habbo_forgottenpw.window,"(0, 0)",
17,field,habbo_forgotten2.window,"(0, 0)",
19,field,login_b.window,"(0, 0)",
20,field,login_c.window,"(0, 0)",
21,field,openhrs.window,"(0, 0)",
22,bitmap,openhrs_ill,"(0, 0)",
