Number,Type,Name,Registration Point,Filename
1,bitmap,corner_element,"(0, 0)",
2,bitmap,corner_element_shadow,"(0, -57)",
4,field,entry.visual,"(0, 0)",
8,palette,citybg_palette,"(0, 0)",
9,palette,environment_palette,"(0, 0)",
10,palette,hotel_palette,"(0, 0)",
11,bitmap,Habbo UK garden,"(0, 0)",
12,bitmap,Habbo UK tower,"(0, 0)",
13,bitmap,citybg_left,"(153, 156)",
14,bitmap,citybg_right,"(214, 160)",
15,shape,skyleft_shape,"(0, 0)",
16,shape,skyright_shape,"(0, 0)",
17,shape,box,"(0, 0)",
18,bitmap,hotel_topwindows1,"(25, 33)",
19,bitmap,hotel_topwindows2,"(44, 40)",
20,bitmap,hotel_bottomwindows1,"(29, 44)",
21,bitmap,hotel_bottomwindows_2,"(56, 106)",
22,bitmap,hotel_bottomwindows3,"(35, 34)",
23,script,Entry Cloud Class,"(0, 0)",
24,script,Entry Car Class,"(0, 0)",
25,bitmap,line_of_trees,"(0, 0)",
26,bitmap,car1,"(8, 7)",
27,bitmap,car2,"(9, 7)",
28,bitmap,bus1,"(12, 20)",
29,bitmap,bus2,"(16, 22)",
30,bitmap,cab1,"(10, 8)",
31,bitmap,cab2,"(11, 7)",
32,bitmap,cloud_0_left,"(21, 15)",
33,bitmap,cloud_0_right,"(21, 17)",
34,bitmap,cloud_1_left,"(10, 11)",
35,bitmap,cloud_1_right,"(10, 10)",
36,bitmap,cloud_2_left,"(7, 6)",
37,bitmap,cloud_2_right,"(7, 6)",
38,bitmap,cloud_3_left,"(3, 2)",
39,bitmap,cloud_3_right,"(3, 2)",
40,bitmap,hotel_flags1,"(10, 14)",
41,bitmap,hotel_flags2,"(10, 14)",
42,bitmap,hotel_flags3,"(10, 14)",
43,bitmap,hotel_flags4,"(10, 14)",
44,bitmap,hotel_flags5,"(10, 14)",
45,bitmap,hotel_flags6,"(10, 14)",
46,bitmap,light1,"(122, 95)",
