Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Friend List Interface Class,"(0, 0)",
4,script,Friend List Component Class,"(0, 0)",
5,script,Friend List Handler Class,"(0, 0)",
7,script,Friend List Container,"(0, 0)",
8,script,Friend Request List Container,"(0, 0)",
10,script,Friend List View Base,"(0, 0)",
11,script,Friend List Actions Base,"(0, 0)",
12,script,Friend Online List View,"(0, 0)",
13,script,Friend Offline List View,"(0, 0)",
14,script,Friend Request List View,"(0, 0)",
15,script,Friend Search Results View,"(0, 0)",
17,field,friends_list_offline.window,"(0, 0)",
18,field,friends_list_online.window,"(0, 0)",
19,field,friends_list_base.window,"(0, 0)",
20,field,friends_list_friend_requests.window,"(0, 0)",
21,field,friends_list_search.window,"(0, 0)",
23,bitmap,friend_list_highlighted_bar,"(0, 0)",
24,sound,con_message_sent,"(0, 0)",
25,sound,con_new_message,"(0, 0)",
31,script,Friend Infobox Class,"(0, 0)",
32,field,friendlist_userinfo.window,"(0, 0)",
33,bitmap,friend_list_action_bg,"(0, 0)",
34,bitmap,friend_list_requests_action_bg,"(0, 0)",
35,bitmap,friend_list_action_offline_bg,"(0, 0)",
36,bitmap,friend_list_online_bar,"(0, 0)",
37,bitmap,friend_list_dimmed_bar,"(0, 0)",
38,bitmap,friend_list_requests_bar,"(0, 0)",
39,bitmap,friend_list_search_bar,"(0, 0)",
40,bitmap,friend_list_drag,"(0, 0)",
41,bitmap,friend_list_minimize,"(0, 0)",
42,bitmap,friend_list_close,"(0, 0)",
43,bitmap,friend_list_light_bg,"(0, 0)",
44,bitmap,friend_list_shadow_top,"(0, 0)",
45,bitmap,friend_list_shadow_bottom,"(0, 0)",
46,bitmap,friend_list_bottom_left,"(0, 0)",
47,bitmap,friend_list_bottom_right,"(0, 0)",
48,bitmap,friend_list_bottom_middle,"(0, 0)",
49,bitmap,friend_list_top_left,"(0, 0)",
50,bitmap,friend_list_top_right,"(0, 0)",
51,bitmap,friend_list_top_middle,"(0, 0)",
52,bitmap,friends_preferences_button,"(0, 0)",
53,bitmap,friends_mini_mail_button_inactive,"(0, 0)",
54,bitmap,friends_mini_mail_button_active,"(0, 0)",
55,bitmap,friends_search_button,"(0, 0)",
56,bitmap,friends_home_icon,"(0, 0)",
57,bitmap,friends_mail_icon,"(0, 0)",
58,bitmap,friends_im_icon,"(0, 0)",
59,bitmap,friends_invite_icon,"(17, 10)",
60,bitmap,friends_dismiss_all_icon,"(0, 0)",
61,bitmap,friends_follow_icon,"(0, 0)",
62,bitmap,friends_mail_list_icon,"(-7, -3)",
63,bitmap,friends_addfriend_icon,"(8, 9)",
64,bitmap,friends_accept_all_icon,"(0, 0)",
65,bitmap,friends_cross_icon,"(0, 0)",
66,bitmap,friends_accept_request,"(0, 0)",
67,bitmap,friends_reject_request,"(0, 0)",
68,bitmap,friends_online_panel_bg,"(0, 0)",
69,bitmap,friends_offline_panel_bg,"(0, 0)",
70,bitmap,friends_request_panel_bg,"(0, 0)",
71,bitmap,search_tab_content_bar,"(0, 0)",
72,bitmap,search_button,"(0, 0)",
73,bitmap,search_lookingglass,"(0, 0)",
