Number,Type,Name,Registration Point,Filename
1,field,variable.index,"(0, 0)",
2,script,Human Class EX,"(0, 0)",
3,script,Swimmer Class EX,"(0, 0)",
4,script,Bot Object Class,"(0, 0)",
6,script,Bodypart Class EX,"(0, 0)",
7,script,Swimpart Class EX,"(0, 0)",
9,script,Figure Data Class,"(0, 0)",
11,script,Figure System Class,"(0, 0)",
12,script,Figure Preview Class,"(0, 0)",
13,script,Human Template Class,"(0, 0)",
15,script,Change Clothes Effect Class,"(0, 0)",
17,field,dance.1,"(0, 0)",
18,field,dance.2,"(0, 0)",
19,field,dance.3,"(0, 0)",
20,field,dance.4,"(0, 0)",
