Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_ca_1_0_0,"(-10, 25)",
2,bitmap,sh_std_ca_1_1_0,"(-12, 24)",
3,bitmap,sh_std_ca_1_2_0,"(-10, 23)",
4,bitmap,sh_std_ca_1_3_0,"(-10, 24)",
5,bitmap,sh_std_ca_1_7_0,"(-11, 25)",
6,bitmap,sh_lay_ca_1_2_0,"(2, 12)",
11,bitmap,sh_std_ca_2_0_0,"(-10, 25)",
12,bitmap,sh_std_ca_2_1_0,"(-12, 25)",
13,bitmap,sh_std_ca_2_2_0,"(-10, 23)",
14,bitmap,sh_std_ca_2_3_0,"(-11, 24)",
15,bitmap,sh_std_ca_2_7_0,"(-12, 25)",
16,bitmap,sh_lay_ca_2_2_0,"(3, 12)",
21,bitmap,sh_std_ca_3_0_0,"(-8, 26)",
22,bitmap,sh_std_ca_3_1_0,"(-9, 26)",
23,bitmap,sh_std_ca_3_2_0,"(-9, 25)",
24,bitmap,sh_std_ca_3_3_0,"(-9, 23)",
25,bitmap,sh_std_ca_3_7_0,"(-8, 26)",
26,bitmap,sh_lay_ca_3_2_0,"(4, 14)",
32,bitmap,sh_std_ca_4_1_0,"(-18, 22)",
33,bitmap,sh_std_ca_4_2_0,"(-15, 22)",
34,bitmap,sh_std_ca_4_3_0,"(-13, 22)",
36,bitmap,sh_lay_ca_4_2_0,"(-4, 11)",
41,bitmap,sh_std_ca_5_0_0,"(-10, 24)",
42,bitmap,sh_std_ca_5_1_0,"(-11, 24)",
43,bitmap,sh_std_ca_5_2_0,"(-9, 24)",
44,bitmap,sh_std_ca_5_3_0,"(-9, 24)",
45,bitmap,sh_std_ca_5_7_0,"(-12, 24)",
46,bitmap,sh_lay_ca_5_2_0,"(2, 12)",
52,bitmap,sh_std_ca_6_1_0,"(-20, 24)",
53,bitmap,sh_std_ca_6_2_0,"(-14, 24)",
54,bitmap,sh_std_ca_6_3_0,"(-11, 22)",
56,bitmap,sh_lay_ca_6_2_0,"(1, 12)",
61,bitmap,sh_std_ca_7_0_0,"(-10, 24)",
62,bitmap,sh_std_ca_7_1_0,"(-10, 24)",
63,bitmap,sh_std_ca_7_2_0,"(-9, 24)",
64,bitmap,sh_std_ca_7_3_0,"(-10, 24)",
65,bitmap,sh_std_ca_7_7_0,"(-11, 24)",
66,bitmap,sh_lay_ca_7_2_0,"(5, 12)",
71,bitmap,sh_std_ca_8_0_0,"(-10, 24)",
72,bitmap,sh_std_ca_8_1_0,"(-12, 25)",
73,bitmap,sh_std_ca_8_2_0,"(-10, 23)",
74,bitmap,sh_std_ca_8_3_0,"(-9, 24)",
75,bitmap,sh_std_ca_8_7_0,"(-11, 24)",
76,bitmap,sh_lay_ca_8_2_0,"(4, 13)",
81,bitmap,sh_std_ca_9_0_0,"(-10, 24)",
82,bitmap,sh_std_ca_9_1_0,"(-11, 23)",
