Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_ea_1_0_0,"(-19, 32)",
2,bitmap,sh_std_ea_1_1_0,"(-14, 31)",
3,bitmap,sh_std_ea_1_2_0,"(-10, 32)",
4,bitmap,sh_std_ea_1_3_0,"(-9, 30)",
5,bitmap,sh_lay_ea_1_2_0,"(8, 18)",
11,bitmap,sh_std_ea_2_0_0,"(-11, 31)",
12,bitmap,sh_std_ea_2_1_0,"(-11, 32)",
13,bitmap,sh_std_ea_2_2_0,"(-9, 33)",
14,bitmap,sh_std_ea_2_3_0,"(-10, 33)",
15,bitmap,sh_lay_ea_2_2_0,"(6, 17)",
21,bitmap,sh_std_ea_3_0_0,"(-18, 32)",
22,bitmap,sh_std_ea_3_1_0,"(-14, 31)",
23,bitmap,sh_std_ea_3_2_0,"(-10, 31)",
24,bitmap,sh_std_ea_3_3_0,"(-9, 29)",
25,bitmap,sh_lay_ea_3_2_0,"(7, 18)",
31,bitmap,sh_std_ea_4_0_0,"(-18, 31)",
32,bitmap,sh_std_ea_4_1_0,"(-14, 32)",
33,bitmap,sh_std_ea_4_2_0,"(-10, 32)",
34,bitmap,sh_std_ea_4_3_0,"(-10, 30)",
35,bitmap,sh_lay_ea_4_2_0,"(8, 17)",
41,bitmap,sh_std_ea_5_0_0,"(-18, 31)",
42,bitmap,sh_std_ea_5_1_0,"(-14, 32)",
43,bitmap,sh_std_ea_5_2_0,"(-10, 32)",
44,bitmap,sh_std_ea_5_3_0,"(-10, 30)",
45,bitmap,sh_lay_ea_5_2_0,"(8, 17)",
51,bitmap,sh_std_ea_6_0_0,"(-18, 31)",
52,bitmap,sh_std_ea_6_1_0,"(-14, 32)",
53,bitmap,sh_std_ea_6_2_0,"(-9, 33)",
54,bitmap,sh_std_ea_6_3_0,"(-10, 30)",
55,bitmap,sh_lay_ea_6_2_0,"(8, 17)",
