Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
11,bitmap,sh_std_fa_1_0_0,"(3, 45)",
12,bitmap,sh_std_fa_1_1_0,"(-21, 24)",
13,bitmap,sh_std_fa_1_2_0,"(-18, 22)",
14,bitmap,sh_std_fa_1_3_0,"(-15, 22)",
15,bitmap,sh_std_fa_1_7_0,"(1, 44)",
16,bitmap,sh_spk_fa_1_0_0,"(2, 45)",
17,bitmap,sh_spk_fa_1_1_0,"(-21, 23)",
18,bitmap,sh_spk_fa_1_2_0,"(-18, 21)",
19,bitmap,sh_spk_fa_1_3_0,"(-15, 22)",
20,bitmap,sh_spk_fa_1_7_0,"(0, 0)",
21,bitmap,sh_lay_fa_1_2_0,"(-3, 12)",
31,bitmap,sh_std_fa_2_0_0,"(-22, 30)",
32,bitmap,sh_std_fa_2_1_0,"(-22, 29)",
33,bitmap,sh_std_fa_2_2_0,"(-18, 26)",
34,bitmap,sh_std_fa_2_3_0,"(-15, 26)",
35,bitmap,sh_std_fa_2_7_0,"(0, 0)",
36,bitmap,sh_spk_fa_2_0_0,"(-23, 30)",
37,bitmap,sh_spk_fa_2_1_0,"(-22, 30)",
38,bitmap,sh_spk_fa_2_2_0,"(-18, 27)",
39,bitmap,sh_spk_fa_2_3_0,"(-15, 27)",
40,bitmap,sh_spk_fa_2_7_0,"(0, 0)",
41,bitmap,sh_lay_fa_2_2_0,"(0, 14)",
51,bitmap,sh_std_fa_3_0_0,"(-9, 34)",
52,bitmap,sh_std_fa_3_1_0,"(-8, 34)",
53,bitmap,sh_std_fa_3_2_0,"(-8, 32)",
54,bitmap,sh_std_fa_3_3_0,"(-9, 31)",
55,bitmap,sh_std_fa_3_7_0,"(-10, 29)",
56,bitmap,sh_spk_fa_3_0_0,"(-9, 35)",
57,bitmap,sh_spk_fa_3_1_0,"(-8, 35)",
58,bitmap,sh_spk_fa_3_2_0,"(-8, 33)",
59,bitmap,sh_spk_fa_3_3_0,"(-9, 32)",
60,bitmap,sh_spk_fa_3_7_0,"(-10, 30)",
61,bitmap,sh_lay_fa_3_2_0,"(10, 19)",
64,palette,s_gasmask Palette,"(0, 0)",
71,bitmap,sh_std_fa_4_0_0,"(-23, 28)",
72,bitmap,sh_std_fa_4_1_0,"(-18, 27)",
73,bitmap,sh_std_fa_4_2_0,"(-13, 28)",
74,bitmap,sh_std_fa_4_3_0,"(-9, 25)",
76,bitmap,sh_spk_fa_4_0_0,"(-23, 29)",
77,bitmap,sh_spk_fa_4_1_0,"(-18, 27)",
78,bitmap,sh_spk_fa_4_2_0,"(-13, 29)",
79,bitmap,sh_spk_fa_4_3_0,"(-9, 26)",
81,bitmap,sh_lay_fa_4_2_0,"(5, 15)",
91,bitmap,sh_std_fa_5_0_0,"(-20, 25)",
92,bitmap,sh_std_fa_5_1_0,"(-16, 28)",
93,bitmap,sh_std_fa_5_2_0,"(-11, 27)",
94,bitmap,sh_std_fa_5_3_0,"(-10, 27)",
96,bitmap,sh_spk_fa_5_0_0,"(-20, 26)",
97,bitmap,sh_spk_fa_5_1_0,"(-16, 29)",
98,bitmap,sh_spk_fa_5_2_0,"(-11, 28)",
99,bitmap,sh_spk_fa_5_3_0,"(-10, 28)",
101,bitmap,sh_lay_fa_5_2_0,"(7, 14)",
111,bitmap,sh_std_fa_6_0_0,"(-20, 26)",
112,bitmap,sh_std_fa_6_1_0,"(-17, 27)",
113,bitmap,sh_std_fa_6_2_0,"(-16, 25)",
114,bitmap,sh_std_fa_6_3_0,"(-11, 25)",
116,bitmap,sh_spk_fa_6_0_0,"(-20, 27)",
117,bitmap,sh_spk_fa_6_1_0,"(-17, 28)",
118,bitmap,sh_spk_fa_6_2_0,"(-16, 26)",
119,bitmap,sh_spk_fa_6_3_0,"(-11, 26)",
121,bitmap,sh_lay_fa_6_2_0,"(1, 15)",
131,bitmap,sh_std_fa_7_0_0,"(-8, 31)",
132,bitmap,sh_std_fa_7_1_0,"(-7, 38)",
133,bitmap,sh_std_fa_7_2_0,"(-7, 34)",
134,bitmap,sh_std_fa_7_3_0,"(-8, 36)",
135,bitmap,sh_std_fa_7_7_0,"(-8, 31)",
136,bitmap,sh_spk_fa_7_0_0,"(-8, 32)",
137,bitmap,sh_spk_fa_7_1_0,"(-7, 39)",
138,bitmap,sh_spk_fa_7_2_0,"(-7, 35)",
139,bitmap,sh_spk_fa_7_3_0,"(-8, 37)",
140,bitmap,sh_spk_fa_7_7_0,"(-8, 32)",
141,bitmap,sh_lay_fa_7_2_0,"(10, 19)",
143,palette, s_jsn_palette,"(0, 0)",
151,bitmap,sh_std_fa_8_0_0,"(-21, 27)",
152,bitmap,sh_std_fa_8_1_0,"(-19, 27)",
153,bitmap,sh_std_fa_8_2_0,"(-16, 25)",
154,bitmap,sh_std_fa_8_3_0,"(-13, 25)",
156,bitmap,sh_spk_fa_8_0_0,"(-21, 28)",
157,bitmap,sh_spk_fa_8_1_0,"(-19, 28)",
158,bitmap,sh_spk_fa_8_2_0,"(-16, 26)",
159,bitmap,sh_spk_fa_8_3_0,"(-13, 26)",
161,bitmap,sh_lay_fa_8_2_0,"(0, 13)",
171,bitmap,sh_std_fa_9_0_0,"(-8, 30)",
172,bitmap,sh_std_fa_9_1_0,"(-7, 29)",
173,bitmap,sh_std_fa_9_2_0,"(-6, 29)",
174,bitmap,sh_std_fa_9_3_0,"(-10, 27)",
175,bitmap,sh_std_fa_9_7_0,"(-10, 30)",
176,bitmap,sh_spk_fa_9_0_0,"(-8, 31)",
177,bitmap,sh_spk_fa_9_1_0,"(-7, 30)",
178,bitmap,sh_spk_fa_9_2_0,"(-6, 30)",
179,bitmap,sh_spk_fa_9_3_0,"(-10, 28)",
180,bitmap,sh_spk_fa_9_7_0,"(-10, 30)",
181,bitmap,sh_lay_fa_9_2_0,"(6, 16)",
183,palette,s_tikimask Palette,"(0, 0)",
197,bitmap,sh_std_fa_10_0_0,"(-8, 35)",
198,bitmap,sh_std_fa_10_1_0,"(-8, 36)",
199,bitmap,sh_std_fa_10_2_0,"(-8, 35)",
200,bitmap,sh_std_fa_10_3_0,"(-9, 36)",
201,bitmap,sh_std_fa_10_7_0,"(-9, 32)",
202,bitmap,sh_spk_fa_10_0_0,"(-8, 35)",
203,bitmap,sh_spk_fa_10_1_0,"(-8, 36)",
204,bitmap,sh_spk_fa_10_2_0,"(-8, 35)",
205,bitmap,sh_spk_fa_10_3_0,"(-9, 36)",
206,bitmap,sh_spk_fa_10_7_0,"(-9, 32)",
207,bitmap,sh_lay_fa_10_2_0,"(8, 20)",
217,bitmap,sh_std_fa_11_0_0,"(-18, 31)",
218,bitmap,sh_std_fa_11_1_0,"(-12, 32)",
219,bitmap,sh_std_fa_11_2_0,"(-10, 31)",
220,bitmap,sh_std_fa_11_3_0,"(-9, 31)",
221,bitmap,sh_spk_fa_11_0_0,"(-18, 31)",
222,bitmap,sh_spk_fa_11_1_0,"(-12, 32)",
223,bitmap,sh_spk_fa_11_2_0,"(-10, 31)",
224,bitmap,sh_spk_fa_11_3_0,"(-9, 31)",
225,bitmap,sh_lay_fa_11_2_0,"(6, 17)",
231,palette,small_docmask_acc,"(0, 0)",
232,bitmap,sh_std_fa_12_0_0,"(-18, 30)",
233,bitmap,sh_std_fa_12_1_0,"(-14, 31)",
234,bitmap,sh_std_fa_12_2_0,"(-10, 29)",
235,bitmap,sh_std_fa_12_3_0,"(-9, 27)",
236,bitmap,sh_std_fa_12_7_0,"(2, 45)",
237,bitmap,sh_spk_fa_12_0_0,"(-18, 30)",
238,bitmap,sh_spk_fa_12_1_0,"(-14, 28)",
239,bitmap,sh_spk_fa_12_2_0,"(-11, 27)",
240,bitmap,sh_spk_fa_12_3_0,"(-10, 27)",
241,bitmap,sh_spk_fa_12_7_0,"(2, 45)",
242,bitmap,sh_lay_fa_12_2_0,"(7, 15)",
