Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_wa_1_0_0,"(-9, 13)",
2,bitmap,sh_std_wa_1_1_0,"(-11, 12)",
3,bitmap,sh_std_wa_1_2_0,"(-10, 15)",
4,bitmap,sh_std_wa_1_3_0,"(-10, 12)",
5,bitmap,sh_std_wa_1_7_0,"(-11, 12)",
6,bitmap,sh_lay_wa_1_2_0,"(-7, 7)",
7,palette,belt2_50_Palette,"(0, 0)",
11,bitmap,sh_std_wa_2_0_0,"(-9, 14)",
12,bitmap,sh_std_wa_2_1_0,"(-11, 13)",
13,bitmap,sh_std_wa_2_2_0,"(-10, 15)",
14,bitmap,sh_std_wa_2_3_0,"(-10, 12)",
15,bitmap,sh_std_wa_2_7_0,"(-11, 12)",
16,bitmap,sh_lay_wa_2_2_0,"(-7, 7)",
21,bitmap,sh_std_wa_3_0_0,"(-9, 14)",
22,bitmap,sh_std_wa_3_1_0,"(-11, 13)",
23,bitmap,sh_std_wa_3_2_0,"(-10, 15)",
24,bitmap,sh_std_wa_3_3_0,"(-10, 13)",
25,bitmap,sh_std_wa_3_7_0,"(-11, 12)",
26,bitmap,sh_lay_wa_3_2_0,"(-7, 8)",
31,bitmap,sh_std_wa_4_0_0,"(-9, 14)",
32,bitmap,sh_std_wa_4_1_0,"(-11, 12)",
33,bitmap,sh_std_wa_4_2_0,"(-10, 15)",
34,bitmap,sh_std_wa_4_3_0,"(-10, 11)",
35,bitmap,sh_std_wa_4_7_0,"(-11, 12)",
36,bitmap,sh_lay_wa_4_2_0,"(-7, 7)",
41,bitmap,sh_std_wa_5_0_0,"(-9, 13)",
42,bitmap,sh_std_wa_5_1_0,"(-11, 13)",
43,bitmap,sh_std_wa_5_2_0,"(-10, 15)",
44,bitmap,sh_std_wa_5_3_0,"(-10, 12)",
45,bitmap,sh_std_wa_5_7_0,"(-11, 12)",
46,bitmap,sh_lay_wa_5_2_0,"(-7, 7)",
51,bitmap,sh_std_wa_6_0_0,"(-9, 13)",
52,bitmap,sh_std_wa_6_1_0,"(-10, 13)",
53,bitmap,sh_std_wa_6_2_0,"(-9, 15)",
54,bitmap,sh_std_wa_6_3_0,"(-9, 12)",
55,bitmap,sh_std_wa_6_7_0,"(-11, 12)",
56,bitmap,sh_lay_wa_6_2_0,"(-7, 7)",
61,bitmap,sh_std_wa_7_0_0,"(-9, 14)",
62,bitmap,sh_std_wa_7_1_0,"(-11, 13)",
63,bitmap,sh_std_wa_7_2_0,"(-10, 16)",
64,bitmap,sh_std_wa_7_3_0,"(-10, 12)",
65,bitmap,sh_std_wa_7_7_0,"(-11, 13)",
66,bitmap,sh_lay_wa_7_2_0,"(-7, 7)",
71,bitmap,sh_std_wa_8_0_0,"(-9, 14)",
72,bitmap,sh_std_wa_8_1_0,"(-11, 13)",
73,bitmap,sh_std_wa_8_2_0,"(-10, 15)",
74,bitmap,sh_std_wa_8_3_0,"(-10, 12)",
75,bitmap,sh_std_wa_8_7_0,"(-11, 12)",
76,bitmap,sh_lay_wa_8_2_0,"(-7, 7)",
81,bitmap,sh_std_wa_9_0_0,"(-9, 14)",
82,bitmap,sh_std_wa_9_1_0,"(-11, 12)",
83,bitmap,sh_std_wa_9_2_0,"(-10, 15)",
84,bitmap,sh_std_wa_9_3_0,"(-10, 12)",
85,bitmap,sh_std_wa_9_7_0,"(-11, 13)",
86,bitmap,sh_lay_wa_9_2_0,"(-7, 7)",
91,bitmap,sh_std_wa_10_0_0,"(-9, 15)",
92,bitmap,sh_std_wa_10_1_0,"(-11, 13)",
93,bitmap,sh_std_wa_10_2_0,"(-10, 15)",
94,bitmap,sh_std_wa_10_3_0,"(-10, 13)",
95,bitmap,sh_std_wa_10_7_0,"(-11, 13)",
96,bitmap,sh_lay_wa_10_2_0,"(-7, 7)",
101,bitmap,sh_std_wa_11_0_0,"(-9, 14)",
102,bitmap,sh_std_wa_11_1_0,"(-11, 14)",
103,bitmap,sh_std_wa_11_2_0,"(-10, 16)",
104,bitmap,sh_std_wa_11_3_0,"(-10, 13)",
105,bitmap,sh_std_wa_11_7_0,"(-11, 13)",
106,bitmap,sh_lay_wa_11_2_0,"(-7, 7)",
111,bitmap,sh_std_wa_12_0_0,"(-9, 14)",
112,bitmap,sh_std_wa_12_1_0,"(-11, 14)",
113,bitmap,sh_std_wa_12_2_0,"(-10, 15)",
114,bitmap,sh_std_wa_12_3_0,"(-10, 13)",
115,bitmap,sh_std_wa_12_7_0,"(-11, 12)",
116,bitmap,sh_lay_wa_12_2_0,"(-7, 7)",
