Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_bd_1_0_0,"(-10, 26)",
2,bitmap,sh_std_bd_1_1_0,"(-12, 24)",
3,bitmap,sh_std_bd_1_2_0,"(-10, 25)",
4,bitmap,sh_std_bd_1_3_0,"(-9, 24)",
5,bitmap,sh_std_bd_1_7_0,"(-10, 25)",
6,bitmap,sh_wlk_bd_1_0_0,"(-10, 26)",
7,bitmap,sh_wlk_bd_1_0_1,"(-6, 26)",
8,bitmap,sh_wlk_bd_1_0_2,"(-10, 26)",
9,bitmap,sh_wlk_bd_1_0_3,"(-10, 26)",
10,bitmap,sh_wlk_bd_1_1_0,"(-12, 25)",
11,bitmap,sh_wlk_bd_1_1_1,"(-7, 24)",
12,bitmap,sh_wlk_bd_1_1_2,"(-12, 25)",
13,bitmap,sh_wlk_bd_1_1_3,"(-6, 24)",
14,bitmap,sh_wlk_bd_1_2_0,"(-9, 25)",
15,bitmap,sh_wlk_bd_1_2_1,"(-10, 25)",
16,bitmap,sh_wlk_bd_1_2_2,"(-10, 25)",
17,bitmap,sh_wlk_bd_1_2_3,"(-6, 24)",
18,bitmap,sh_wlk_bd_1_3_0,"(-9, 24)",
19,bitmap,sh_wlk_bd_1_3_1,"(-9, 24)",
20,bitmap,sh_wlk_bd_1_3_2,"(-9, 24)",
21,bitmap,sh_wlk_bd_1_3_3,"(-9, 24)",
22,bitmap,sh_wlk_bd_1_7_0,"(-10, 25)",
23,bitmap,sh_wlk_bd_1_7_1,"(-10, 25)",
24,bitmap,sh_wlk_bd_1_7_2,"(-10, 25)",
25,bitmap,sh_wlk_bd_1_7_3,"(-10, 25)",
26,bitmap,sh_sit_bd_1_0_0,"(-11, 26)",
27,bitmap,sh_sit_bd_1_2_0,"(-8, 25)",
28,bitmap,sh_lay_bd_1_2_0,"(1, 11)",
31,bitmap,sh_std_rh_1_0_0,"(-19, 22)",
32,bitmap,sh_std_rh_1_1_0,"(-13, 20)",
33,bitmap,sh_std_rh_1_2_0,"(-8, 22)",
34,bitmap,sh_std_rh_1_3_0,"(-7, 23)",
35,bitmap,sh_std_rh_1_7_0,"(-21, 23)",
36,bitmap,sh_wlk_rh_1_0_0,"(-19, 22)",
37,bitmap,sh_wlk_rh_1_0_1,"(-17, 23)",
38,bitmap,sh_wlk_rh_1_0_2,"(-19, 22)",
39,bitmap,sh_wlk_rh_1_0_3,"(-19, 22)",
40,bitmap,sh_wlk_rh_1_1_0,"(-14, 21)",
41,bitmap,sh_wlk_rh_1_1_1,"(-11, 21)",
42,bitmap,sh_wlk_rh_1_1_2,"(-13, 21)",
43,bitmap,sh_wlk_rh_1_1_3,"(-14, 20)",
44,bitmap,sh_wlk_rh_1_2_0,"(-8, 21)",
45,bitmap,sh_wlk_rh_1_2_1,"(-6, 22)",
46,bitmap,sh_wlk_rh_1_2_2,"(-8, 21)",
47,bitmap,sh_wlk_rh_1_2_3,"(-7, 21)",
48,bitmap,sh_wlk_rh_1_3_0,"(-7, 23)",
49,bitmap,sh_wlk_rh_1_3_1,"(-7, 23)",
50,bitmap,sh_wlk_rh_1_3_2,"(-7, 23)",
51,bitmap,sh_wlk_rh_1_3_3,"(-7, 23)",
52,bitmap,sh_wlk_rh_1_7_0,"(-21, 23)",
53,bitmap,sh_wlk_rh_1_7_1,"(-21, 23)",
54,bitmap,sh_wlk_rh_1_7_2,"(-21, 22)",
55,bitmap,sh_wlk_rh_1_7_3,"(-22, 22)",
56,bitmap,sh_sit_rh_1_0_0,"(-18, 22)",
57,bitmap,sh_sit_rh_1_2_0,"(-7, 23)",
58,bitmap,sh_crr_rh_1_0_0,"(-19, 21)",
59,bitmap,sh_crr_rh_1_1_0,"(-14, 21)",
60,bitmap,sh_crr_rh_1_2_0,"(-9, 22)",
61,bitmap,sh_crr_rh_1_3_0,"(-7, 23)",
62,bitmap,sh_crr_rh_1_4_0,"(-5, 23)",
63,bitmap,sh_crr_rh_1_5_0,"(-6, 22)",
64,bitmap,sh_crr_rh_1_6_0,"(-21, 22)",
65,bitmap,sh_crr_rh_1_7_0,"(-22, 22)",
66,bitmap,sh_drk_rh_1_0_0,"(-19, 30)",
67,bitmap,sh_drk_rh_1_1_0,"(-15, 28)",
68,bitmap,sh_drk_rh_1_2_0,"(-9, 25)",
69,bitmap,sh_drk_rh_1_3_0,"(-7, 24)",
70,bitmap,sh_drk_rh_1_4_0,"(-5, 27)",
71,bitmap,sh_drk_rh_1_5_0,"(-5, 28)",
72,bitmap,sh_drk_rh_1_6_0,"(-9, 28)",
73,bitmap,sh_drk_rh_1_7_0,"(-17, 30)",
82,bitmap,sh_lay_rh_1_2_0,"(1, 7)",
91,bitmap,sh_std_lh_1_0_0,"(-9, 23)",
92,bitmap,sh_std_lh_1_1_0,"(-13, 21)",
93,bitmap,sh_std_lh_1_2_0,"(-20, 23)",
94,bitmap,sh_std_lh_1_3_0,"(-20, 23)",
95,bitmap,sh_std_lh_1_7_0,"(-8, 23)",
96,bitmap,sh_wlk_lh_1_0_0,"(-8, 23)",
97,bitmap,sh_wlk_lh_1_0_1,"(-10, 24)",
98,bitmap,sh_wlk_lh_1_0_2,"(-8, 23)",
99,bitmap,sh_wlk_lh_1_0_3,"(-7, 22)",
100,bitmap,sh_wlk_lh_1_1_0,"(-14, 22)",
101,bitmap,sh_wlk_lh_1_1_1,"(-18, 16)",
102,bitmap,sh_wlk_lh_1_1_2,"(-14, 22)",
