Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_hr_1_0_0,"(-7, 39)",
2,bitmap,sh_std_hrb_1_0_0,"(-7, 39)",
3,bitmap,sh_std_hr_1_1_0,"(-7, 39)",
4,bitmap,sh_std_hrb_1_1_0,"(-7, 39)",
5,bitmap,sh_std_hr_1_2_0,"(-6, 39)",
6,bitmap,sh_std_hrb_1_2_0,"(-6, 39)",
7,bitmap,sh_std_hr_1_3_0,"(-7, 39)",
8,bitmap,sh_std_hrb_1_3_0,"(-7, 39)",
9,bitmap,sh_std_hr_1_7_0,"(-8, 39)",
10,bitmap,sh_std_hrb_1_7_0,"(-8, 39)",
11,bitmap,sh_spk_hr_1_0_0,"(-7, 39)",
12,bitmap,sh_spk_hrb_1_0_0,"(-7, 39)",
13,bitmap,sh_spk_hr_1_0_1,"(-7, 39)",
14,bitmap,sh_spk_hrb_1_0_1,"(-7, 39)",
15,bitmap,sh_spk_hr_1_1_0,"(-7, 40)",
16,bitmap,sh_spk_hrb_1_1_0,"(-7, 40)",
17,bitmap,sh_spk_hr_1_1_1,"(-7, 39)",
18,bitmap,sh_spk_hrb_1_1_1,"(-7, 39)",
19,bitmap,sh_spk_hr_1_2_0,"(-6, 40)",
20,bitmap,sh_spk_hrb_1_2_0,"(-6, 40)",
21,bitmap,sh_spk_hr_1_2_1,"(-6, 39)",
22,bitmap,sh_spk_hrb_1_2_1,"(-6, 39)",
23,bitmap,sh_spk_hr_1_3_0,"(-7, 40)",
24,bitmap,sh_spk_hrb_1_3_0,"(-7, 40)",
25,bitmap,sh_spk_hr_1_3_1,"(-7, 39)",
26,bitmap,sh_spk_hrb_1_3_1,"(-7, 39)",
27,bitmap,sh_spk_hr_1_7_0,"(-8, 40)",
28,bitmap,sh_spk_hrb_1_7_0,"(-8, 40)",
29,bitmap,sh_spk_hr_1_7_1,"(-8, 39)",
30,bitmap,sh_spk_hrb_1_7_1,"(-8, 39)",
31,bitmap,sh_lay_hr_1_2_0,"(12, 20)",
32,bitmap,sh_lay_hrb_1_2_0,"(12, 20)",
41,bitmap,sh_std_hr_2_0_0,"(-7, 39)",
42,bitmap,sh_std_hrb_2_0_0,"(-7, 39)",
43,bitmap,sh_std_hr_2_1_0,"(-7, 39)",
44,bitmap,sh_std_hrb_2_1_0,"(-7, 39)",
45,bitmap,sh_std_hr_2_2_0,"(-6, 39)",
46,bitmap,sh_std_hrb_2_2_0,"(-6, 39)",
47,bitmap,sh_std_hr_2_3_0,"(-7, 39)",
48,bitmap,sh_std_hrb_2_3_0,"(-7, 39)",
49,bitmap,sh_std_hr_2_7_0,"(-8, 39)",
50,bitmap,sh_std_hrb_2_7_0,"(-8, 39)",
51,bitmap,sh_spk_hr_2_0_0,"(-7, 39)",
52,bitmap,sh_spk_hrb_2_0_0,"(-7, 39)",
53,bitmap,sh_spk_hr_2_0_1,"(-7, 39)",
54,bitmap,sh_spk_hrb_2_0_1,"(-7, 39)",
55,bitmap,sh_spk_hr_2_1_0,"(-7, 40)",
56,bitmap,sh_spk_hrb_2_1_0,"(-7, 40)",
57,bitmap,sh_spk_hr_2_1_1,"(-7, 39)",
58,bitmap,sh_spk_hrb_2_1_1,"(-7, 39)",
59,bitmap,sh_spk_hr_2_2_0,"(-6, 40)",
60,bitmap,sh_spk_hrb_2_2_0,"(-6, 40)",
61,bitmap,sh_spk_hr_2_2_1,"(-6, 39)",
62,bitmap,sh_spk_hrb_2_2_1,"(-6, 39)",
63,bitmap,sh_spk_hr_2_3_0,"(-7, 40)",
64,bitmap,sh_spk_hrb_2_3_0,"(-7, 40)",
65,bitmap,sh_spk_hr_2_3_1,"(-7, 39)",
66,bitmap,sh_spk_hrb_2_3_1,"(-7, 39)",
67,bitmap,sh_spk_hr_2_7_0,"(-8, 40)",
68,bitmap,sh_spk_hrb_2_7_0,"(-8, 40)",
69,bitmap,sh_spk_hr_2_7_1,"(-8, 39)",
70,bitmap,sh_spk_hrb_2_7_1,"(-8, 39)",
71,bitmap,sh_lay_hr_2_2_0,"(12, 20)",
72,bitmap,sh_lay_hrb_2_2_0,"(12, 20)",
81,bitmap,sh_std_hr_3_0_0,"(-6, 39)",
82,bitmap,sh_std_hrb_3_0_0,"(-6, 39)",
83,bitmap,sh_std_hr_3_1_0,"(-3, 39)",
84,bitmap,sh_std_hrb_3_1_0,"(-3, 39)",
85,bitmap,sh_std_hr_3_2_0,"(-4, 39)",
86,bitmap,sh_std_hrb_3_2_0,"(-4, 39)",
87,bitmap,sh_std_hr_3_3_0,"(-5, 39)",
88,bitmap,sh_std_hrb_3_3_0,"(-5, 39)",
89,bitmap,sh_std_hr_3_7_0,"(-7, 39)",
90,bitmap,sh_std_hrb_3_7_0,"(-7, 39)",
91,bitmap,sh_spk_hr_3_0_0,"(-6, 40)",
92,bitmap,sh_spk_hrb_3_0_0,"(-6, 40)",
93,bitmap,sh_spk_hr_3_1_0,"(-5, 40)",
94,bitmap,sh_spk_hrb_3_1_0,"(-5, 40)",
95,bitmap,sh_spk_hr_3_2_0,"(-4, 40)",
96,bitmap,sh_spk_hrb_3_2_0,"(-4, 40)",
97,bitmap,sh_spk_hr_3_3_0,"(-5, 40)",
98,bitmap,sh_spk_hrb_3_3_0,"(-5, 40)",
99,bitmap,sh_spk_hr_3_7_0,"(-7, 40)",
100,bitmap,sh_spk_hrb_3_7_0,"(-7, 40)",
101,bitmap,sh_lay_hr_3_2_0,"(12, 19)",
102,bitmap,sh_lay_hrb_3_2_0,"(12, 19)",
111,bitmap,sh_std_hr_4_0_0,"(-3, 44)",
112,bitmap,sh_std_hrb_4_0_0,"(-3, 44)",
113,bitmap,sh_std_hr_4_1_0,"(-3, 46)",
114,bitmap,sh_std_hrb_4_1_0,"(-3, 46)",
115,bitmap,sh_std_hr_4_2_0,"(-1, 46)",
116,bitmap,sh_std_hrb_4_2_0,"(-1, 46)",
117,bitmap,sh_std_hr_4_3_0,"(-3, 46)",
118,bitmap,sh_std_hrb_4_3_0,"(-3, 46)",
119,bitmap,sh_std_hr_4_7_0,"(-5, 45)",
120,bitmap,sh_std_hrb_4_7_0,"(-5, 45)",
121,bitmap,sh_spk_hr_4_0_0,"(-3, 45)",
122,bitmap,sh_spk_hrb_4_0_0,"(-3, 45)",
123,bitmap,sh_spk_hr_4_1_0,"(-3, 47)",
124,bitmap,sh_spk_hrb_4_1_0,"(-3, 47)",
125,bitmap,sh_spk_hr_4_2_0,"(-1, 47)",
126,bitmap,sh_spk_hrb_4_2_0,"(-1, 47)",
127,bitmap,sh_spk_hr_4_3_0,"(-3, 47)",
128,bitmap,sh_spk_hrb_4_3_0,"(-3, 47)",
129,bitmap,sh_spk_hr_4_7_0,"(-5, 46)",
130,bitmap,sh_spk_hrb_4_7_0,"(-5, 46)",
131,bitmap,sh_lay_hr_4_2_0,"(18, 26)",
