Number,Type,Name,Registration Point,Filename
1,bitmap,sh_crr_ri_1_0_0,"(-25, 19)",
2,bitmap,sh_crr_ri_1_1_0,"(-21, 18)",
3,bitmap,sh_crr_ri_1_2_0,"(-15, 15)",
4,bitmap,sh_crr_ri_1_3_0,"(-10, 16)",
5,bitmap,sh_crr_ri_1_4_0,"(-5, 18)",
6,bitmap,sh_crr_ri_1_5_0,"(-6, 19)",
7,bitmap,sh_crr_ri_1_6_0,"(-18, 10)",
8,bitmap,sh_crr_ri_1_7_0,"(-11, 17)",
11,bitmap,sh_crr_ri_2_0_0,"(-25, 23)",
12,bitmap,sh_crr_ri_2_1_0,"(-21, 23)",
13,bitmap,sh_crr_ri_2_2_0,"(-15, 18)",
14,bitmap,sh_crr_ri_2_3_0,"(-10, 19)",
15,bitmap,sh_crr_ri_2_4_0,"(-5, 23)",
16,bitmap,sh_crr_ri_2_5_0,"(-6, 23)",
17,bitmap,sh_crr_ri_2_6_0,"(-18, 10)",
18,bitmap,sh_crr_ri_2_7_0,"(-11, 17)",
19,bitmap,sh_drk_ri_2_0_0,"(-11, 17)",
21,bitmap,sh_crr_ri_3_0_0,"(-25, 23)",
22,bitmap,sh_crr_ri_3_1_0,"(-22, 21)",
23,bitmap,sh_crr_ri_3_2_0,"(-16, 17)",
24,bitmap,sh_crr_ri_3_3_0,"(-10, 19)",
25,bitmap,sh_crr_ri_3_4_0,"(-3, 20)",
26,bitmap,sh_crr_ri_3_5_0,"(-5, 20)",
27,bitmap,sh_crr_ri_3_6_0,"(-18, 10)",
28,bitmap,sh_crr_ri_3_7_0,"(-11, 17)",
31,bitmap,sh_crr_ri_4_0_0,"(-24, 23)",
32,bitmap,sh_crr_ri_4_1_0,"(-21, 21)",
33,bitmap,sh_crr_ri_4_2_0,"(-15, 19)",
34,bitmap,sh_crr_ri_4_3_0,"(-9, 18)",
35,bitmap,sh_crr_ri_4_4_0,"(-3, 20)",
36,bitmap,sh_crr_ri_4_5_0,"(-5, 22)",
37,bitmap,sh_crr_ri_4_6_0,"(-11, 11)",
38,bitmap,sh_crr_ri_4_7_0,"(-12, 13)",
41,bitmap,sh_crr_ri_5_0_0,"(-25, 22)",
42,bitmap,sh_crr_ri_5_1_0,"(-21, 21)",
43,bitmap,sh_crr_ri_5_2_0,"(-15, 16)",
44,bitmap,sh_crr_ri_5_3_0,"(-10, 18)",
45,bitmap,sh_crr_ri_5_4_0,"(-3, 20)",
46,bitmap,sh_crr_ri_5_5_0,"(-5, 21)",
47,bitmap,sh_crr_ri_5_6_0,"(-18, 10)",
48,bitmap,sh_crr_ri_5_7_0,"(-11, 17)",
51,bitmap,sh_crr_ri_6_0_0,"(-25, 22)",
52,bitmap,sh_crr_ri_6_1_0,"(-22, 20)",
53,bitmap,sh_crr_ri_6_2_0,"(-16, 17)",
54,bitmap,sh_crr_ri_6_3_0,"(-11, 16)",
55,bitmap,sh_crr_ri_6_4_0,"(-4, 20)",
56,bitmap,sh_crr_ri_6_5_0,"(-5, 20)",
57,bitmap,sh_crr_ri_6_6_0,"(-18, 10)",
58,bitmap,sh_crr_ri_6_7_0,"(-11, 17)",
61,bitmap,sh_crr_ri_9_0_0,"(-25, 22)",
62,bitmap,sh_crr_ri_9_1_0,"(-21, 21)",
63,bitmap,sh_crr_ri_9_2_0,"(-15, 16)",
64,bitmap,sh_crr_ri_9_3_0,"(-10, 18)",
65,bitmap,sh_crr_ri_9_4_0,"(-3, 20)",
66,bitmap,sh_crr_ri_9_5_0,"(-5, 21)",
67,bitmap,sh_crr_ri_9_6_0,"(-18, 10)",
68,bitmap,sh_crr_ri_9_7_0,"(-11, 17)",
71,bitmap,sh_crr_ri_667_0_0,"(-24, 23)",
72,bitmap,sh_crr_ri_667_1_0,"(-21, 21)",
73,bitmap,sh_crr_ri_667_2_0,"(-15, 18)",
74,bitmap,sh_crr_ri_667_3_0,"(-10, 17)",
75,bitmap,sh_crr_ri_667_4_0,"(-2, 21)",
76,bitmap,sh_crr_ri_667_5_0,"(-4, 21)",
77,bitmap,sh_crr_ri_667_6_0,"(-18, 10)",
78,bitmap,sh_crr_ri_667_7_0,"(-11, 17)",
81,bitmap,s_popcorn_0,"(-24, 24)",
82,bitmap,s_popcorn_1,"(-21, 21)",
83,bitmap,s_popcorn_2,"(-15, 19)",
84,bitmap,s_popcorn_3,"(-10, 20)",
85,bitmap,s_popcorn_4,"(-2, 21)",
86,bitmap,s_popcorn_5,"(-3, 23)",
