Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_lg_1_0_0,"(-10, 13)",
2,bitmap,sh_std_lg_1_1_0,"(-12, 11)",
3,bitmap,sh_std_lg_1_2_0,"(-10, 13)",
4,bitmap,sh_std_lg_1_3_0,"(-10, 10)",
5,bitmap,sh_std_lg_1_7_0,"(-11, 10)",
6,bitmap,sh_wlk_lg_1_0_0,"(-11, 13)",
7,bitmap,sh_wlk_lg_1_0_1,"(-7, 13)",
8,bitmap,sh_wlk_lg_1_0_2,"(-10, 13)",
9,bitmap,sh_wlk_lg_1_0_3,"(-10, 13)",
10,bitmap,sh_wlk_lg_1_1_0,"(-12, 12)",
11,bitmap,sh_wlk_lg_1_1_1,"(-7, 11)",
12,bitmap,sh_wlk_lg_1_1_2,"(-12, 12)",
13,bitmap,sh_wlk_lg_1_1_3,"(-8, 11)",
14,bitmap,sh_wlk_lg_1_2_0,"(-8, 13)",
15,bitmap,sh_wlk_lg_1_2_1,"(-10, 12)",
16,bitmap,sh_wlk_lg_1_2_2,"(-10, 13)",
17,bitmap,sh_wlk_lg_1_2_3,"(-6, 12)",
18,bitmap,sh_wlk_lg_1_3_0,"(-10, 10)",
19,bitmap,sh_wlk_lg_1_3_1,"(-10, 10)",
20,bitmap,sh_wlk_lg_1_3_2,"(-10, 10)",
21,bitmap,sh_wlk_lg_1_3_3,"(-10, 10)",
22,bitmap,sh_wlk_lg_1_7_0,"(-11, 10)",
23,bitmap,sh_wlk_lg_1_7_1,"(-11, 10)",
24,bitmap,sh_wlk_lg_1_7_2,"(-11, 11)",
25,bitmap,sh_wlk_lg_1_7_3,"(-11, 10)",
26,bitmap,sh_sit_lg_1_0_0,"(-11, 17)",
27,bitmap,sh_sit_lg_1_2_0,"(-8, 15)",
28,bitmap,sh_lay_lg_1_2_0,"(-9, 6)",
31,bitmap,sh_std_lg_2_0_0,"(-10, 13)",
32,bitmap,sh_std_lg_2_1_0,"(-12, 11)",
33,bitmap,sh_std_lg_2_2_0,"(-10, 13)",
34,bitmap,sh_std_lg_2_3_0,"(-10, 10)",
35,bitmap,sh_std_lg_2_7_0,"(-11, 10)",
36,bitmap,sh_wlk_lg_2_0_0,"(-11, 13)",
37,bitmap,sh_wlk_lg_2_0_1,"(-8, 13)",
38,bitmap,sh_wlk_lg_2_0_2,"(-10, 13)",
