Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_ca_1_0_0,"(-22, 48)",
2,bitmap,h_std_ca_1_1_0,"(-21, 50)",
3,bitmap,h_std_ca_1_2_0,"(-23, 49)",
4,bitmap,h_std_ca_1_3_0,"(-22, 50)",
5,bitmap,h_std_ca_1_7_0,"(-26, 47)",
6,bitmap,h_lay_ca_1_2_0,"(8, 26)",
11,bitmap,h_std_ca_2_0_0,"(-21, 49)",
12,bitmap,h_std_ca_2_1_0,"(-23, 50)",
13,bitmap,h_std_ca_2_2_0,"(-22, 48)",
14,bitmap,h_std_ca_2_3_0,"(-22, 51)",
15,bitmap,h_std_ca_2_7_0,"(-24, 48)",
16,bitmap,h_lay_ca_2_2_0,"(6, 25)",
21,bitmap,h_std_ca_3_0_0,"(-15, 52)",
22,bitmap,h_std_ca_3_1_0,"(-21, 54)",
23,bitmap,h_std_ca_3_2_0,"(-19, 52)",
24,bitmap,h_std_ca_3_3_0,"(-19, 48)",
25,bitmap,h_std_ca_3_7_0,"(-14, 50)",
26,bitmap,h_lay_ca_3_2_0,"(7, 29)",
32,bitmap,h_std_ca_4_1_0,"(-38, 43)",
33,bitmap,h_std_ca_4_2_0,"(-33, 43)",
34,bitmap,h_std_ca_4_3_0,"(-27, 44)",
36,bitmap,h_lay_ca_4_2_0,"(-6, 22)",
41,bitmap,h_std_ca_5_0_0,"(-20, 50)",
42,bitmap,h_std_ca_5_1_0,"(-21, 50)",
43,bitmap,h_std_ca_5_2_0,"(-21, 51)",
44,bitmap,h_std_ca_5_3_0,"(-21, 50)",
45,bitmap,h_std_ca_5_7_0,"(-23, 48)",
46,bitmap,h_lay_ca_5_2_0,"(6, 24)",
52,bitmap,h_std_ca_6_1_0,"(-40, 44)",
53,bitmap,h_std_ca_6_2_0,"(-29, 49)",
54,bitmap,h_std_ca_6_3_0,"(-23, 46)",
56,bitmap,h_lay_ca_6_2_0,"(0, 28)",
61,bitmap,h_std_ca_7_0_0,"(-21, 48)",
62,bitmap,h_std_ca_7_1_0,"(-23, 48)",
63,bitmap,h_std_ca_7_2_0,"(-22, 47)",
64,bitmap,h_std_ca_7_3_0,"(-20, 50)",
65,bitmap,h_std_ca_7_7_0,"(-23, 49)",
66,bitmap,h_lay_ca_7_2_0,"(9, 25)",
71,bitmap,h_std_ca_8_0_0,"(-23, 48)",
72,bitmap,h_std_ca_8_1_0,"(-23, 50)",
73,bitmap,h_std_ca_8_2_0,"(-22, 49)",
74,bitmap,h_std_ca_8_3_0,"(-21, 50)",
75,bitmap,h_std_ca_8_7_0,"(-23, 47)",
76,bitmap,h_lay_ca_8_2_0,"(9, 26)",
81,bitmap,h_std_ca_9_0_0,"(-23, 49)",
82,bitmap,h_std_ca_9_1_0,"(-25, 49)",
83,bitmap,h_std_ca_9_2_0,"(-23, 50)",
84,bitmap,h_std_ca_9_3_0,"(-21, 49)",
85,bitmap,h_std_ca_9_7_0,"(-23, 47)",
86,bitmap,h_lay_ca_9_2_0,"(9, 25)",
91,bitmap,h_std_ca_10_0_0,"(-23, 49)",
92,bitmap,h_std_ca_10_1_0,"(-24, 50)",
93,bitmap,h_std_ca_10_2_0,"(-21, 51)",
94,bitmap,h_std_ca_10_3_0,"(-24, 47)",
95,bitmap,h_std_ca_10_7_0,"(-23, 48)",
96,bitmap,h_lay_ca_10_2_0,"(9, 25)",
102,bitmap,h_std_ca_11_1_0,"(-40, 38)",
103,bitmap,h_std_ca_11_2_0,"(-38, 42)",
104,bitmap,h_std_ca_11_3_0,"(-32, 40)",
106,bitmap,h_lay_ca_11_2_0,"(-13, 24)",
111,bitmap,h_std_ca_12_0_0,"(-24, 49)",
112,bitmap,h_std_ca_12_1_0,"(-22, 48)",
113,bitmap,h_std_ca_12_2_0,"(-22, 53)",
114,bitmap,h_std_ca_12_3_0,"(-22, 50)",
115,bitmap,h_std_ca_12_7_0,"(-23, 49)",
116,bitmap,h_lay_ca_12_2_0,"(4, 24)",
121,bitmap,h_std_ca_13_1_0,"(-40, 39)",
122,bitmap,h_std_ca_13_2_0,"(-38, 42)",
123,bitmap,h_std_ca_13_3_0,"(-32, 40)",
124,bitmap,h_lay_ca_13_2_0,"(-13, 23)",
131,bitmap,h_std_ca_14_0_0,"(-22, 49)",
132,bitmap,h_std_ca_14_1_0,"(-24, 50)",
133,bitmap,h_std_ca_14_2_0,"(-23, 50)",
134,bitmap,h_std_ca_14_3_0,"(-24, 46)",
135,bitmap,h_std_ca_14_7_0,"(-23, 48)",
136,bitmap,h_lay_ca_14_2_0,"(4, 24)",
141,bitmap,h_std_ca_15_0_0,"(-22, 51)",
