Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
12,bitmap,h_std_fa_1_1_0,"(-41, 49)",
13,bitmap,h_std_fa_1_2_0,"(-38, 46)",
14,bitmap,h_std_fa_1_3_0,"(-29, 46)",
17,bitmap,h_spk_fa_1_1_0,"(-41, 48)",
18,bitmap,h_spk_fa_1_2_0,"(-38, 45)",
19,bitmap,h_spk_fa_1_3_0,"(-29, 45)",
21,bitmap,h_lay_fa_1_2_0,"(-5, 23)",
22,bitmap,h_lsp_fa_1_2_0,"(-5, 23)",
31,bitmap,h_std_fa_2_0_0,"(269, -38)",
32,bitmap,h_std_fa_2_1_0,"(-43, 57)",
33,bitmap,h_std_fa_2_2_0,"(-38, 55)",
34,bitmap,h_std_fa_2_3_0,"(-30, 54)",
36,bitmap,h_spk_fa_2_0_0,"(-43, 59)",
37,bitmap,h_spk_fa_2_1_0,"(-43, 58)",
38,bitmap,h_spk_fa_2_2_0,"(-38, 56)",
39,bitmap,h_spk_fa_2_3_0,"(-30, 55)",
41,bitmap,h_lay_fa_2_2_0,"(1, 30)",
42,bitmap,h_lsp_fa_2_2_0,"(2, 30)",
51,bitmap,h_std_fa_3_0_0,"(-18, 62)",
52,bitmap,h_std_fa_3_1_0,"(-17, 68)",
53,bitmap,h_std_fa_3_2_0,"(-17, 64)",
54,bitmap,h_std_fa_3_3_0,"(-20, 62)",
55,bitmap,h_std_fa_3_7_0,"(-20, 59)",
56,bitmap,h_spk_fa_3_0_0,"(-18, 63)",
57,bitmap,h_spk_fa_3_1_0,"(-17, 69)",
58,bitmap,h_spk_fa_3_2_0,"(-17, 65)",
59,bitmap,h_spk_fa_3_3_0,"(-20, 63)",
60,bitmap,h_spk_fa_3_7_0,"(-20, 60)",
61,bitmap,h_lay_fa_3_2_0,"(17, 38)",
62,bitmap,h_lsp_fa_3_2_0,"(17, 38)",
63,palette,gasmask Palette,"(0, 0)",
71,bitmap,h_std_fa_4_0_0,"(-43, 53)",
72,bitmap,h_std_fa_4_1_0,"(-36, 54)",
73,bitmap,h_std_fa_4_2_0,"(-30, 55)",
74,bitmap,h_std_fa_4_3_0,"(-20, 51)",
76,bitmap,h_spk_fa_4_0_0,"(-43, 54)",
77,bitmap,h_spk_fa_4_1_0,"(-37, 54)",
78,bitmap,h_spk_fa_4_2_0,"(-30, 56)",
79,bitmap,h_spk_fa_4_3_0,"(-20, 52)",
81,bitmap,h_lay_fa_4_2_0,"(6, 32)",
82,bitmap,h_lsp_fa_4_2_0,"(7, 32)",
91,bitmap,h_std_fa_5_0_0,"(-39, 57)",
92,bitmap,h_std_fa_5_1_0,"(-30, 57)",
93,bitmap,h_std_fa_5_2_0,"(-26, 56)",
94,bitmap,h_std_fa_5_3_0,"(-22, 55)",
96,bitmap,h_spk_fa_5_0_0,"(-39, 58)",
97,bitmap,h_spk_fa_5_1_0,"(-30, 58)",
98,bitmap,h_spk_fa_5_2_0,"(-26, 57)",
99,bitmap,h_spk_fa_5_3_0,"(-22, 56)",
101,bitmap,h_lay_fa_5_2_0,"(12, 29)",
102,bitmap,h_lsp_fa_5_2_0,"(12, 29)",
111,bitmap,h_std_fa_6_0_0,"(-41, 53)",
112,bitmap,h_std_fa_6_1_0,"(-36, 54)",
113,bitmap,h_std_fa_6_2_0,"(-33, 53)",
114,bitmap,h_std_fa_6_3_0,"(-26, 51)",
116,bitmap,h_spk_fa_6_0_0,"(-41, 55)",
117,bitmap,h_spk_fa_6_1_0,"(-36, 56)",
118,bitmap,h_spk_fa_6_2_0,"(-33, 55)",
119,bitmap,h_spk_fa_6_3_0,"(-26, 53)",
121,bitmap,h_lay_fa_6_2_0,"(0, 28)",
122,bitmap,h_lsp_fa_6_2_0,"(1, 28)",
131,bitmap,h_std_fa_7_0_0,"(-17, 62)",
132,bitmap,h_std_fa_7_1_0,"(-16, 74)",
133,bitmap,h_std_fa_7_2_0,"(-17, 71)",
134,bitmap,h_std_fa_7_3_0,"(-21, 71)",
135,bitmap,h_std_fa_7_7_0,"(-20, 61)",
136,bitmap,h_spk_fa_7_0_0,"(-17, 63)",
137,bitmap,h_spk_fa_7_1_0,"(-16, 75)",
138,bitmap,h_spk_fa_7_2_0,"(-17, 73)",
139,bitmap,h_spk_fa_7_3_0,"(-21, 72)",
140,bitmap,h_spk_fa_7_7_0,"(-20, 62)",
141,bitmap,h_lay_fa_7_2_0,"(18, 38)",
142,bitmap,h_lsp_fa_7_2_0,"(19, 38)",
143,palette, jsn_palette,"(0, 0)",
151,bitmap,h_std_fa_8_3_0,"(-28, 50)",
152,bitmap,h_std_fa_8_1_0,"(-39, 54)",
153,bitmap,h_std_fa_8_2_0,"(-35, 52)",
154,bitmap,h_std_fa_8_0_0,"(-42, 53)",
156,bitmap,h_spk_fa_8_3_0,"(-28, 51)",
157,bitmap,h_spk_fa_8_1_0,"(-39, 55)",
158,bitmap,h_spk_fa_8_2_0,"(-35, 53)",
159,bitmap,h_spk_fa_8_0_0,"(-42, 54)",
161,bitmap,h_lay_fa_8_2_0,"(-1, 27)",
162,bitmap,h_lsp_fa_8_2_0,"(-1, 27)",
171,bitmap,h_std_fa_9_0_0,"(-17, 57)",
172,bitmap,h_std_fa_9_1_0,"(-13, 58)",
173,bitmap,h_std_fa_9_2_0,"(-16, 58)",
174,bitmap,h_std_fa_9_3_0,"(-21, 55)",
175,bitmap,h_std_fa_9_7_0,"(-21, 60)",
176,bitmap,h_spk_fa_9_0_0,"(-17, 58)",
177,bitmap,h_spk_fa_9_1_0,"(-13, 59)",
178,bitmap,h_spk_fa_9_2_0,"(-16, 59)",
179,bitmap,h_spk_fa_9_3_0,"(-21, 56)",
180,bitmap,h_spk_fa_9_7_0,"(-21, 61)",
181,bitmap,h_lay_fa_9_2_0,"(12, 31)",
182,bitmap,h_lsp_fa_9_2_0,"(12, 32)",
183,palette,tikimask Palette,"(0, 0)",
197,bitmap,h_std_fa_10_0_0,"(-17, 68)",
198,bitmap,h_std_fa_10_1_0,"(-18, 71)",
199,bitmap,h_std_fa_10_2_0,"(-19, 71)",
200,bitmap,h_std_fa_10_3_0,"(-20, 71)",
201,bitmap,h_std_fa_10_7_0,"(-20, 60)",
202,bitmap,h_spk_fa_10_0_0,"(-17, 68)",
203,bitmap,h_spk_fa_10_1_0,"(-18, 71)",
204,bitmap,h_spk_fa_10_2_0,"(-19, 71)",
205,bitmap,h_spk_fa_10_3_0,"(-20, 71)",
206,bitmap,h_spk_fa_10_7_0,"(-20, 60)",
207,bitmap,h_lay_fa_10_2_0,"(16, 38)",
208,bitmap,h_lsp_fa_10_2_0,"(16, 38)",
218,bitmap,h_std_fa_11_3_0,"(-20, 61)",
219,bitmap,h_std_fa_11_1_0,"(-26, 62)",
220,bitmap,h_std_fa_11_2_0,"(-22, 62)",
221,bitmap,h_std_fa_11_0_0,"(-36, 63)",
222,bitmap,h_std_fa_11_7_0,"(-20, 61)",
223,bitmap,h_spk_fa_11_3_0,"(-20, 61)",
224,bitmap,h_spk_fa_11_1_0,"(-26, 62)",
225,bitmap,h_spk_fa_11_2_0,"(-22, 62)",
226,bitmap,h_spk_fa_11_0_0,"(-36, 63)",
227,bitmap,h_spk_fa_11_7_0,"(-20, 61)",
228,bitmap,h_lay_fa_11_2_0,"(13, 34)",
