Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_wa_1_0_0,"(-20, 26)",
2,bitmap,h_std_wa_1_1_0,"(-24, 24)",
3,bitmap,h_std_wa_1_2_0,"(-21, 26)",
4,bitmap,h_std_wa_1_3_0,"(-22, 22)",
5,bitmap,h_std_wa_1_7_0,"(-22, 21)",
6,bitmap,h_lay_wa_1_2_0,"(-16, 15)",
7,palette,belt2_Palette,"(0, 0)",
11,bitmap,h_std_wa_2_0_0,"(-20, 26)",
12,bitmap,h_std_wa_2_1_0,"(-24, 25)",
13,bitmap,h_std_wa_2_2_0,"(-21, 27)",
14,bitmap,h_std_wa_2_3_0,"(-22, 23)",
15,bitmap,h_std_wa_2_7_0,"(-22, 21)",
16,bitmap,h_lay_wa_2_2_0,"(-16, 17)",
21,bitmap,h_std_wa_3_0_0,"(-20, 26)",
22,bitmap,h_std_wa_3_1_0,"(-24, 25)",
23,bitmap,h_std_wa_3_2_0,"(-21, 26)",
24,bitmap,h_std_wa_3_3_0,"(-22, 25)",
25,bitmap,h_std_wa_3_7_0,"(-22, 21)",
26,bitmap,h_lay_wa_3_2_0,"(-16, 16)",
31,bitmap,h_std_wa_4_0_0,"(-20, 26)",
32,bitmap,h_std_wa_4_1_0,"(-24, 24)",
33,bitmap,h_std_wa_4_2_0,"(-21, 26)",
34,bitmap,h_std_wa_4_3_0,"(-22, 22)",
35,bitmap,h_std_wa_4_7_0,"(-22, 21)",
36,bitmap,h_lay_wa_4_2_0,"(-16, 15)",
41,bitmap,h_std_wa_5_0_0,"(-20, 26)",
42,bitmap,h_std_wa_5_1_0,"(-24, 25)",
43,bitmap,h_std_wa_5_2_0,"(-21, 26)",
44,bitmap,h_std_wa_5_3_0,"(-22, 22)",
45,bitmap,h_std_wa_5_7_0,"(-22, 21)",
46,bitmap,h_lay_wa_5_2_0,"(-16, 15)",
51,bitmap,h_std_wa_6_0_0,"(-18, 27)",
52,bitmap,h_std_wa_6_1_0,"(-24, 24)",
53,bitmap,h_std_wa_6_2_0,"(-19, 27)",
54,bitmap,h_std_wa_6_3_0,"(-19, 23)",
55,bitmap,h_std_wa_6_7_0,"(-22, 22)",
56,bitmap,h_lay_wa_6_2_0,"(-14, 17)",
61,bitmap,h_std_wa_7_0_0,"(-20, 27)",
62,bitmap,h_std_wa_7_1_0,"(-24, 24)",
63,bitmap,h_std_wa_7_2_0,"(-21, 27)",
64,bitmap,h_std_wa_7_3_0,"(-22, 23)",
65,bitmap,h_std_wa_7_7_0,"(-22, 22)",
66,bitmap,h_lay_wa_7_2_0,"(-15, 15)",
71,bitmap,h_std_wa_8_0_0,"(-20, 25)",
72,bitmap,h_std_wa_8_1_0,"(-24, 25)",
73,bitmap,h_std_wa_8_2_0,"(-21, 25)",
74,bitmap,h_std_wa_8_3_0,"(-22, 22)",
75,bitmap,h_std_wa_8_7_0,"(-22, 20)",
76,bitmap,h_lay_wa_8_2_0,"(-16, 15)",
81,bitmap,h_std_wa_9_0_0,"(-20, 26)",
82,bitmap,h_std_wa_9_1_0,"(-24, 24)",
83,bitmap,h_std_wa_9_2_0,"(-21, 26)",
84,bitmap,h_std_wa_9_3_0,"(-22, 22)",
85,bitmap,h_std_wa_9_7_0,"(-22, 21)",
86,bitmap,h_lay_wa_9_2_0,"(-16, 15)",
91,bitmap,h_std_wa_10_0_0,"(-18, 26)",
92,bitmap,h_std_wa_10_1_0,"(-24, 24)",
93,bitmap,h_std_wa_10_2_0,"(-22, 24)",
94,bitmap,h_std_wa_10_3_0,"(-21, 22)",
95,bitmap,h_std_wa_10_7_0,"(-22, 20)",
96,bitmap,h_lay_wa_10_2_0,"(-16, 13)",
101,bitmap,h_std_wa_11_0_0,"(-20, 27)",
102,bitmap,h_std_wa_11_1_0,"(-24, 25)",
103,bitmap,h_std_wa_11_2_0,"(-21, 27)",
104,bitmap,h_std_wa_11_3_0,"(-22, 23)",
105,bitmap,h_std_wa_11_7_0,"(-22, 22)",
106,bitmap,h_lay_wa_11_2_0,"(-16, 15)",
111,bitmap,h_std_wa_12_0_0,"(-20, 27)",
112,bitmap,h_std_wa_12_1_0,"(-23, 25)",
113,bitmap,h_std_wa_12_2_0,"(-21, 27)",
114,bitmap,h_std_wa_12_3_0,"(-22, 23)",
115,bitmap,h_std_wa_12_7_0,"(-22, 22)",
116,bitmap,h_lay_wa_12_2_0,"(-16, 15)",
