Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_fc_1_1_0,"(-39, 61)",
2,bitmap,h_spk_fc_1_1_0,"(-39, 62)",
3,bitmap,h_spk_fc_1_1_1,"(-39, 61)",
4,bitmap,h_sml_fc_1_1_0,"(-39, 62)",
5,bitmap,h_agr_fc_1_1_0,"(-39, 62)",
6,bitmap,h_srp_fc_1_1_0,"(-40, 62)",
7,bitmap,h_sad_fc_1_1_0,"(-40, 62)",
11,bitmap,h_std_fc_1_2_0,"(-36, 57)",
12,bitmap,h_spk_fc_1_2_0,"(-36, 58)",
13,bitmap,h_spk_fc_1_2_1,"(-37, 57)",
14,bitmap,h_sml_fc_1_2_0,"(-35, 57)",
15,bitmap,h_agr_fc_1_2_0,"(-38, 57)",
16,bitmap,h_srp_fc_1_2_0,"(-38, 57)",
17,bitmap,h_sad_fc_1_2_0,"(-37, 57)",
21,bitmap,h_std_fc_1_3_0,"(-30, 52)",
22,bitmap,h_spk_fc_1_3_0,"(-30, 53)",
23,bitmap,h_spk_fc_1_3_1,"(-31, 52)",
24,bitmap,h_sml_fc_1_3_0,"(-29, 52)",
25,bitmap,h_agr_fc_1_3_0,"(-30, 52)",
26,bitmap,h_srp_fc_1_3_0,"(-31, 52)",
27,bitmap,h_sad_fc_1_3_0,"(-30, 52)",
31,bitmap,h_lay_fc_1_2_0,"(1, 29)",
32,bitmap,h_lsp_fc_1_2_0,"(1, 29)",
33,bitmap,h_lsp_fc_1_2_1,"(1, 29)",
34,bitmap,h_lsm_fc_1_2_0,"(1, 29)",
35,bitmap,h_lag_fc_1_2_0,"(1, 29)",
36,bitmap,h_lsr_fc_1_2_0,"(1, 29)",
37,bitmap,h_lsa_fc_1_2_0,"(1, 29)",
51,bitmap,h_std_ey_1_1_0,"(-37, 61)",
52,bitmap,h_sml_ey_1_1_0,"(-37, 61)",
53,bitmap,h_agr_ey_1_1_0,"(-38, 61)",
54,bitmap,h_srp_ey_1_1_0,"(-37, 62)",
55,bitmap,h_sad_ey_1_1_0,"(-37, 62)",
56,bitmap,h_eyb_ey_1_1_0,"(-37, 61)",
58,palette,skin,"(0, 0)",
61,bitmap,h_std_ey_1_2_0,"(-33, 62)",
62,bitmap,h_sml_ey_1_2_0,"(-33, 62)",
63,bitmap,h_agr_ey_1_2_0,"(-33, 62)",
64,bitmap,h_srp_ey_1_2_0,"(-33, 63)",
65,bitmap,h_sad_ey_1_2_0,"(-33, 61)",
66,bitmap,h_eyb_ey_1_2_0,"(-33, 62)",
71,bitmap,h_std_ey_1_3_0,"(-26, 58)",
72,bitmap,h_sml_ey_1_3_0,"(-26, 58)",
73,bitmap,h_agr_ey_1_3_0,"(-27, 59)",
74,bitmap,h_srp_ey_1_3_0,"(-26, 59)",
75,bitmap,h_sad_ey_1_3_0,"(-26, 59)",
76,bitmap,h_eyb_ey_1_3_0,"(-26, 58)",
81,bitmap,h_lay_ey_1_2_0,"(8, 32)",
82,bitmap,h_lsm_ey_1_2_0,"(8, 32)",
83,bitmap,h_lag_ey_1_2_0,"(9, 32)",
84,bitmap,h_lsr_ey_1_2_0,"(9, 32)",
85,bitmap,h_lsa_ey_1_2_0,"(8, 32)",
86,bitmap,h_ley_ey_1_2_0,"(8, 32)",
101,bitmap,h_std_ey_3_1_0,"(-37, 61)",
102,bitmap,h_sml_ey_3_1_0,"(-37, 61)",
103,bitmap,h_agr_ey_3_1_0,"(-37, 62)",
104,bitmap,h_srp_ey_3_1_0,"(-37, 62)",
105,bitmap,h_sad_ey_3_1_0,"(-37, 61)",
106,bitmap,h_eyb_ey_3_1_0,"(-37, 61)",
111,bitmap,h_std_ey_3_2_0,"(-32, 62)",
112,bitmap,h_sml_ey_3_2_0,"(-32, 62)",
113,bitmap,h_agr_ey_3_2_0,"(-32, 63)",
114,bitmap,h_srp_ey_3_2_0,"(-32, 63)",
115,bitmap,h_sad_ey_3_2_0,"(-32, 62)",
116,bitmap,h_eyb_ey_3_2_0,"(-32, 61)",
121,bitmap,h_std_ey_3_3_0,"(-26, 59)",
122,bitmap,h_sml_ey_3_3_0,"(-26, 59)",
123,bitmap,h_agr_ey_3_3_0,"(-26, 60)",
124,bitmap,h_srp_ey_3_3_0,"(-26, 60)",
125,bitmap,h_sad_ey_3_3_0,"(-26, 59)",
126,bitmap,h_eyb_ey_3_3_0,"(-26, 59)",
131,bitmap,h_lay_ey_3_2_0,"(8, 32)",
132,bitmap,h_lsm_ey_3_2_0,"(8, 32)",
133,bitmap,h_lag_ey_3_2_0,"(9, 32)",
134,bitmap,h_lsr_ey_3_2_0,"(9, 32)",
135,bitmap,h_lsa_ey_3_2_0,"(8, 32)",
136,bitmap,h_ley_ey_3_2_0,"(8, 32)",
151,bitmap,h_std_ey_4_1_0,"(-37, 61)",
152,bitmap,h_sml_ey_4_1_0,"(-37, 62)",
153,bitmap,h_agr_ey_4_1_0,"(-37, 61)",
154,bitmap,h_srp_ey_4_1_0,"(-37, 62)",
155,bitmap,h_sad_ey_4_1_0,"(-37, 63)",
156,bitmap,h_eyb_ey_4_1_0,"(-38, 60)",
161,bitmap,h_std_ey_4_2_0,"(-33, 61)",
162,bitmap,h_sml_ey_4_2_0,"(-32, 61)",
163,bitmap,h_agr_ey_4_2_0,"(-33, 62)",
164,bitmap,h_srp_ey_4_2_0,"(-33, 61)",
165,bitmap,h_sad_ey_4_2_0,"(-33, 61)",
166,bitmap,h_eyb_ey_4_2_0,"(-33, 61)",
171,bitmap,h_std_ey_4_3_0,"(-25, 57)",
172,bitmap,h_sml_ey_4_3_0,"(-25, 57)",
173,bitmap,h_agr_ey_4_3_0,"(-25, 58)",
174,bitmap,h_srp_ey_4_3_0,"(-25, 59)",
175,bitmap,h_sad_ey_4_3_0,"(-25, 58)",
176,bitmap,h_eyb_ey_4_3_0,"(-26, 57)",
181,bitmap,h_lay_ey_4_2_0,"(7, 32)",
182,bitmap,h_lsm_ey_4_2_0,"(7, 32)",
183,bitmap,h_lag_ey_4_2_0,"(7, 32)",
184,bitmap,h_lsr_ey_4_2_0,"(7, 32)",
185,bitmap,h_lsa_ey_4_2_0,"(7, 32)",
186,bitmap,h_ley_ey_4_2_0,"(6, 31)",
201,bitmap,h_std_ey_6_1_0,"(-37, 62)",
202,bitmap,h_sml_ey_6_1_0,"(-37, 62)",
203,bitmap,h_agr_ey_6_1_0,"(-37, 62)",
204,bitmap,h_srp_ey_6_1_0,"(-37, 63)",
205,bitmap,h_sad_ey_6_1_0,"(-37, 62)",
206,bitmap,h_eyb_ey_6_1_0,"(-37, 62)",
211,bitmap,h_std_ey_6_2_0,"(-32, 63)",
212,bitmap,h_sml_ey_6_2_0,"(-32, 63)",
213,bitmap,h_agr_ey_6_2_0,"(-32, 63)",
214,bitmap,h_srp_ey_6_2_0,"(-32, 64)",
215,bitmap,h_sad_ey_6_2_0,"(-32, 63)",
216,bitmap,h_eyb_ey_6_2_0,"(-32, 63)",
221,bitmap,h_std_ey_6_3_0,"(-26, 60)",
222,bitmap,h_sml_ey_6_3_0,"(-26, 60)",
223,bitmap,h_agr_ey_6_3_0,"(-27, 60)",
224,bitmap,h_srp_ey_6_3_0,"(-27, 61)",
225,bitmap,h_sad_ey_6_3_0,"(-27, 60)",
226,bitmap,h_eyb_ey_6_3_0,"(-27, 60)",
231,bitmap,h_lay_ey_6_2_0,"(9, 33)",
232,bitmap,h_lsm_ey_6_2_0,"(9, 33)",
233,bitmap,h_lag_ey_6_2_0,"(9, 34)",
234,bitmap,h_lsr_ey_6_2_0,"(9, 33)",
235,bitmap,h_lsa_ey_6_2_0,"(9, 33)",
236,bitmap,h_ley_ey_6_2_0,"(9, 33)",
251,bitmap,h_std_ey_2_1_0,"(-37, 62)",
252,bitmap,h_sml_ey_2_1_0,"(-37, 62)",
253,bitmap,h_agr_ey_2_1_0,"(-37, 60)",
254,bitmap,h_srp_ey_2_1_0,"(-37, 63)",
255,bitmap,h_sad_ey_2_1_0,"(-37, 62)",
256,bitmap,h_eyb_ey_2_1_0,"(-37, 62)",
261,bitmap,h_std_ey_2_2_0,"(-33, 62)",
262,bitmap,h_sml_ey_2_2_0,"(-33, 62)",
263,bitmap,h_agr_ey_2_2_0,"(-32, 62)",
264,bitmap,h_srp_ey_2_2_0,"(-32, 63)",
265,bitmap,h_sad_ey_2_2_0,"(-32, 62)",
266,bitmap,h_eyb_ey_2_2_0,"(-33, 62)",
271,bitmap,h_std_ey_2_3_0,"(-26, 59)",
272,bitmap,h_sml_ey_2_3_0,"(-26, 59)",
273,bitmap,h_agr_ey_2_3_0,"(-26, 60)",
274,bitmap,h_srp_ey_2_3_0,"(-26, 60)",
275,bitmap,h_sad_ey_2_3_0,"(-25, 59)",
276,bitmap,h_eyb_ey_2_3_0,"(-26, 59)",
281,bitmap,h_lay_ey_2_2_0,"(9, 33)",
282,bitmap,h_lsm_ey_2_2_0,"(9, 33)",
283,bitmap,h_lag_ey_2_2_0,"(9, 33)",
284,bitmap,h_lsr_ey_2_2_0,"(9, 32)",
285,bitmap,h_lsa_ey_2_2_0,"(9, 32)",
286,bitmap,h_ley_ey_2_2_0,"(9, 33)",
301,bitmap,h_std_ey_5_1_0,"(-38, 62)",
302,bitmap,h_sml_ey_5_1_0,"(-38, 62)",
303,bitmap,h_agr_ey_5_1_0,"(-37, 62)",
304,bitmap,h_srp_ey_5_1_0,"(-38, 63)",
305,bitmap,h_sad_ey_5_1_0,"(-38, 63)",
306,bitmap,h_eyb_ey_5_1_0,"(-38, 62)",
311,bitmap,h_std_ey_5_2_0,"(-32, 62)",
312,bitmap,h_sml_ey_5_2_0,"(-32, 62)",
313,bitmap,h_agr_ey_5_2_0,"(-31, 62)",
314,bitmap,h_srp_ey_5_2_0,"(-32, 63)",
315,bitmap,h_sad_ey_5_2_0,"(-32, 61)",
316,bitmap,h_eyb_ey_5_2_0,"(-32, 62)",
321,bitmap,h_std_ey_5_3_0,"(-25, 59)",
322,bitmap,h_sml_ey_5_3_0,"(-25, 59)",
323,bitmap,h_agr_ey_5_3_0,"(-25, 59)",
324,bitmap,h_srp_ey_5_3_0,"(-25, 60)",
325,bitmap,h_sad_ey_5_3_0,"(-25, 59)",
326,bitmap,h_eyb_ey_5_3_0,"(-25, 59)",
331,bitmap,h_lay_ey_5_2_0,"(8, 32)",
332,bitmap,h_lsm_ey_5_2_0,"(8, 32)",
333,bitmap,h_lag_ey_5_2_0,"(9, 32)",
334,bitmap,h_lsr_ey_5_2_0,"(9, 32)",
335,bitmap,h_lsa_ey_5_2_0,"(8, 32)",
336,bitmap,h_ley_ey_5_2_0,"(8, 32)",
351,bitmap,h_std_ey_7_1_0,"(-36, 62)",
352,bitmap,h_sml_ey_7_1_0,"(-36, 62)",
353,bitmap,h_agr_ey_7_1_0,"(-36, 62)",
354,bitmap,h_srp_ey_7_1_0,"(-36, 63)",
355,bitmap,h_sad_ey_7_1_0,"(-36, 63)",
356,bitmap,h_eyb_ey_7_1_0,"(-36, 62)",
361,bitmap,h_std_ey_7_2_0,"(-32, 63)",
362,bitmap,h_sml_ey_7_2_0,"(-32, 63)",
363,bitmap,h_agr_ey_7_2_0,"(-32, 63)",
364,bitmap,h_srp_ey_7_2_0,"(-32, 64)",
365,bitmap,h_sad_ey_7_2_0,"(-32, 63)",
366,bitmap,h_eyb_ey_7_2_0,"(-32, 63)",
371,bitmap,h_std_ey_7_3_0,"(-26, 60)",
372,bitmap,h_sml_ey_7_3_0,"(-26, 60)",
373,bitmap,h_agr_ey_7_3_0,"(-26, 60)",
374,bitmap,h_srp_ey_7_3_0,"(-26, 61)",
375,bitmap,h_sad_ey_7_3_0,"(-27, 60)",
376,bitmap,h_eyb_ey_7_3_0,"(-26, 60)",
381,bitmap,h_lay_ey_7_2_0,"(9, 33)",
382,bitmap,h_lsm_ey_7_2_0,"(9, 33)",
383,bitmap,h_lag_ey_7_2_0,"(9, 34)",
384,bitmap,h_lsr_ey_7_2_0,"(9, 33)",
385,bitmap,h_lsa_ey_7_2_0,"(9, 33)",
386,bitmap,h_ley_ey_7_2_0,"(9, 33)",
401,bitmap,h_std_ey_8_1_0,"(-37, 62)",
402,bitmap,h_sml_ey_8_1_0,"(-37, 62)",
403,bitmap,h_agr_ey_8_1_0,"(-37, 62)",
404,bitmap,h_srp_ey_8_1_0,"(-37, 63)",
405,bitmap,h_sad_ey_8_1_0,"(-37, 62)",
406,bitmap,h_eyb_ey_8_1_0,"(-37, 62)",
411,bitmap,h_std_ey_8_2_0,"(-32, 63)",
412,bitmap,h_sml_ey_8_2_0,"(-32, 63)",
413,bitmap,h_agr_ey_8_2_0,"(-32, 63)",
414,bitmap,h_srp_ey_8_2_0,"(-32, 64)",
415,bitmap,h_sad_ey_8_2_0,"(-32, 61)",
416,bitmap,h_eyb_ey_8_2_0,"(-32, 63)",
421,bitmap,h_std_ey_8_3_0,"(-25, 59)",
422,bitmap,h_sml_ey_8_3_0,"(-25, 59)",
423,bitmap,h_agr_ey_8_3_0,"(-25, 59)",
424,bitmap,h_srp_ey_8_3_0,"(-25, 60)",
425,bitmap,h_sad_ey_8_3_0,"(-25, 59)",
426,bitmap,h_eyb_ey_8_3_0,"(-25, 59)",
431,bitmap,h_lay_ey_8_2_0,"(8, 32)",
432,bitmap,h_lsm_ey_8_2_0,"(8, 32)",
433,bitmap,h_lag_ey_8_2_0,"(9, 32)",
434,bitmap,h_lsr_ey_8_2_0,"(9, 32)",
435,bitmap,h_lsa_ey_8_2_0,"(8, 32)",
436,bitmap,h_ley_ey_8_2_0,"(8, 32)",
451,bitmap,h_std_ey_9_1_0,"(-36, 62)",
452,bitmap,h_sml_ey_9_1_0,"(-36, 62)",
453,bitmap,h_agr_ey_9_1_0,"(-36, 62)",
454,bitmap,h_srp_ey_9_1_0,"(-36, 63)",
455,bitmap,h_sad_ey_9_1_0,"(-36, 62)",
456,bitmap,h_eyb_ey_9_1_0,"(-36, 62)",
461,bitmap,h_std_ey_9_2_0,"(-32, 63)",
462,bitmap,h_sml_ey_9_2_0,"(-32, 63)",
463,bitmap,h_agr_ey_9_2_0,"(-32, 62)",
464,bitmap,h_srp_ey_9_2_0,"(-32, 64)",
465,bitmap,h_sad_ey_9_2_0,"(-32, 62)",
466,bitmap,h_eyb_ey_9_2_0,"(-32, 63)",
471,bitmap,h_std_ey_9_3_0,"(-24, 59)",
472,bitmap,h_sml_ey_9_3_0,"(-24, 59)",
473,bitmap,h_agr_ey_9_3_0,"(-24, 58)",
474,bitmap,h_srp_ey_9_3_0,"(-24, 60)",
475,bitmap,h_sad_ey_9_3_0,"(-24, 59)",
476,bitmap,h_eyb_ey_9_3_0,"(-24, 59)",
