Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
11,bitmap,h_std_hr_1_0_0,"(-16, 75)",
12,bitmap,h_std_hrb_1_0_0,"(-16, 75)",
13,bitmap,h_std_hr_1_1_0,"(-16, 75)",
14,bitmap,h_std_hrb_1_1_0,"(-16, 75)",
15,bitmap,h_std_hr_1_2_0,"(-15, 78)",
16,bitmap,h_std_hrb_1_2_0,"(-15, 78)",
17,bitmap,h_std_hr_1_3_0,"(-18, 78)",
18,bitmap,h_std_hrb_1_3_0,"(-18, 78)",
19,bitmap,h_std_hr_1_7_0,"(-18, 75)",
20,bitmap,h_std_hrb_1_7_0,"(-18, 75)",
21,bitmap,h_spk_hr_1_0_0,"(-16, 76)",
22,bitmap,h_spk_hrb_1_0_0,"(-16, 76)",
23,bitmap,h_spk_hr_1_1_0,"(-16, 76)",
24,bitmap,h_spk_hrb_1_1_0,"(-16, 76)",
25,bitmap,h_spk_hr_1_2_0,"(-15, 79)",
26,bitmap,h_spk_hrb_1_2_0,"(-15, 79)",
27,bitmap,h_spk_hr_1_3_0,"(-18, 79)",
28,bitmap,h_spk_hrb_1_3_0,"(-18, 79)",
29,bitmap,h_spk_hr_1_7_0,"(-18, 76)",
30,bitmap,h_spk_hrb_1_7_0,"(-18, 76)",
31,bitmap,h_lay_hr_1_2_0,"(22, 40)",
32,bitmap,h_lay_hrb_1_2_0,"(22, 40)",
33,bitmap,h_lsp_hr_1_2_0,"(22, 40)",
34,bitmap,h_lsp_hrb_1_2_0,"(22, 40)",
41,bitmap,h_std_hr_2_0_0,"(-16, 75)",
42,bitmap,h_std_hrb_2_0_0,"(-16, 75)",
43,bitmap,h_std_hr_2_1_0,"(-16, 75)",
44,bitmap,h_std_hrb_2_1_0,"(-16, 75)",
45,bitmap,h_std_hr_2_2_0,"(-15, 78)",
46,bitmap,h_std_hrb_2_2_0,"(-15, 78)",
47,bitmap,h_std_hr_2_3_0,"(-17, 78)",
48,bitmap,h_std_hrb_2_3_0,"(-17, 78)",
49,bitmap,h_std_hr_2_7_0,"(-18, 75)",
50,bitmap,h_std_hrb_2_7_0,"(-18, 75)",
51,bitmap,h_spk_hr_2_0_0,"(-16, 76)",
52,bitmap,h_spk_hrb_2_0_0,"(-16, 76)",
53,bitmap,h_spk_hr_2_1_0,"(-16, 76)",
54,bitmap,h_spk_hrb_2_1_0,"(-16, 76)",
55,bitmap,h_spk_hr_2_2_0,"(-15, 79)",
56,bitmap,h_spk_hrb_2_2_0,"(-15, 79)",
57,bitmap,h_spk_hr_2_3_0,"(-17, 79)",
58,bitmap,h_spk_hrb_2_3_0,"(-17, 79)",
59,bitmap,h_spk_hr_2_7_0,"(-18, 76)",
60,bitmap,h_spk_hrb_2_7_0,"(-18, 76)",
61,bitmap,h_lay_hr_2_2_0,"(22, 40)",
62,bitmap,h_lay_hrb_2_2_0,"(22, 40)",
71,bitmap,h_std_hr_3_0_0,"(-13, 75)",
72,bitmap,h_std_hrb_3_0_0,"(-13, 75)",
73,bitmap,h_std_hr_3_1_0,"(-13, 75)",
74,bitmap,h_std_hrb_3_1_0,"(-13, 75)",
75,bitmap,h_std_hr_3_2_0,"(-11, 79)",
76,bitmap,h_std_hrb_3_2_0,"(-11, 79)",
77,bitmap,h_std_hr_3_3_0,"(-13, 78)",
78,bitmap,h_std_hrb_3_3_0,"(-13, 78)",
79,bitmap,h_std_hr_3_7_0,"(-14, 75)",
80,bitmap,h_std_hrb_3_7_0,"(-14, 75)",
81,bitmap,h_spk_hr_3_0_0,"(-13, 76)",
82,bitmap,h_spk_hrb_3_0_0,"(-13, 76)",
83,bitmap,h_spk_hr_3_1_0,"(-13, 76)",
84,bitmap,h_spk_hrb_3_1_0,"(-13, 76)",
85,bitmap,h_spk_hr_3_2_0,"(-11, 80)",
86,bitmap,h_spk_hrb_3_2_0,"(-11, 80)",
87,bitmap,h_spk_hr_3_3_0,"(-13, 79)",
