Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
11,bitmap,h_std_ha_1_0_0,"(-11, 82)",
12,bitmap,h_std_ha_1_1_0,"(-9, 86)",
13,bitmap,h_std_ha_1_2_0,"(-11, 83)",
14,bitmap,h_std_ha_1_3_0,"(-13, 81)",
15,bitmap,h_std_ha_1_7_0,"(-13, 78)",
16,bitmap,h_spk_ha_1_0_0,"(-11, 83)",
17,bitmap,h_spk_ha_1_1_0,"(-9, 86)",
18,bitmap,h_spk_ha_1_2_0,"(-11, 83)",
19,bitmap,h_spk_ha_1_3_0,"(-13, 81)",
20,bitmap,h_spk_ha_1_7_0,"(-13, 79)",
21,bitmap,h_lay_ha_1_2_0,"(31, 46)",
31,bitmap,h_std_ha_2_0_0,"(-17, 74)",
32,bitmap,h_std_ha_2_1_0,"(-17, 75)",
33,bitmap,h_std_ha_2_2_0,"(-18, 74)",
34,bitmap,h_std_ha_2_3_0,"(-20, 76)",
35,bitmap,h_std_ha_2_7_0,"(-20, 76)",
36,bitmap,h_spk_ha_2_0_0,"(-17, 76)",
37,bitmap,h_spk_ha_2_1_0,"(-17, 77)",
38,bitmap,h_spk_ha_2_2_0,"(-18, 75)",
39,bitmap,h_spk_ha_2_3_0,"(-20, 77)",
40,bitmap,h_spk_ha_2_7_0,"(-20, 78)",
41,bitmap,h_lay_ha_2_2_0,"(22, 43)",
42,bitmap,h_lsp_ha_2_2_0,"(22, 43)",
51,bitmap,h_std_ha_3_0_0,"(-14, 75)",
52,bitmap,h_std_ha_3_1_0,"(-12, 76)",
53,bitmap,h_std_ha_3_2_0,"(-16, 76)",
54,bitmap,h_std_ha_3_3_0,"(-19, 76)",
55,bitmap,h_std_ha_3_7_0,"(-19, 74)",
56,bitmap,h_spk_ha_3_0_0,"(-14, 76)",
57,bitmap,h_spk_ha_3_1_0,"(-12, 77)",
58,bitmap,h_spk_ha_3_2_0,"(-16, 77)",
59,bitmap,h_spk_ha_3_3_0,"(-19, 77)",
60,bitmap,h_spk_ha_3_7_0,"(-19, 75)",
61,bitmap,h_lay_ha_3_2_0,"(21, 38)",
62,bitmap,h_lsp_ha_3_2_0,"(21, 38)",
71,bitmap,h_std_ha_4_0_0,"(-15, 76)",
72,bitmap,h_std_ha_4_1_0,"(-17, 75)",
73,bitmap,h_std_ha_4_2_0,"(-17, 75)",
74,bitmap,h_std_ha_4_3_0,"(-18, 74)",
75,bitmap,h_std_ha_4_7_0,"(-18, 72)",
76,bitmap,h_spk_ha_4_0_0,"(-15, 77)",
77,bitmap,h_spk_ha_4_1_0,"(-17, 76)",
78,bitmap,h_spk_ha_4_2_0,"(-17, 76)",
79,bitmap,h_spk_ha_4_3_0,"(-18, 75)",
80,bitmap,h_spk_ha_4_7_0,"(-18, 73)",
81,bitmap,h_lay_ha_4_2_0,"(21, 37)",
82,bitmap,h_lsp_ha_4_2_0,"(21, 37)",
91,bitmap,h_std_ha_5_0_0,"(-15, 74)",
92,bitmap,h_std_ha_5_1_0,"(-13, 76)",
93,bitmap,h_std_ha_5_2_0,"(-14, 76)",
94,bitmap,h_std_ha_5_3_0,"(-19, 76)",
95,bitmap,h_std_ha_5_7_0,"(-20, 73)",
96,bitmap,h_spk_ha_5_0_0,"(-15, 75)",
97,bitmap,h_spk_ha_5_1_0,"(-13, 77)",
98,bitmap,h_spk_ha_5_2_0,"(-14, 77)",
99,bitmap,h_spk_ha_5_3_0,"(-19, 77)",
100,bitmap,h_spk_ha_5_7_0,"(-20, 74)",
101,bitmap,h_lay_ha_5_2_0,"(21, 37)",
102,bitmap,h_lsp_ha_5_2_0,"(23, 37)",
111,bitmap,h_std_ha_6_0_0,"(-11, 75)",
112,bitmap,h_std_ha_6_1_0,"(-8, 77)",
113,bitmap,h_std_ha_6_2_0,"(-9, 79)",
114,bitmap,h_std_ha_6_3_0,"(-19, 76)",
115,bitmap,h_std_ha_6_7_0,"(-19, 74)",
116,bitmap,h_spk_ha_6_0_0,"(-11, 75)",
117,bitmap,h_spk_ha_6_1_0,"(-9, 78)",
118,bitmap,h_spk_ha_6_2_0,"(-9, 79)",
119,bitmap,h_spk_ha_6_3_0,"(-19, 77)",
120,bitmap,h_spk_ha_6_7_0,"(-19, 75)",
121,bitmap,h_lay_ha_6_2_0,"(27, 39)",
122,bitmap,h_lsp_ha_6_2_0,"(27, 39)",
131,bitmap,h_std_ha_7_0_0,"(-11, 90)",
132,bitmap,h_std_ha_7_1_0,"(-16, 89)",
133,bitmap,h_std_ha_7_2_0,"(-11, 89)",
134,bitmap,h_std_ha_7_3_0,"(-9, 90)",
135,bitmap,h_std_ha_7_7_0,"(-9, 87)",
136,bitmap,h_spk_ha_7_0_0,"(-11, 91)",
137,bitmap,h_spk_ha_7_1_0,"(-16, 90)",
138,bitmap,h_spk_ha_7_2_0,"(-11, 90)",
139,bitmap,h_spk_ha_7_3_0,"(-9, 91)",
140,bitmap,h_spk_ha_7_7_0,"(-9, 88)",
141,bitmap,h_lay_ha_7_2_0,"(41, 54)",
142,bitmap,h_lsp_ha_7_2_0,"(41, 54)",
151,bitmap,h_std_ha_8_0_0,"(-12, 87)",
152,bitmap,h_std_ha_8_1_0,"(-17, 83)",
153,bitmap,h_std_ha_8_2_0,"(-9, 86)",
154,bitmap,h_std_ha_8_3_0,"(-6, 85)",
155,bitmap,h_std_ha_8_7_0,"(-7, 83)",
156,bitmap,h_spk_ha_8_0_0,"(-12, 88)",
157,bitmap,h_spk_ha_8_1_0,"(-17, 84)",
158,bitmap,h_spk_ha_8_2_0,"(-9, 87)",
159,bitmap,h_spk_ha_8_3_0,"(-6, 86)",
160,bitmap,h_spk_ha_8_7_0,"(-7, 84)",
161,bitmap,h_lay_ha_8_2_0,"(22, 38)",
162,bitmap,h_lsp_ha_8_2_0,"(22, 38)",
171,bitmap,h_std_ha_9_0_0,"(-14, 76)",
172,bitmap,h_std_ha_9_1_0,"(-15, 77)",
173,bitmap,h_std_ha_9_2_0,"(-17, 76)",
174,bitmap,h_std_ha_9_3_0,"(-19, 76)",
175,bitmap,h_std_ha_9_7_0,"(-19, 75)",
176,bitmap,h_spk_ha_9_0_0,"(-14, 78)",
177,bitmap,h_spk_ha_9_1_0,"(-15, 78)",
178,bitmap,h_spk_ha_9_2_0,"(-17, 77)",
179,bitmap,h_spk_ha_9_3_0,"(-19, 77)",
180,bitmap,h_spk_ha_9_7_0,"(-19, 76)",
181,bitmap,h_lay_ha_9_2_0,"(23, 41)",
191,bitmap,h_std_ha_10_0_0,"(-18, 75)",
192,bitmap,h_std_ha_10_1_0,"(-18, 76)",
193,bitmap,h_std_ha_10_2_0,"(-20, 76)",
194,bitmap,h_std_ha_10_3_0,"(-20, 76)",
195,bitmap,h_std_ha_10_7_0,"(-20, 74)",
196,bitmap,h_spk_ha_10_0_0,"(-18, 76)",
197,bitmap,h_spk_ha_10_1_0,"(-18, 76)",
198,bitmap,h_spk_ha_10_2_0,"(-20, 77)",
199,bitmap,h_spk_ha_10_3_0,"(-20, 77)",
200,bitmap,h_spk_ha_10_7_0,"(-20, 75)",
201,bitmap,h_lay_ha_10_2_0,"(21, 37)",
202,bitmap,h_lsp_ha_10_2_0,"(21, 37)",
211,bitmap,h_std_ha_11_0_0,"(-16, 76)",
212,bitmap,h_std_ha_11_1_0,"(-15, 78)",
213,bitmap,h_std_ha_11_2_0,"(-15, 78)",
214,bitmap,h_std_ha_11_3_0,"(-17, 78)",
215,bitmap,h_std_ha_11_7_0,"(-17, 75)",
216,bitmap,h_spk_ha_11_0_0,"(-16, 77)",
217,bitmap,h_spk_ha_11_1_0,"(-15, 79)",
