Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_lg_1_0_0,"(-21, 23)",
2,bitmap,h_std_lg_1_1_0,"(-26, 19)",
3,bitmap,h_std_lg_1_2_0,"(-22, 25)",
4,bitmap,h_std_lg_1_3_0,"(-22, 21)",
5,bitmap,h_std_lg_1_7_0,"(-22, 20)",
6,bitmap,h_wlk_lg_1_0_0,"(-21, 23)",
7,bitmap,h_wlk_lg_1_0_1,"(-15, 22)",
8,bitmap,h_wlk_lg_1_0_2,"(-21, 23)",
9,bitmap,h_wlk_lg_1_0_3,"(-21, 22)",
10,bitmap,h_wlk_lg_1_1_0,"(-24, 19)",
11,bitmap,h_wlk_lg_1_1_1,"(-14, 19)",
12,bitmap,h_wlk_lg_1_1_2,"(-24, 19)",
13,bitmap,h_wlk_lg_1_1_3,"(-16, 18)",
14,bitmap,h_wlk_lg_1_2_0,"(-20, 25)",
15,bitmap,h_wlk_lg_1_2_1,"(-22, 24)",
16,bitmap,h_wlk_lg_1_2_2,"(-22, 25)",
17,bitmap,h_wlk_lg_1_2_3,"(-15, 24)",
18,bitmap,h_wlk_lg_1_3_0,"(-22, 20)",
19,bitmap,h_wlk_lg_1_3_1,"(-22, 19)",
20,bitmap,h_wlk_lg_1_3_2,"(-22, 20)",
21,bitmap,h_wlk_lg_1_3_3,"(-22, 19)",
22,bitmap,h_wlk_lg_1_7_0,"(-22, 19)",
23,bitmap,h_wlk_lg_1_7_1,"(-22, 18)",
24,bitmap,h_wlk_lg_1_7_2,"(-22, 19)",
25,bitmap,h_wlk_lg_1_7_3,"(-22, 18)",
26,bitmap,h_sit_lg_1_0_0,"(-23, 32)",
27,bitmap,h_sit_lg_1_2_0,"(-18, 24)",
28,bitmap,h_lay_lg_1_2_0,"(-19, 14)",
31,bitmap,h_std_lg_2_0_0,"(-21, 23)",
32,bitmap,h_std_lg_2_1_0,"(-24, 23)",
33,bitmap,h_std_lg_2_2_0,"(-22, 25)",
34,bitmap,h_std_lg_2_3_0,"(-22, 21)",
35,bitmap,h_std_lg_2_7_0,"(-22, 20)",
36,bitmap,h_wlk_lg_2_0_0,"(-21, 23)",
37,bitmap,h_wlk_lg_2_0_1,"(-19, 22)",
