Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_ch_1_0_0,"(-19, 48)",
2,bitmap,h_std_ch_1_1_0,"(-23, 47)",
3,bitmap,h_std_ch_1_2_0,"(-19, 48)",
4,bitmap,h_std_ch_1_3_0,"(-20, 48)",
5,bitmap,h_std_ch_1_7_0,"(-21, 45)",
6,bitmap,h_lay_ch_1_2_0,"(4, 23)",
11,bitmap,h_std_ch_3_0_0,"(-19, 48)",
12,bitmap,h_std_ch_3_1_0,"(-23, 48)",
13,bitmap,h_std_ch_3_2_0,"(-19, 48)",
14,bitmap,h_std_ch_3_3_0,"(-20, 48)",
15,bitmap,h_std_ch_3_7_0,"(-21, 47)",
16,bitmap,h_lay_ch_3_2_0,"(4, 23)",
21,bitmap,h_std_ch_5_0_0,"(-19, 48)",
22,bitmap,h_std_ch_5_1_0,"(-23, 48)",
23,bitmap,h_std_ch_5_2_0,"(-19, 48)",
24,bitmap,h_std_ch_5_3_0,"(-20, 48)",
25,bitmap,h_std_ch_5_7_0,"(-21, 47)",
26,bitmap,h_lay_ch_5_2_0,"(4, 24)",
31,bitmap,h_std_ch_8_0_0,"(-19, 48)",
32,bitmap,h_std_ch_8_1_0,"(-23, 47)",
33,bitmap,h_std_ch_8_2_0,"(-19, 48)",
34,bitmap,h_std_ch_8_3_0,"(-20, 48)",
35,bitmap,h_std_ch_8_7_0,"(-21, 45)",
36,bitmap,h_lay_ch_8_2_0,"(4, 23)",
41,bitmap,h_std_ch_9_0_0,"(-19, 48)",
42,bitmap,h_std_ch_9_1_0,"(-23, 50)",
43,bitmap,h_std_ch_9_2_0,"(-19, 48)",
44,bitmap,h_std_ch_9_3_0,"(-20, 48)",
45,bitmap,h_std_ch_9_7_0,"(-21, 46)",
46,bitmap,h_lay_ch_9_2_0,"(4, 23)",
51,bitmap,h_std_ch_10_0_0,"(-18, 50)",
52,bitmap,h_std_ch_10_1_0,"(-16, 51)",
53,bitmap,h_std_ch_10_2_0,"(-16, 54)",
54,bitmap,h_std_ch_10_3_0,"(-20, 48)",
55,bitmap,h_std_ch_10_7_0,"(-20, 47)",
56,bitmap,h_lay_ch_10_2_0,"(4, 23)",
81,bitmap,h_std_ch_20_0_0,"(-19, 49)",
82,bitmap,h_std_ch_20_1_0,"(-23, 49)",
83,bitmap,h_std_ch_20_2_0,"(-19, 49)",
84,bitmap,h_std_ch_20_3_0,"(-20, 49)",
85,bitmap,h_std_ch_20_7_0,"(-21, 47)",
86,bitmap,h_lay_ch_20_2_0,"(4, 23)",
88,bitmap,h_std_ch_1020_0_0,"(-24, 48)",
89,bitmap,h_std_ch_1020_1_0,"(-40, 38)",
90,bitmap,h_std_ch_1020_2_0,"(-34, 41)",
91,bitmap,h_std_ch_1020_3_0,"(-31, 40)",
92,bitmap,h_std_ch_1020_7_0,"(-23, 45)",
93,bitmap,h_lay_ch_1020_2_0,"(-10, 19)",
101,bitmap,h_std_ch_21_0_0,"(-19, 47)",
102,bitmap,h_std_ch_21_1_0,"(-23, 47)",
103,bitmap,h_std_ch_21_2_0,"(-19, 48)",
104,bitmap,h_std_ch_21_3_0,"(-20, 49)",
105,bitmap,h_std_ch_21_7_0,"(-21, 45)",
106,bitmap,h_lay_ch_21_2_0,"(4, 23)",
108,bitmap,h_std_ch_1021_0_0,"(-23, 47)",
109,bitmap,h_std_ch_1021_1_0,"(-38, 43)",
110,bitmap,h_std_ch_1021_2_0,"(-32, 43)",
111,bitmap,h_std_ch_1021_3_0,"(-27, 43)",
112,bitmap,h_std_ch_1021_7_0,"(-24, 45)",
113,bitmap,h_lay_ch_1021_2_0,"(-7, 19)",
121,bitmap,h_std_ch_100_0_0,"(-19, 47)",
122,bitmap,h_std_ch_100_1_0,"(-23, 47)",
123,bitmap,h_std_ch_100_2_0,"(-19, 48)",
124,bitmap,h_std_ch_100_3_0,"(-20, 50)",
125,bitmap,h_std_ch_100_7_0,"(-21, 45)",
126,bitmap,h_lay_ch_100_2_0,"(4, 23)",
128,bitmap,h_std_ch_1100_0_0,"(-19, 44)",
129,bitmap,h_std_ch_1100_1_0,"(-23, 47)",
130,bitmap,h_std_ch_1100_2_0,"(-19, 48)",
131,bitmap,h_std_ch_1100_3_0,"(-20, 46)",
132,bitmap,h_std_ch_1100_7_0,"(-21, 45)",
133,bitmap,h_lay_ch_1100_2_0,"(-14, 20)",
141,bitmap,h_std_ch_105_0_0,"(-19, 48)",
142,bitmap,h_std_ch_105_1_0,"(-23, 47)",
143,bitmap,h_std_ch_105_2_0,"(-19, 49)",
144,bitmap,h_std_ch_105_3_0,"(-20, 51)",
145,bitmap,h_std_ch_105_7_0,"(-21, 45)",
146,bitmap,h_lay_ch_105_2_0,"(4, 23)",
161,bitmap,h_std_ch_200_0_0,"(-19, 48)",
162,bitmap,h_std_ch_200_1_0,"(-23, 49)",
163,bitmap,h_std_ch_200_2_0,"(-19, 50)",
164,bitmap,h_std_ch_200_3_0,"(-20, 50)",
165,bitmap,h_std_ch_200_7_0,"(-21, 47)",
166,bitmap,h_lay_ch_200_2_0,"(4, 23)",
168,bitmap,h_std_ch_1200_0_0,"(-19, 36)",
169,bitmap,h_std_ch_1200_1_0,"(-23, 31)",
170,bitmap,h_std_ch_1200_2_0,"(-19, 36)",
171,bitmap,h_std_ch_1200_3_0,"(-20, 33)",
172,bitmap,h_std_ch_1200_7_0,"(-21, 34)",
173,bitmap,h_lay_ch_1200_2_0,"(-8, 17)",
181,bitmap,h_std_ch_202_0_0,"(-19, 48)",
182,bitmap,h_std_ch_202_1_0,"(-23, 47)",
183,bitmap,h_std_ch_202_2_0,"(-19, 49)",
184,bitmap,h_std_ch_202_3_0,"(-20, 48)",
185,bitmap,h_std_ch_202_7_0,"(-21, 46)",
