Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Instant Messenger Interface Class,"(0, 0)",
4,script,Instant Messenger Component Class,"(0, 0)",
5,script,Instant Messenger Handler Class,"(0, 0)",
7,script,IM Chat Renderer Class,"(0, 0)",
8,script,IM Tabs Class,"(0, 0)",
10,field,instant_message.window,"(0, 0)",
11,field,friend_invitation.window,"(0, 0)",
12,field,empty_im.window,"(0, 0)",
32,bitmap,button.minimize,"(0, 0)",
33,bitmap,button.closeconversation,"(0, 0)",
34,bitmap,button.close,"(0, 0)",
35,bitmap,tab.active,"(0, 0)",
36,bitmap,tab.inactive,"(0, 0)",
37,bitmap,tab.highlighted,"(0, 0)",
38,bitmap,tab.prev,"(0, 0)",
39,bitmap,tab.next,"(0, 0)",
40,bitmap,tab.prev.highlighted,"(0, 0)",
41,bitmap,tab.next.highlighted,"(0, 0)",
42,bitmap,tab.bg,"(0, 0)",
43,bitmap,tab.head.temp,"(-6, -7)",
44,bitmap,button.follow,"(0, 0)",
45,bitmap,button.scale,"(1, 1)",
46,bitmap,button.close.conversation,"(0, 0)",
47,bitmap,im.icon.active,"(0, 0)",
48,bitmap,im.icon.highlighted,"(0, 0)",
49,bitmap,im.icon.inactive,"(0, 0)",
50,bitmap,im_bg_white,"(0, 0)",
51,bitmap,im_bg_black_outline,"(0, 0)",
52,bitmap,text_input_upper_border,"(0, 0)",
53,bitmap,text_input_sidesandlower_border,"(0, 0)",
54,bitmap,im_bg_down_left_corner,"(0, 0)",
55,bitmap,im_bg_down_right_corner,"(0, 0)",
56,bitmap,im_bg_down_bar,"(0, 0)",
57,bitmap,im_bg_top_left_corner,"(0, 0)",
58,bitmap,im_bg_top_right_corner,"(0, 0)",
59,bitmap,im_bg_top_bar,"(0, 0)",
60,bitmap,im_border_pixel,"(0, 0)",
61,bitmap,im_bg_titlebar,"(0, 0)",
62,bitmap,shadow_top,"(0, 0)",
63,bitmap,shadow_middle,"(1, 0)",
64,bitmap,shadow_bottom,"(-9, 10)",
65,bitmap,im.icon.highlighted.2,"(0, 0)",
66,bitmap,im_bg_gray,"(0, 0)",
67,bitmap,button.follow.highlight,"(0, 0)",
68,bitmap,invite_bg_down_bar,"(0, 0)",
69,bitmap,invite_bg_down_left_corner,"(0, 0)",
70,bitmap,invite_bg_down_right_corner,"(0, 0)",
71,sound,im_new_tab_sound,"(0, 0)",
