Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,RoomKiosk Interface Class,"(0, 0)",
4,script,RoomKiosk Component Class,"(0, 0)",
5,script,RoomKiosk Handler Class,"(0, 0)",
7,field,roomatic1.window,"(0, 0)",
8,field,roomatic2.window,"(0, 0)",
9,field,roomatic3.window,"(0, 0)",
10,field,roomatic4.window,"(0, 0)",
11,field,roomatic5.window,"(0, 0)",
12,field,roomatic6.window,"(0, 0)",
13,field,roomatic7.window,"(0, 0)",
14,palette,roomkiosk_palette,"(0, 0)",
15,bitmap,matik_screen,"(0, 0)",
16,bitmap,matik_upp,"(0, 0)",
17,bitmap,matik_sids,"(0, 0)",
18,bitmap,matik_lower,"(0, 0)",
19,bitmap,matik_lo,"(0, 0)",
20,bitmap,button.checkbox_green.on,"(0, 0)",
21,bitmap,button.checkbox_green.off,"(0, 0)",
23,bitmap,buttonimage_green_left_cancel,"(0, 0)",
24,bitmap,buttonimage_green_middle,"(0, 0)",
25,bitmap,buttonimage_green_right,"(0, 0)",
26,bitmap,grun_pixul,"(0, 0)",
27,bitmap,buttonimage_green_left_fwd,"(0, 0)",
28,bitmap,buttonimage_green_left_back,"(0, 0)",
29,bitmap,roommaticbox1,"(0, 0)",
30,bitmap,roommaticbox2,"(0, 0)",
31,bitmap,whitepixel,"(0, 0)",
32,bitmap,blackpixel,"(0, 0)",
33,bitmap,roommatic_dot,"(0, 0)",
34,bitmap,roommatic_figure1,"(0, 0)",
35,bitmap,roommatic_figure2,"(0, 0)",
36,palette,Roomkiosk Object Palette,"(0, 0)",
37,bitmap,infokiosk_a_0_4_0,"(-5, 33)",
38,bitmap,infokiosk_sd,"(-4, 8)",
39,script,Roommatic Class,"(0, 0)",
40,field,memberalias.index,"(0, 0)",
42,field,roomatic_club.window,"(0, 0)",
43,bitmap,roomatic_close,"(0, 0)",
44,bitmap,button.radio_green.on,"(0, 0)",
45,bitmap,button.radio_green.off,"(0, 0)",
46,bitmap,rm_model_a_layout,"(35, 26)",
47,bitmap,rm_model_b_layout,"(33, 22)",
48,bitmap,rm_model_c_layout,"(21, 19)",
49,bitmap,rm_model_d_layout,"(37, 27)",
50,bitmap,rm_model_e_layout,"(33, 25)",
51,bitmap,rm_model_f_layout,"(35, 23)",
52,bitmap,rm_model_g_layout,"(38, 29)",
53,bitmap,rm_model_h_layout,"(37, 27)",
54,bitmap,rm_model_i_layout,"(67, 43)",
55,bitmap,rm_model_j_layout,"(66, 35)",
56,bitmap,rm_model_k_layout,"(68, 44)",
57,bitmap,rm_model_l_layout,"(66, 43)",
58,bitmap,rm_model_m_layout,"(58, 39)",
59,bitmap,rm_model_n_layout,"(65, 42)",
60,bitmap,rm_model_o_layout,"(59, 38)",
61,bitmap,rm_model_p_layout,"(59, 36)",
62,bitmap,rm_model_q_layout,"(60, 39)",
63,bitmap,rm_model_r_layout,"(66, 44)",
64,bitmap,rm_arrow_green,"(12, 14)",
65,bitmap,rm_hcbadge_green,"(0, 0)",
