Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Navigator Window Interface Class,"(0, 0)",
4,script,Navigator Roomlist Interface Class,"(0, 0)",
5,script,Navigator Component Class,"(0, 0)",
6,script,Navigator Handler Class,"(0, 0)",
7,script,Navigator Info Broker Class,"(0, 0)",
18,palette,nav_ui_palette,"(0, 0)",
19,bitmap,nav_tb_cr,"(0, 0)",
20,bitmap,nav_tb_tp,"(0, 0)",
21,bitmap,nav_tb_ed,"(0, 0)",
22,bitmap,nav_tb_px,"(0, 0)",
23,bitmap,nav_tb2_cr,"(0, 0)",
24,bitmap,nav_tb2_tp,"(0, 0)",
25,bitmap,nav_tb2_ed,"(0, 0)",
26,bitmap,nav_tb2_px,"(0, 0)",
27,bitmap,nav_tb3_cr,"(0, 0)",
28,bitmap,nav_tb3_tp,"(0, 0)",
29,bitmap,nav_tb3_ed,"(0, 0)",
30,bitmap,nav_tb3_px,"(0, 0)",
31,bitmap,nav_sd_cr,"(0, 0)",
32,bitmap,nav_sd_px,"(0, 0)",
33,bitmap,nav_sd2_cr,"(0, 0)",
34,bitmap,nav_sd2_px,"(0, 0)",
35,bitmap,nav_sd3_cr,"(0, 0)",
36,bitmap,nav_sd3_px,"(0, 0)",
37,bitmap,nav_ico_act_pr,"(0, 0)",
38,bitmap,nav_ico_act_gr,"(0, 0)",
39,bitmap,nav_ico_act_sr,"(0, 0)",
40,bitmap,nav_ico_act_or,"(0, 0)",
41,bitmap,nav_ico_act_fv,"(0, 0)",
42,bitmap,nav_ico_pr,"(0, 0)",
43,bitmap,nav_ico_gr,"(0, 0)",
44,bitmap,nav_ico_sr,"(0, 0)",
45,bitmap,nav_ico_or,"(0, 0)",
46,bitmap,nav_ico_fv,"(0, 0)",
47,bitmap,nav_rw_lf,"(0, 0)",
48,bitmap,nav_rw_lf1,"(0, 0)",
49,bitmap,nav_rw_lf2,"(0, 0)",
50,bitmap,nav_rw_lf3,"(0, 0)",
51,bitmap,nav_rw_lf4,"(0, 0)",
52,bitmap,nav_rw_plus,"(0, 0)",
53,bitmap,nav_bcktb_arr,"(0, 0)",
54,bitmap,nav_rw_arr,"(0, 0)",
55,bitmap,door_open,"(0, 0)",
56,bitmap,door_closed,"(0, 0)",
57,bitmap,door_password,"(0, 0)",
58,bitmap,nav_ico_def_pr,"(-7, 0)",
59,bitmap,nav_ico_def_gr,"(-1, -6)",
60,bitmap,nav_ico_def_src,"(-2, -4)",
61,bitmap,nav_ico_def_fav,"(0, -6)",
62,bitmap,nav_ico_def_own,"(-2, -4)",
63,bitmap,nav_ico_roomomatic,"(0, 0)",
64,field,nav_pr.window,"(0, 0)",
65,field,nav_gr0.window,"(0, 0)",
66,field,nav_gr_src.window,"(0, 0)",
67,field,nav_gr_own.window,"(0, 0)",
68,field,nav_gr_fav.window,"(0, 0)",
69,field,nav_gr_mod.window,"(0, 0)",
70,field,nav_gr_password.window,"(0, 0)",
71,field,nav_gr_trypassword.window,"(0, 0)",
72,field,nav_gr_passwordincorrect.window,"(0, 0)",
73,field,nav_gr_modify_delete1.window,"(0, 0)",
74,field,nav_gr_modify_delete2.window,"(0, 0)",
75,field,nav_gr_modify_delete3.window,"(0, 0)",
76,field,nav_gr_mod2.window,"(0, 0)",
77,field,nav_remove_rights.window,"(0, 0)",
78,field,nav_gr_mod_b.window,"(0, 0)",
79,bitmap,nav_plus.Image,"(0, 4)",
80,bitmap,nav_minus.Image,"(0, 4)",
81,bitmap,nav_rw_lf5,"(0, 0)",
82,bitmap,nav_rw_px5,"(0, 0)",
83,bitmap,nav_ico_gr_rebound,"(28, 33)",
