Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
5,field,waterbowl.props,"(0, 0)",
6,field,petfood3.props,"(0, 0)",
7,field,goodie1.props,"(0, 0)",
8,field,nest.props,"(0, 0)",
9,field,toy1.props,"(0, 0)",
10,field,petfood1.props,"(0, 0)",
21,bitmap,p_std_sd_001_0_0,"(-18, 7)",
22,palette,Pets Palette XXX,"(0, 0)",
23,bitmap,p_std_bd_round_0_0,"(-18, 22)",
24,bitmap,p_sit_bd_round_0_0,"(-17, 22)",
25,bitmap,p_lay_bd_round_0_0,"(-17, 14)",
26,bitmap,p_rdy_bd_round_0_0,"(-18, 19)",
27,bitmap,p_beg_bd_round_0_0,"(-17, 26)",
28,bitmap,p_ded_bd_round_0_0,"(-19, 21)",
29,bitmap,p_wlk_bd_round_0_1,"(-18, 22)",
30,bitmap,p_wlk_bd_round_0_3,"(-17, 22)",
31,bitmap,p_jmp_bd_round_0_2,"(-18, 34)",
32,bitmap,p_jmp_bd_round_0_3,"(-18, 28)",
33,bitmap,p_scr_bd_round_0_0,"(-17, 22)",
34,bitmap,p_scr_bd_round_0_1,"(-17, 22)",
35,bitmap,p_bnd_bd_round_0_1,"(-20, 23)",
36,bitmap,p_std_bd_round_1_0,"(-20, 19)",
37,bitmap,p_sit_bd_round_1_0,"(-22, 18)",
38,bitmap,p_lay_bd_round_1_0,"(-18, 14)",
39,bitmap,p_rdy_bd_round_1_0,"(-20, 19)",
40,bitmap,p_beg_bd_round_1_0,"(-22, 24)",
41,bitmap,p_ded_bd_round_1_0,"(-18, 19)",
42,bitmap,p_wlk_bd_round_1_1,"(-19, 19)",
43,bitmap,p_wlk_bd_round_1_3,"(-19, 19)",
44,bitmap,p_jmp_bd_round_1_2,"(-20, 30)",
45,bitmap,p_jmp_bd_round_1_3,"(-20, 29)",
46,bitmap,p_scr_bd_round_1_0,"(-22, 18)",
47,bitmap,p_scr_bd_round_1_1,"(-22, 18)",
48,bitmap,p_bnd_bd_round_1_1,"(-23, 22)",
49,bitmap,p_std_bd_round_2_0,"(-20, 22)",
50,bitmap,p_sit_bd_round_2_0,"(-21, 20)",
51,bitmap,p_lay_bd_round_2_0,"(-18, 17)",
52,bitmap,p_rdy_bd_round_2_0,"(-20, 22)",
53,bitmap,p_beg_bd_round_2_0,"(-21, 24)",
54,bitmap,p_ded_bd_round_2_0,"(-18, 21)",
55,bitmap,p_wlk_bd_round_2_1,"(-17, 22)",
56,bitmap,p_wlk_bd_round_2_3,"(-20, 22)",
57,bitmap,p_jmp_bd_round_2_2,"(-20, 29)",
58,bitmap,p_jmp_bd_round_2_3,"(-20, 32)",
59,bitmap,p_pla_bd_round_2_0,"(-21, 20)",
60,bitmap,p_pla_bd_round_2_1,"(-21, 20)",
61,bitmap,p_scr_bd_round_2_0,"(-21, 20)",
62,bitmap,p_scr_bd_round_2_1,"(-21, 20)",
63,bitmap,p_bnd_bd_round_2_1,"(-22, 24)",
64,bitmap,p_std_bd_round_3_0,"(-22, 23)",
65,bitmap,p_sit_bd_round_3_0,"(-20, 21)",
66,bitmap,p_lay_bd_round_3_0,"(-20, 17)",
67,bitmap,p_rdy_bd_round_3_0,"(-21, 23)",
68,bitmap,p_beg_bd_round_3_0,"(-21, 21)",
69,bitmap,p_ded_bd_round_3_0,"(-22, 20)",
70,bitmap,p_wlk_bd_round_3_1,"(-21, 23)",
71,bitmap,p_wlk_bd_round_3_3,"(-22, 23)",
72,bitmap,p_jmp_bd_round_3_2,"(-22, 29)",
73,bitmap,p_jmp_bd_round_3_3,"(-22, 33)",
74,bitmap,p_scr_bd_round_3_0,"(-19, 21)",
75,bitmap,p_scr_bd_round_3_1,"(-19, 21)",
76,bitmap,p_bnd_bd_round_3_1,"(-23, 26)",
77,bitmap,p_std_bd_round_7_0,"(-22, 22)",
78,bitmap,p_sit_bd_round_7_0,"(-18, 18)",
79,bitmap,p_lay_bd_round_7_0,"(-18, 14)",
80,bitmap,p_rdy_bd_round_7_0,"(-20, 19)",
81,bitmap,p_beg_bd_round_7_0,"(-18, 21)",
82,bitmap,p_ded_bd_round_7_0,"(-22, 20)",
83,bitmap,p_wlk_bd_round_7_1,"(-22, 22)",
84,bitmap,p_wlk_bd_round_7_3,"(-21, 22)",
85,bitmap,p_jmp_bd_round_7_2,"(-22, 34)",
86,bitmap,p_jmp_bd_round_7_3,"(-22, 26)",
87,bitmap,p_scr_bd_round_7_0,"(-18, 18)",
88,bitmap,p_scr_bd_round_7_1,"(-18, 18)",
89,bitmap,p_bnd_bd_round_7_1,"(-23, 25)",
91,bitmap,p_std_hd_croco_0_0,"(1, 3)",
92,bitmap,p_eyb_hd_croco_0_0,"(1, 2)",
93,bitmap,p_sml_hd_croco_0_0,"(1, 3)",
94,bitmap,p_joy_hd_croco_0_0,"(1, 4)",
95,bitmap,p_agr_hd_croco_0_0,"(1, 4)",
