Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
2,bitmap,s_p_std_sd_001_0_0,"(-11, 4)",
3,palette,s_Pets Palette XXX,"(0, 0)",
4,bitmap,s_p_std_bd_round_0_0,"(-10, 12)",
5,bitmap,s_p_sit_bd_round_0_0,"(-9, 12)",
6,bitmap,s_p_lay_bd_round_0_0,"(-9, 8)",
7,bitmap,s_p_rdy_bd_round_0_0,"(-10, 10)",
8,bitmap,s_p_beg_bd_round_0_0,"(-11, 14)",
9,bitmap,s_p_ded_bd_round_0_0,"(-10, 12)",
10,bitmap,s_p_wlk_bd_round_0_1,"(-10, 13)",
11,bitmap,s_p_wlk_bd_round_0_3,"(-10, 13)",
12,bitmap,s_p_jmp_bd_round_0_2,"(-10, 20)",
13,bitmap,s_p_jmp_bd_round_0_3,"(-10, 16)",
14,bitmap,s_p_scr_bd_round_0_0,"(-9, 12)",
15,bitmap,s_p_scr_bd_round_0_1,"(-9, 12)",
16,bitmap,s_p_bnd_bd_round_0_1,"(-12, 13)",
17,bitmap,s_p_std_bd_round_1_0,"(-11, 10)",
18,bitmap,s_p_sit_bd_round_1_0,"(-12, 10)",
19,bitmap,s_p_lay_bd_round_1_0,"(-10, 8)",
20,bitmap,s_p_rdy_bd_round_1_0,"(-11, 10)",
21,bitmap,s_p_beg_bd_round_1_0,"(-12, 14)",
22,bitmap,s_p_ded_bd_round_1_0,"(-10, 11)",
23,bitmap,s_p_wlk_bd_round_1_1,"(-12, 10)",
24,bitmap,s_p_wlk_bd_round_1_3,"(-11, 10)",
25,bitmap,s_p_jmp_bd_round_1_2,"(-11, 17)",
26,bitmap,s_p_jmp_bd_round_1_3,"(-11, 17)",
27,bitmap,s_p_scr_bd_round_1_0,"(-12, 10)",
28,bitmap,s_p_scr_bd_round_1_1,"(-12, 10)",
29,bitmap,s_p_bnd_bd_round_1_1,"(-13, 12)",
30,bitmap,s_p_std_bd_round_2_0,"(-11, 13)",
31,bitmap,s_p_sit_bd_round_2_0,"(-12, 11)",
32,bitmap,s_p_lay_bd_round_2_0,"(-10, 10)",
33,bitmap,s_p_rdy_bd_round_2_0,"(-11, 12)",
34,bitmap,s_p_beg_bd_round_2_0,"(-12, 13)",
35,bitmap,s_p_ded_bd_round_2_0,"(-10, 12)",
36,bitmap,s_p_wlk_bd_round_2_1,"(-9, 13)",
37,bitmap,s_p_wlk_bd_round_2_3,"(-11, 12)",
38,bitmap,s_p_jmp_bd_round_2_2,"(-11, 16)",
39,bitmap,s_p_jmp_bd_round_2_3,"(-11, 18)",
40,bitmap,s_p_pla_bd_round_2_0,"(-12, 11)",
41,bitmap,s_p_pla_bd_round_2_1,"(-12, 11)",
42,bitmap,s_p_scr_bd_round_2_0,"(-12, 11)",
43,bitmap,s_p_scr_bd_round_2_1,"(-12, 11)",
44,bitmap,s_p_bnd_bd_round_2_1,"(-13, 14)",
45,bitmap,s_p_std_bd_round_3_0,"(-13, 13)",
46,bitmap,s_p_sit_bd_round_3_0,"(-12, 12)",
47,bitmap,s_p_lay_bd_round_3_0,"(-12, 9)",
48,bitmap,s_p_rdy_bd_round_3_0,"(-12, 13)",
49,bitmap,s_p_beg_bd_round_3_0,"(-11, 12)",
50,bitmap,s_p_ded_bd_round_3_0,"(-12, 11)",
51,bitmap,s_p_wlk_bd_round_3_1,"(-12, 13)",
52,bitmap,s_p_wlk_bd_round_3_3,"(-13, 13)",
53,bitmap,s_p_jmp_bd_round_3_2,"(-11, 16)",
54,bitmap,s_p_jmp_bd_round_3_3,"(-12, 19)",
55,bitmap,s_p_scr_bd_round_3_0,"(-10, 12)",
56,bitmap,s_p_scr_bd_round_3_1,"(-10, 12)",
57,bitmap,s_p_bnd_bd_round_3_1,"(-13, 15)",
58,bitmap,s_p_std_bd_round_7_0,"(-12, 12)",
59,bitmap,s_p_sit_bd_round_7_0,"(-10, 10)",
60,bitmap,s_p_lay_bd_round_7_0,"(-10, 8)",
61,bitmap,s_p_rdy_bd_round_7_0,"(-12, 10)",
62,bitmap,s_p_beg_bd_round_7_0,"(-10, 12)",
63,bitmap,s_p_ded_bd_round_7_0,"(-12, 11)",
64,bitmap,s_p_wlk_bd_round_7_1,"(-13, 13)",
65,bitmap,s_p_wlk_bd_round_7_3,"(-12, 13)",
66,bitmap,s_p_jmp_bd_round_7_2,"(-12, 20)",
67,bitmap,s_p_jmp_bd_round_7_3,"(-12, 14)",
68,bitmap,s_p_scr_bd_round_7_0,"(-10, 10)",
69,bitmap,s_p_scr_bd_round_7_1,"(-10, 10)",
70,bitmap,s_p_bnd_bd_round_7_1,"(-13, 14)",
71,bitmap,s_p_std_hd_dog_0_0,"(2, 1)",
72,bitmap,s_p_eyb_hd_dog_0_0,"(2, 1)",
73,bitmap,s_p_sml_hd_dog_0_0,"(3, 2)",
74,bitmap,s_p_joy_hd_dog_0_0,"(4, 2)",
75,bitmap,s_p_agr_hd_dog_0_0,"(3, 2)",
76,bitmap,s_p_sad_hd_dog_0_0,"(2, 1)",
77,bitmap,s_p_mis_hd_dog_0_0,"(2, 1)",
78,bitmap,s_p_srp_hd_dog_0_0,"(4, 2)",
79,bitmap,s_p_puz_hd_dog_0_0,"(2, 1)",
80,bitmap,s_p_tng_hd_dog_0_0,"(2, 1)",
81,bitmap,s_p_crz_hd_dog_0_0,"(5, 1)",
82,bitmap,s_p_snf_hd_dog_0_0,"(1, 0)",
83,bitmap,s_p_snf_hd_dog_0_1,"(1, 0)",
84,bitmap,s_p_spk_hd_dog_0_0,"(4, 2)",
85,bitmap,s_p_spk_hd_dog_0_1,"(4, 1)",
86,bitmap,s_p_ded_hd_dog_0_0,"(1, 9)",
87,bitmap,s_p_std_hd_dog_1_0,"(2, 2)",
88,bitmap,s_p_eyb_hd_dog_1_0,"(2, 2)",
89,bitmap,s_p_sml_hd_dog_1_0,"(3, 2)",
90,bitmap,s_p_joy_hd_dog_1_0,"(3, 2)",
91,bitmap,s_p_agr_hd_dog_1_0,"(2, 3)",
92,bitmap,s_p_sad_hd_dog_1_0,"(2, 2)",
93,bitmap,s_p_mis_hd_dog_1_0,"(1, 2)",
94,bitmap,s_p_srp_hd_dog_1_0,"(2, 2)",
95,bitmap,s_p_puz_hd_dog_1_0,"(1, 2)",
96,bitmap,s_p_tng_hd_dog_1_0,"(2, 2)",
97,bitmap,s_p_crz_hd_dog_1_0,"(5, 3)",
98,bitmap,s_p_snf_hd_dog_1_0,"(0, 0)",
99,bitmap,s_p_snf_hd_dog_1_1,"(0, 0)",
100,bitmap,s_p_spk_hd_dog_1_0,"(3, 2)",
101,bitmap,s_p_spk_hd_dog_1_1,"(2, 2)",
102,bitmap,s_p_ded_hd_dog_1_0,"(0, 9)",
103,bitmap,s_p_std_hd_dog_2_0,"(3, 1)",
104,bitmap,s_p_eyb_hd_dog_2_0,"(3, 1)",
105,bitmap,s_p_sml_hd_dog_2_0,"(4, 1)",
106,bitmap,s_p_joy_hd_dog_2_0,"(5, 1)",
107,bitmap,s_p_agr_hd_dog_2_0,"(4, 2)",
108,bitmap,s_p_sad_hd_dog_2_0,"(3, 1)",
109,bitmap,s_p_mis_hd_dog_2_0,"(3, 1)",
110,bitmap,s_p_srp_hd_dog_2_0,"(4, 1)",
111,bitmap,s_p_puz_hd_dog_2_0,"(4, 1)",
112,bitmap,s_p_tng_hd_dog_2_0,"(3, 1)",
113,bitmap,s_p_crz_hd_dog_2_0,"(5, 2)",
114,bitmap,s_p_snf_hd_dog_2_0,"(3, 0)",
115,bitmap,s_p_snf_hd_dog_2_1,"(3, -1)",
116,bitmap,s_p_spk_hd_dog_2_0,"(3, 2)",
117,bitmap,s_p_spk_hd_dog_2_1,"(4, 1)",
118,bitmap,s_p_eat_hd_dog_2_0,"(3, 0)",
119,bitmap,s_p_eat_hd_dog_2_1,"(3, -1)",
120,bitmap,s_p_ded_hd_dog_2_0,"(2, 10)",
121,bitmap,s_p_std_hd_dog_3_0,"(6, 3)",
122,bitmap,s_p_eyb_hd_dog_3_0,"(6, 3)",
123,bitmap,s_p_sml_hd_dog_3_0,"(7, 3)",
124,bitmap,s_p_joy_hd_dog_3_0,"(8, 3)",
125,bitmap,s_p_agr_hd_dog_3_0,"(6, 3)",
126,bitmap,s_p_sad_hd_dog_3_0,"(6, 3)",
127,bitmap,s_p_mis_hd_dog_3_0,"(6, 2)",
128,bitmap,s_p_srp_hd_dog_3_0,"(7, 2)",
129,bitmap,s_p_puz_hd_dog_3_0,"(7, 2)",
130,bitmap,s_p_tng_hd_dog_3_0,"(7, 2)",
131,bitmap,s_p_crz_hd_dog_3_0,"(9, 2)",
132,bitmap,s_p_snf_hd_dog_3_0,"(6, 1)",
133,bitmap,s_p_snf_hd_dog_3_1,"(6, 0)",
134,bitmap,s_p_spk_hd_dog_3_0,"(8, 2)",
135,bitmap,s_p_spk_hd_dog_3_1,"(7, 2)",
136,bitmap,s_p_ded_hd_dog_3_0,"(10, 7)",
137,bitmap,s_p_std_hd_dog_7_0,"(6, 6)",
138,bitmap,s_p_eyb_hd_dog_7_0,"(6, 6)",
139,bitmap,s_p_sml_hd_dog_7_0,"(6, 6)",
140,bitmap,s_p_joy_hd_dog_7_0,"(8, 7)",
141,bitmap,s_p_agr_hd_dog_7_0,"(6, 6)",
142,bitmap,s_p_sad_hd_dog_7_0,"(6, 6)",
143,bitmap,s_p_mis_hd_dog_7_0,"(6, 5)",
144,bitmap,s_p_srp_hd_dog_7_0,"(8, 6)",
145,bitmap,s_p_puz_hd_dog_7_0,"(6, 5)",
146,bitmap,s_p_tng_hd_dog_7_0,"(6, 6)",
147,bitmap,s_p_crz_hd_dog_7_0,"(10, 6)",
148,bitmap,s_p_snf_hd_dog_7_0,"(6, 4)",
149,bitmap,s_p_snf_hd_dog_7_1,"(6, 4)",
150,bitmap,s_p_spk_hd_dog_7_0,"(6, 7)",
151,bitmap,s_p_spk_hd_dog_7_1,"(6, 6)",
152,bitmap,s_p_ded_hd_dog_7_0,"(9, 10)",
153,bitmap,s_p_std_tl_short_0_0,"(6, -2)",
154,bitmap,s_p_wav_tl_short_0_0,"(9, -3)",
155,bitmap,s_p_wav_tl_short_0_1,"(6, -5)",
156,bitmap,s_p_sml_tl_short_0_0,"(5, -2)",
157,bitmap,s_p_agr_tl_short_0_0,"(6, 0)",
158,bitmap,s_p_sad_tl_short_0_0,"(4, -6)",
