Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,script,Photo Interface Class,"(0, 0)",
3,script,Photo Component Class,"(0, 0)",
4,script,Photo Handler Class,"(0, 0)",
5,script,Photo Item Class,"(0, 0)",
6,bitmap,photo_small,"(10, 14)",
7,bitmap,rightwall photo,"(7, 11)",
8,bitmap,leftwall photo,"(7, 11)",
9,bitmap,cam_display_noise,"(0, 0)",
10,bitmap,photo_invalid,"(0, 0)",
11,bitmap,photo_stickie_window,"(0, 0)",
12,bitmap,photo_placeholder,"(0, 0)",
13,bitmap,photo_window_close,"(0, 0)",
14,bitmap,photo_placeholder_stroke,"(0, 0)",
15,bitmap,cam_photo_delete,"(0, 0)",
16,bitmap,cam_bg,"(0, 0)",
17,bitmap,cam_close,"(0, 0)",
18,bitmap,cam_display_noise_h,"(0, 0)",
19,bitmap,cam_display_noise_v,"(0, 0)",
20,bitmap,cam_display,"(0, 0)",
21,bitmap,cam_shoot,"(0, 0)",
22,bitmap,cam_release,"(0, 0)",
23,bitmap,cam_save,"(0, 0)",
24,bitmap,cam_zoom_in,"(0, 0)",
25,bitmap,cam_zoom_out,"(0, 0)",
26,bitmap,cam_txtscreen,"(0, 0)",
27,bitmap,cam_shoot_hi,"(0, 0)",
28,bitmap,cam_release_hi,"(0, 0)",
29,bitmap,cam_save_hi,"(0, 0)",
30,bitmap,cam_zoom_in_hi,"(0, 0)",
31,bitmap,cam_zoom_out_hi,"(0, 0)",
32,bitmap,cam_txtscreen_hi,"(0, 0)",
33,bitmap,photo_example,"(0, 0)",
34,bitmap,camera_sd,"(-14, 4)",
36,bitmap,camera_small,"(11, 15)",
37,bitmap,camera_a_0_1_1_0_0,"(-11, 71)",
38,field,camera_dialog.window,"(0, 0)",
39,field,photo_camera.window,"(0, 0)",
40,field,photo_window.window,"(0, 0)",
41,bitmap,sh_crr_ri_75_0_0,"(-18, 29)",
42,bitmap,sh_crr_ri_75_1_0,"(-20, 27)",
43,bitmap,sh_crr_ri_75_2_0,"(-16, 25)",
44,bitmap,sh_crr_ri_75_3_0,"(-11, 22)",
45,bitmap,sh_crr_ri_75_4_0,"(-4, 25)",
46,bitmap,sh_crr_ri_75_5_0,"(-3, 27)",
47,bitmap,sh_crr_ri_75_6_0,"(-4, 27)",
48,bitmap,sh_drk_ri_75_0_0,"(-17, 41)",
49,bitmap,sh_drk_ri_75_1_0,"(-23, 38)",
50,bitmap,sh_drk_ri_75_2_0,"(-18, 35)",
51,bitmap,sh_drk_ri_75_3_0,"(-12, 30)",
52,bitmap,sh_drk_ri_75_4_0,"(-3, 34)",
53,bitmap,sh_drk_ri_75_5_0,"(-1, 35)",
54,bitmap,sh_drk_ri_75_6_0,"(-4, 39)",
55,bitmap,h_crr_ri_75_0_0,"(-38, 59)",
56,bitmap,h_crr_ri_75_1_0,"(-43, 54)",
57,bitmap,h_crr_ri_75_2_0,"(-35, 51)",
58,bitmap,h_crr_ri_75_3_0,"(-25, 46)",
59,bitmap,h_crr_ri_75_4_0,"(-8, 51)",
60,bitmap,h_crr_ri_75_5_0,"(-5, 54)",
61,bitmap,h_crr_ri_75_6_0,"(-6, 56)",
62,bitmap,h_drk_ri_75_0_0,"(-33, 79)",
63,bitmap,h_drk_ri_75_1_0,"(-47, 79)",
64,bitmap,h_drk_ri_75_2_0,"(-43, 73)",
65,bitmap,h_drk_ri_75_3_0,"(-30, 66)",
66,bitmap,h_drk_ri_75_4_0,"(-7, 74)",
67,bitmap,h_drk_ri_75_5_0,"(-2, 78)",
68,bitmap,h_drk_ri_75_6_0,"(-8, 79)",
69,field,camera.props,"(0, 0)",
70,bitmap,s_camera_a_0_1_1_0_0,"(-6, 34)",
71,bitmap,s_camera_sd,"(-8, 0)",
72,field,s_camera.props,"(0, 0)",
73,bitmap,s_rightwall photo,"(5, 6)",
74,bitmap,s_leftwall photo,"(5, 6)",
