Number,Type,Name,Registration Point,Filename
1,field,variable.index,"(0, 0)",
2,script,Room GUI Class,"(0, 0)",
3,script,Room Bar Class,"(0, 0)",
4,script,Room Info Class,"(0, 0)",
5,script,Room Object Displayer Class,"(0, 0)",
6,script,Room Object Window Creator Class,"(0, 0)",
8,script,Tag List Class,"(0, 0)",
9,script,Infostand Text Scroller Class,"(0, 0)",
11,field,obj_disp_human.window,"(0, 0)",
12,field,obj_disp_furni.window,"(0, 0)",
13,field,obj_disp_pet.window,"(0, 0)",
14,field,obj_disp_links_own.window,"(0, 0)",
15,field,obj_disp_links_peer.window,"(0, 0)",
16,field,obj_disp_actions_own.window,"(0, 0)",
17,field,obj_disp_actions_peer.window,"(0, 0)",
18,field,obj_disp_actions_furni.window,"(0, 0)",
19,field,obj_disp_bottom.window,"(0, 0)",
20,field,obj_disp_base.window,"(0, 0)",
21,field,obj_disp_user_tags.window,"(0, 0)",
22,field,obj_disp_bot.window,"(0, 0)",
23,field,room_info_no_rating.window,"(0, 0)",
24,field,room_info.window,"(0, 0)",
25,field,room_info_event_details.window,"(0, 0)",
26,script,Popup Controller Class,"(0, 0)",
27,script,Navigator Popup Class,"(0, 0)",
28,field,navigator_popup.window,"(0, 0)",
29,field,nav_popup_bg.window,"(0, 0)",
30,field,popup_bg_white.window,"(0, 0)",
31,field,invitation.window,"(0, 0)",
34,script,Room Bar Extensions Manager,"(0, 0)",
35,script,Invitation Class,"(0, 0)",
36,script,Instant Friend Request Class,"(0, 0)",
37,field,instant_friend_request.window,"(0, 0)",
40,field,nuh_invitation.window,"(0, 0)",
41,field,nuh_room_left.window,"(0, 0)",
42,field,nuh_invitation_status.window,"(0, 0)",
43,field,nuh_invitation_status_bg.window,"(0, 0)",
44,field,nuh_invitation_failure.window,"(0, 0)",
45,field,nuh_invitation_success.window,"(0, 0)",
47,field,obj_disp_motto.window,"(0, 0)",
48,field,obj_disp_avatar.window,"(0, 0)",
49,field,badge_info.window,"(0, 0)",
