Number,Type,Name,Registration Point,Filename
1,field,variable.index,"(0, 0)",
2,field,thread.index,"(0, 0)",
3,script,Safe Trader Class,"(0, 0)",
4,script,HumanExtra Sign Class,"(0, 0)",
5,script,Select Arrow Class,"(0, 0)",
6,script,Dialog Thread Class,"(0, 0)",
7,script,Dialog Handler Class,"(0, 0)",
9,script,Flood Blocking Class,"(0, 0)",
10,script,User Chooser Class,"(0, 0)",
11,script,Group Info Class,"(0, 0)",
12,script,Ad Manager,"(0, 0)",
13,script,Interstitial Manager,"(0, 0)",
14,script,Badge Effect Class,"(0, 0)",
15,script,Furni Chooser Class,"(0, 0)",
16,script,Badge Manager Class,"(0, 0)",
17,script,Object Mover Class,"(0, 0)",
18,script,Container Hand Class,"(0, 0)",
19,script,Doorbell Class,"(0, 0)",
20,script,Ignore List Class,"(0, 0)",
21,script,Shadow Manager,"(0, 0)",
22,script,Info Stand Class,"(0, 0)",
23,script,OneWayDoor Manager Class,"(0, 0)",
25,script,Chat Manager,"(0, 0)",
26,script,Chat Display,"(0, 0)",
27,script,Chat Bubble Normal,"(0, 0)",
28,script,Chat Bubble Unheard,"(0, 0)",
29,script,Chat Bubble Info Basic,"(0, 0)",
31,script,RoomEvent List Class,"(0, 0)",
32,script,RoomEvent Browser Class,"(0, 0)",
34,field,group_info.window,"(0, 0)",
35,field,room_bar.window,"(0, 0)",
36,field,info_stand.window,"(0, 0)",
37,field,object_interface.window,"(0, 0)",
38,field,habbo_trading.window,"(0, 0)",
39,field,habbo_hand.visual,"(0, 0)",
40,field,chooser.window,"(0, 0)",
41,field,room_doorbell_waiting.window,"(0, 0)",
42,field,room_doorbell_rejected.window,"(0, 0)",
43,field,habbo_hand_buttons.window,"(0, 0)",
44,field,habbo_doorbell.window,"(0, 0)",
46,field,eventinfo_bubble.window,"(0, 0)",
47,field,roomevent_info.window,"(0, 0)",
48,field,roomevent_browser.window,"(0, 0)",
49,field,roomevent_create.window,"(0, 0)",
51,script,Details Bubble Class,"(0, 0)",
52,field,details_generic.window,"(0, 0)",
57,script,Badge List Class,"(0, 0)",
