Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,SoundMachine Interface Class,"(0, 0)",
4,script,SoundMachine Component Class,"(0, 0)",
5,script,SoundMachine Handler Class,"(0, 0)",
7,script,Sound Machine Instance,"(0, 0)",
8,script,Song TimeLine Class,"(0, 0)",
9,script,SongList Manager Class,"(0, 0)",
10,script,Jukebox Manager Class,"(0, 0)",
11,script,Song Controller Class,"(0, 0)",
12,script,Song Player Class,"(0, 0)",
15,script,Furniture Sound Machine Class,"(0, 0)",
16,script,Furniture Song Disk Class,"(0, 0)",
17,script,Furniture Jukebox Class,"(0, 0)",
21,field,sound_machine_jukebox.window,"(0, 0)",
22,field,sound_machine_playlist.window,"(0, 0)",
23,field,sound_machine_ui.window,"(0, 0)",
24,field,sound_machine_action.window,"(0, 0)",
25,field,sound_machine_window.window,"(0, 0)",
26,field,sound_machine_save.window,"(0, 0)",
27,field,sound_machine_jukebox_disklist.window,"(0, 0)",
31,palette,Sound_System Palette,"(0, 0)",
32,palette,sininapit Palette,"(0, 0)",
33,bitmap,sound_system_ui_tab1.active,"(0, 0)",
34,bitmap,sound_system_ui_tab1.pressed,"(0, 0)",
35,bitmap,sound_system_ui_tab1_2.active,"(0, 0)",
36,bitmap,sound_system_ui_tab1_2.pressed,"(0, 0)",
37,bitmap,sound_system_ui_tab2.active,"(0, 0)",
38,bitmap,sound_system_ui_tab2.pressed,"(0, 0)",
39,bitmap,sound_system_ui_tab3.active,"(0, 0)",
40,bitmap,sound_system_ui_tab3.pressed,"(0, 0)",
41,bitmap,sound_system_ui_tab4.active,"(0, 0)",
42,bitmap,sound_system_ui_tab4.pressed,"(0, 0)",
43,bitmap,sound_system_ui_tab5.active,"(0, 0)",
44,bitmap,sound_system_ui_tab5.pressed,"(10, 10)",
45,bitmap,sound_system_ui_tab45_bg,"(0, 0)",
46,bitmap,sound_system_ui_sample_g_1,"(10, 10)",
47,bitmap,sound_system_ui_sample_g_2,"(10, 10)",
48,bitmap,sound_system_ui_sample_g_3,"(10, 10)",
49,bitmap,sound_system_ui_sample_g_sp,"(1, 6)",
50,bitmap,sound_system_ui_sample_y_1,"(10, 10)",
51,bitmap,sound_system_ui_sample_y_2,"(10, 10)",
52,bitmap,sound_system_ui_sample_y_3,"(10, 10)",
53,bitmap,sound_system_ui_sample_y_sp,"(1, 6)",
54,bitmap,sound_system_ui_sample_p_1,"(10, 10)",
55,bitmap,sound_system_ui_sample_p_2,"(10, 10)",
56,bitmap,sound_system_ui_sample_p_3,"(10, 10)",
57,bitmap,sound_system_ui_sample_p_sp,"(1, 6)",
58,bitmap,sound_system_ui_sample_b_1,"(10, 10)",
59,bitmap,sound_system_ui_sample_b_2,"(10, 10)",
60,bitmap,sound_system_ui_sample_b_3,"(10, 10)",
61,bitmap,sound_system_ui_sample_b_sp,"(1, 6)",
62,bitmap,sound_system_ui_sample_1,"(0, 0)",
63,bitmap,sound_system_ui_sample_2,"(0, 0)",
64,bitmap,sound_system_ui_sample_3,"(0, 0)",
65,bitmap,sound_system_ui_sample_4,"(5, 6)",
66,bitmap,sound_system_ui_sample_5,"(2, 5)",
67,bitmap,sound_system_ui_sample_6,"(4, 6)",
68,bitmap,sound_system_ui_sample_7,"(4, 4)",
69,bitmap,sound_system_ui_sample_8,"(0, 0)",
70,bitmap,sound_system_ui_sample_9,"(0, 0)",
71,bitmap,sound_system_ui_setlist_bg,"(0, 0)",
72,bitmap,sound_system_ui_setlist_left.active,"(0, 0)",
73,bitmap,sound_system_ui_setlist_left.pressed,"(0, 0)",
74,bitmap,sound_system_ui_setlist_right.active,"(0, 0)",
75,bitmap,sound_system_ui_setlist_right.pressed,"(0, 0)",
76,bitmap,sound_system_ui_set_bg,"(0, 0)",
77,bitmap,sound_system_ui_set_tab,"(49, 12)",
78,bitmap,sound_system_ui_timeline_bg,"(0, 0)",
79,bitmap,sound_system_ui_timeline_bg2,"(0, 0)",
80,bitmap,sound_system_ui_playhead,"(0, 0)",
81,bitmap,sound_system_ui_playhead_drag,"(0, 0)",
82,bitmap,sound_system_ui,"(15, 104)",
83,bitmap,sound_system_ui_separator,"(-9, 100)",
84,bitmap,sound_system_ui_setlist_arrow_bg,"(0, 0)",
86,bitmap,soundmachine.window.top.left,"(0, 0)",
87,bitmap,soundmachine.window.top.middle,"(0, 0)",
88,bitmap,soundmachine.window.top.right,"(0, 0)",
89,bitmap,soundmachine.window.middle.left,"(0, 0)",
90,bitmap,soundmachine.window.middle.middle,"(0, 0)",
91,bitmap,soundmachine.window.middle.right,"(0, 0)",
92,bitmap,soundmachine.window.bottom.left,"(0, 0)",
93,bitmap,soundmachine.window.bottom.middle,"(0, 0)",
94,bitmap,soundmachine.window.bottom.right,"(0, 0)",
95,bitmap,soundmachine.grid.top.left,"(0, 0)",
96,bitmap,soundmachine.grid.top.middle,"(0, 0)",
97,bitmap,soundmachine.grid.top.right,"(0, 0)",
98,bitmap,soundmachine.button.close.up,"(0, 0)",
99,bitmap,soundmachine.button.close.down,"(0, 0)",
100,bitmap,soundmachine.shadow.top.right,"(0, 0)",
101,bitmap,soundmachine.shadow.bottom.left,"(0, 0)",
102,bitmap,soundmachine.shadow.bottom.right,"(0, 0)",
103,sound,sound_machine_sample_0,"(0, 0)",
106,bitmap,soundmachine_edit_song.active,"(0, 0)",
107,bitmap,soundmachine_edit_song.pressed,"(0, 0)",
108,bitmap,soundmachine_delete_song.active,"(0, 0)",
109,bitmap,soundmachine_delete_song.pressed,"(19, 11)",
110,bitmap,soundmachine_create_song.active,"(0, 0)",
111,bitmap,soundmachine_create_song.pressed,"(0, 0)",
112,bitmap,soundmachine_add_song.active,"(0, 0)",
113,bitmap,soundmachine_add_song.pressed,"(0, 0)",
114,bitmap,soundmachine_playlist_item,"(75, 8)",
115,bitmap,soundmachine_playlist_item2,"(75, 8)",
116,bitmap,soundmachine_playlist_up,"(9, 8)",
117,bitmap,soundmachine_playlist_up2,"(9, 7)",
118,bitmap,soundmachine_playlist_down,"(11, 8)",
119,bitmap,soundmachine_playlist_down2,"(10, 8)",
121,bitmap,sound_machine_name_bg,"(78, 11)",
122,bitmap,soundmachine_save_song.active,"(0, 0)",
123,bitmap,soundmachine_save_song.pressed,"(0, 0)",
124,bitmap,soundmachine_playlist_burned_tag,"(6, 6)",
126,bitmap,sound_machine_playlist_panel_topleft,"(0, 0)",
127,bitmap,sound_machine_playlist_panel_top,"(0, 0)",
