Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Tutorial Interface Class,"(0, 0)",
4,script,Tutorial Component Class,"(0, 0)",
5,script,Tutorial Handler Class,"(0, 0)",
7,script,Tutor Character Class,"(0, 0)",
8,script,Bubble Class,"(0, 0)",
9,script,Link Bubble Class,"(0, 0)",
10,script,Static Bubble Class,"(0, 0)",
11,script,Update Bubble Class,"(0, 0)",
13,script,NUH Interface Class,"(0, 0)",
14,script,NUH Component Class,"(0, 0)",
15,script,NUH Handler Class,"(0, 0)",
30,field,guide_character.window,"(0, 0)",
31,field,bubble.window,"(0, 0)",
32,field,bubble_text.window,"(0, 0)",
33,field,bubble_links.window,"(0, 0)",
34,field,tutorial_exit_menu.window,"(0, 0)",
35,field,tutorial_exit_menu_bg.window,"(0, 0)",
36,field,bubble_static.window,"(0, 0)",
61,bitmap,checkmark,"(1, 1)",
62,bitmap,checkmark_,"(5, 5)",
75,palette,tyypit Palette,"(0, 0)",
95,bitmap,shadow,"(0, 0)",
96,bitmap,bubble_corner,"(0, 0)",
97,bitmap,bubble_corner_shadow,"(0, 0)",
98,bitmap,bubble_down_left_corner_sha,"(0, 0)",
99,bitmap,bubble_down_right_corner_shadow,"(0, 0)",
100,bitmap,bubble_middle,"(0, 0)",
101,bitmap,bubble_pointer,"(0, 0)",
102,bitmap,bubble_pointer_shadow_1,"(1, 0)",
103,bitmap,bubble_pointer_shadow_2,"(1, 0)",
104,bitmap,bubble_pointer_shadow_3,"(0, 0)",
105,bitmap,bubble_pointer_shadow_4,"(0, 0)",
106,bitmap,bubble_pointer_side,"(0, 0)",
107,bitmap,bubble_side,"(0, 0)",
108,bitmap,bubble_side_2,"(0, 0)",
109,bitmap,bubble_help_close,"(0, 0)",
134,bitmap,bg.top.left,"(0, 0)",
135,bitmap,bg.top.middle,"(0, 0)",
136,bitmap,bg.top.right,"(0, 0)",
137,bitmap,bg.middle.left,"(0, 0)",
138,bitmap,bg.middle.middle,"(0, 0)",
139,bitmap,bg.middle.right,"(0, 0)",
140,bitmap,bg.bottom.left,"(0, 0)",
141,bitmap,bg.bottom.middle,"(0, 0)",
142,bitmap,bg.bottom.right,"(0, 0)",
143,palette,tutorial interface palette,"(0, 0)",
