Number,Type,Name,Registration Point,Filename
1,palette,ACH_palette Palette,"(0, 0)",
2,bitmap,ACH_palette image,"(224, 49)",
3,bitmap,badge ACH_AvatarLooks1,"(19, 20)",
4,bitmap,badge ACH_EmailVerification1,"(19, 20)",
5,bitmap,badge ACH_GamePlayed1,"(19, 19)",
6,bitmap,badge ACH_GamePlayed2,"(19, 19)",
7,bitmap,badge ACH_GamePlayed3,"(19, 19)",
8,bitmap,badge ACH_GamePlayed4,"(19, 19)",
9,bitmap,badge ACH_GamePlayed5,"(19, 19)",
10,bitmap,badge ACH_Graduate1,"(19, 20)",
11,bitmap,badge ACH_HappyHour1,"(19, 20)",
12,bitmap,badge ACH_Login1,"(19, 6)",
13,bitmap,badge ACH_Login2,"(19, 13)",
14,bitmap,badge ACH_Login3,"(19, 17)",
15,bitmap,badge ACH_Login4,"(19, 19)",
16,bitmap,badge ACH_Login5,"(19, 20)",
17,bitmap,badge ACH_Motto1,"(19, 20)",
18,bitmap,badge ACH_RegistrationDuration1,"(19, 20)",
19,bitmap,badge ACH_RegistrationDuration2,"(19, 20)",
20,bitmap,badge ACH_RegistrationDuration3,"(19, 20)",
21,bitmap,badge ACH_RegistrationDuration4,"(19, 20)",
22,bitmap,badge ACH_RegistrationDuration5,"(19, 20)",
23,bitmap,badge ACH_RegistrationDuration6,"(19, 20)",
24,bitmap,badge ACH_RegistrationDuration7,"(19, 20)",
25,bitmap,badge ACH_RegistrationDuration8,"(19, 20)",
26,bitmap,badge ACH_RegistrationDuration9,"(19, 20)",
27,bitmap,badge ACH_RegistrationDuration10,"(19, 20)",
28,bitmap,badge ACH_RoomEntry1,"(19, 20)",
29,bitmap,badge ACH_RoomEntry2,"(19, 20)",
30,bitmap,badge ACH_RoomEntry3,"(19, 20)",
31,bitmap,badge ACH_Student1,"(19, 20)",
32,bitmap,badge HC1_new,"(19, 20)",
33,bitmap,badge HC2,"(19, 20)",
34,bitmap,badge HC3,"(19, 20)",
35,bitmap,badge HC4,"(19, 20)",
36,bitmap,badge HC5,"(19, 20)",
