Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Buffer Component Class,"(0, 0)",
4,script,Buffer Handler Class,"(0, 0)",
11,field,memberalias.index,"(0, 0)",
21,bitmap,active_placeholder_a_0_1_1_0_0,"(1, 50)",
22,bitmap,active_placeholder_a_0_1_1_0_1,"(1, 50)",
23,bitmap,active_placeholder_a_0_1_1_0_2,"(1, 50)",
24,bitmap,active_placeholder_a_0_1_1_0_3,"(1, 50)",
25,bitmap,active_placeholder_a_0_1_1_0_4,"(1, 50)",
26,bitmap,active_placeholder_a_0_1_1_0_5,"(1, 50)",
27,bitmap,active_placeholder_a_0_1_1_0_6,"(1, 50)",
28,bitmap,active_placeholder_small,"(-24, 6)",
29,bitmap,icon_placeholder,"(-22, 12)",
30,field,active_placeholder.props,"(0, 0)",
31,field,s_active_placeholder.props,"(0, 0)",
32,script,Furniture Placeholder Class,"(0, 0)",
34,bitmap,s_active_placeholder_a_0_1_1_0_0,"(1, 25)",
35,bitmap,s_active_placeholder_a_0_1_1_0_1,"(1, 25)",
36,bitmap,s_active_placeholder_a_0_1_1_0_2,"(1, 25)",
37,bitmap,s_active_placeholder_a_0_1_1_0_3,"(1, 25)",
38,bitmap,s_active_placeholder_a_0_1_1_0_4,"(1, 25)",
39,bitmap,s_active_placeholder_a_0_1_1_0_5,"(1, 25)",
40,bitmap,s_active_placeholder_a_0_1_1_0_6,"(1, 25)",
44,bitmap,leftwall item_placeholder_a_1,"(18, 31)",
45,bitmap,leftwall item_placeholder_a_2,"(18, 31)",
46,bitmap,leftwall item_placeholder_a_3,"(18, 31)",
47,bitmap,leftwall item_placeholder_a_4,"(18, 31)",
48,bitmap,leftwall item_placeholder_a_5,"(18, 31)",
49,bitmap,leftwall item_placeholder_a_6,"(18, 31)",
50,bitmap,leftwall item_placeholder_a_7,"(18, 31)",
51,bitmap,item_placeholder_small,"(-2, 5)",
53,field,s_item_placeholder.data,"(0, 0)",
54,bitmap,s_leftwall item_placeholder_a_1,"(9, 15)",
55,bitmap,s_leftwall item_placeholder_a_2,"(9, 15)",
56,bitmap,s_leftwall item_placeholder_a_3,"(9, 15)",
57,bitmap,s_leftwall item_placeholder_a_4,"(9, 15)",
58,bitmap,s_leftwall item_placeholder_a_5,"(9, 15)",
59,bitmap,s_leftwall item_placeholder_a_6,"(9, 15)",
60,bitmap,s_leftwall item_placeholder_a_7,"(9, 15)",
61,field,item_placeholder.data,"(0, 0)",
62,field,item_placeholder.props,"(0, 0)",
63,field,s_item_placeholder.props,"(0, 0)",
