Number,Type,Name,Registration Point,Filename
1,field,habbo_catalogue.window,"(0, 0)",
2,field,ctlg_layout1.window,"(0, 0)",
3,field,ctlg_frontpage1.window,"(0, 0)",
4,field,ctlg_frontpage2.window,"(0, 0)",
5,field,ctlg_spaces.window,"(0, 0)",
6,field,ctlg_plasto.window,"(0, 0)",
7,field,ctlg_productpage1.window,"(0, 0)",
8,field,ctlg_productpage2.window,"(0, 0)",
9,field,ctlg_productpage3.window,"(0, 0)",
10,field,ctlg_productpage2b.window,"(0, 0)",
11,field,ctlg_productpage3b.window,"(0, 0)",
12,field,ctlg_infopage1.window,"(0, 0)",
13,field,ctlg_loading.window,"(0, 0)",
14,field,ctlg_infopage2.window,"(0, 0)",
15,field,ctlg_camera1.window,"(0, 0)",
16,field,ctlg_camera2.window,"(0, 0)",
17,field,ctlg_club1.window,"(0, 0)",
18,field,ctlg_club2.window,"(0, 0)",
19,field,ctlg_presents.window,"(0, 0)",
20,field,ctlg_layout2.window,"(0, 0)",
21,field,ctlg_norares.window,"(0, 0)",
22,field,ctlg_trophies.window,"(0, 0)",
23,field,ctlg_pets.window,"(0, 0)",
24,field,ctlg_pets2.window,"(0, 0)",
25,field,ctlg_recycler.window,"(0, 0)",
26,field,ctlg_soundmachine.window,"(0, 0)",
27,field,ctlg_collectibles.window,"(0, 0)",
28,field,ctlg_purse.window,"(0, 0)",
32,bitmap,catalog_spaces_wall1_left,"(0, 0)",
33,palette,ctlg_dyndeal_background Palette,"(0, 0)",
34,bitmap,ctlg_dyndeal_background,"(69, 78)",
35,bitmap,ctlg_dyndeal_button_left,"(3, 5)",
36,bitmap,ctlg_dyndeal_button_center,"(0, 5)",
37,bitmap,ctlg_dyndeal_button_right,"(2, 5)",
38,bitmap,ctlg_pic_deal_icon_narrow,"(15, 15)",
39,bitmap,catalog_spaces_floor0_example,"(0, 64)",
40,bitmap,catalog_spaces_window,"(0, 0)",
41,bitmap,catalog_spaces_window_mask,"(0, 0)",
42,bitmap,catalog_landscape_preview_window_alpha,"(60, 59)",
43,bitmap,ctlg.button.left.active,"(0, 0)",
44,bitmap,ctlg.button.right.active,"(0, 0)",
45,bitmap,ctlg.button.left.pressed,"(0, 0)",
46,bitmap,ctlg.button.right.pressed,"(0, 0)",
47,bitmap,catalog_spaces_wallpaper,"(0, 0)",
48,bitmap,catalog_spaces_floor,"(0, 0)",
49,bitmap,catalog_plasto_bg_left,"(0, 0)",
50,bitmap,catalog_plasto_bg_mid,"(0, 0)",
