Number,Type,Name,Registration Point,Filename
1,field,variable.index,"(0, 0)",
2,field,fuse.object.classes,"(0, 0)",
3,script,Active Object Class,"(0, 0)",
4,script,Passive Object Class,"(0, 0)",
5,script,Item Object Class,"(0, 0)",
6,script,Active Object Extension Class,"(0, 0)",
7,script,Item Object Extension Class,"(0, 0)",
8,script,Preview Renderer Class,"(0, 0)",
10,script,Habbo Wheel Class,"(0, 0)",
11,bitmap,room_object_placeholder_sd,"(0, 0)",
12,bitmap,room_object_placeholder,"(-7, 35)",
13,bitmap,watermatic_a_0_4_0,"(-8, 34)",
14,palette,kiosk palette,"(0, 0)",
15,bitmap,watermatic_sd,"(-4, 8)",
16,bitmap,s_room_object_placeholder,"(12, 12)",
17,bitmap,no_icon_small,"(16, 16)",
21,script,PostIt Item Class,"(0, 0)",
22,script,PostIt Manager Class,"(0, 0)",
23,script,Pet Toy Class,"(0, 0)",
24,script,Credit Redeem Confirmation Class,"(0, 0)",
25,script,Credit Furni Class,"(0, 0)",
26,script,Furniture Holo Class,"(0, 0)",
27,script,Furniture Fridge Class,"(0, 0)",
28,script,Furniture Toilet Class,"(0, 0)",
29,script,Furniture Sink Class,"(0, 0)",
30,script,Furniture Luxus TV Class,"(0, 0)",
31,script,Furniture Teleport Class,"(0, 0)",
32,script,Furniture Divider Class,"(0, 0)",
33,script,Furniture Samovar Class,"(0, 0)",
34,script,Furniture Edicehc Class,"(0, 0)",
35,script,Furniture Score Class,"(0, 0)",
36,script,Furniture Hockeylight Class,"(0, 0)",
37,script,Trophy Class,"(0, 0)",
38,script,Plate Class,"(0, 0)",
39,script,Watermatic Class,"(0, 0)",
40,script,Furniture Food Class,"(0, 0)",
41,script,Furniture Waterbowl Class,"(0, 0)",
42,script,Furniture IcecreamMachine Class,"(0, 0)",
43,script,Queue Class,"(0, 0)",
44,script,Queue Public Class,"(0, 0)",
45,script,Furniture Scifirocket Class,"(0, 0)",
46,script,Furniture Scifidoor Class,"(0, 0)",
47,script,Furniture Scifiport Class,"(0, 0)",
48,script,Furniture Club TV Class,"(0, 0)",
49,script,Furniture Traffic Light Class,"(0, 0)",
50,script,Furniture Barrier Class,"(0, 0)",
51,script,Furniture StudyDesk Class,"(0, 0)",
52,script,Furniture Solarium Class,"(0, 0)",
53,script,Furniture Bottle Class,"(0, 0)",
54,script,Furniture Red TV Class,"(0, 0)",
55,script,E-Dice Class,"(0, 0)",
56,script,Birdie Class,"(0, 0)",
57,script,Furniture Present Class,"(0, 0)",
58,script,Package Card Class,"(0, 0)",
59,script,Furniture OneWayDoor Class,"(0, 0)",
61,field,package_card.window,"(0, 0)",
63,script,Crossfade Furni Class,"(0, 0)",
64,script,FadeAnimation Furni Class,"(0, 0)",
65,script,Valentine Randomizer Class,"(0, 0)",
66,script,Fortune Class,"(0, 0)",
67,script,Window Class,"(0, 0)",
