Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_he_1_0_0,"(-12, 41)",
2,bitmap,sh_std_he_1_1_0,"(-6, 39)",
3,bitmap,sh_std_he_1_2_0,"(-4, 39)",
4,bitmap,sh_std_he_1_3_0,"(-8, 41)",
5,bitmap,sh_std_he_1_7_0,"(-21, 42)",
6,bitmap,sh_lay_he_1_2_0,"(18, 13)",
11,bitmap,sh_std_he_2_0_0,"(-16, 38)",
12,bitmap,sh_std_he_2_1_0,"(-14, 38)",
13,bitmap,sh_std_he_2_2_0,"(-9, 36)",
14,bitmap,sh_std_he_2_3_0,"(-7, 37)",
15,bitmap,sh_std_he_2_7_0,"(-21, 33)",
16,bitmap,sh_lay_he_2_2_0,"(12, 18)",
21,bitmap,sh_std_he_3_0_0,"(-16, 37)",
22,bitmap,sh_std_he_3_1_0,"(-13, 38)",
23,bitmap,sh_std_he_3_2_0,"(-10, 36)",
24,bitmap,sh_std_he_3_3_0,"(-8, 36)",
25,bitmap,sh_std_he_3_7_0,"(-21, 33)",
26,bitmap,sh_lay_he_3_2_0,"(11, 18)",
31,bitmap,sh_std_he_4_0_0,"(-8, 34)",
32,bitmap,sh_std_he_4_1_0,"(-7, 35)",
33,bitmap,sh_std_he_4_2_0,"(-7, 31)",
34,bitmap,sh_std_he_4_3_0,"(-6, 30)",
35,bitmap,sh_std_he_4_7_0,"(-7, 35)",
36,bitmap,sh_lay_he_4_2_0,"(9, 12)",
41,bitmap,sh_std_he_5_0_0,"(-15, 38)",
42,bitmap,sh_std_he_5_1_0,"(-13, 38)",
43,bitmap,sh_std_he_5_2_0,"(-9, 36)",
44,bitmap,sh_std_he_5_3_0,"(-7, 37)",
45,bitmap,sh_std_he_5_7_0,"(-21, 33)",
46,bitmap,sh_lay_he_5_2_0,"(12, 19)",
52,bitmap,sh_std_he_6_1_0,"(-20, 38)",
53,bitmap,sh_std_he_6_2_0,"(-14, 37)",
54,bitmap,sh_std_he_6_3_0,"(-11, 35)",
56,bitmap,sh_lay_he_6_2_0,"(8, 20)",
61,bitmap,sh_std_he_7_0_0,"(-17, 30)",
62,bitmap,sh_std_he_7_1_0,"(-11, 31)",
63,bitmap,sh_std_he_7_2_0,"(-9, 30)",
64,bitmap,sh_std_he_7_3_0,"(-7, 31)",
65,bitmap,sh_std_he_7_7_0,"(-21, 33)",
66,bitmap,sh_lay_he_7_2_0,"(9, 12)",
71,bitmap,sh_std_he_8_0_0,"(-20, 28)",
72,bitmap,sh_std_he_8_1_0,"(-13, 28)",
73,bitmap,sh_std_he_8_2_0,"(-10, 26)",
74,bitmap,sh_std_he_8_3_0,"(-8, 27)",
75,bitmap,sh_std_he_8_7_0,"(-9, 28)",
76,bitmap,sh_lay_he_8_2_0,"(6, 8)",
81,bitmap,sh_std_he_9_0_0,"(-12, 40)",
82,bitmap,sh_std_he_9_1_0,"(-17, 38)",
83,bitmap,sh_std_he_9_2_0,"(-11, 40)",
84,bitmap,sh_std_he_9_3_0,"(-9, 37)",
85,bitmap,sh_std_he_9_7_0,"(-11, 39)",
86,bitmap,sh_lay_he_9_2_0,"(11, 21)",
91,bitmap,sh_std_he_10_0_0,"(-19, 37)",
92,bitmap,sh_std_he_10_1_0,"(-14, 39)",
93,bitmap,sh_std_he_10_2_0,"(-11, 39)",
94,bitmap,sh_std_he_10_3_0,"(-10, 37)",
95,bitmap,sh_std_he_10_7_0,"(-12, 40)",
96,bitmap,sh_lay_he_10_2_0,"(9, 20)",
