Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_fc_1_1_0,"(-20, 31)",
2,bitmap,sh_std_fc_1_2_0,"(-16, 31)",
3,bitmap,sh_std_fc_1_3_0,"(-12, 28)",
4,bitmap,sh_eyb_fc_1_1_0,"(-19, 31)",
5,bitmap,sh_eyb_fc_1_2_0,"(-16, 29)",
6,bitmap,sh_eyb_fc_1_3_0,"(-12, 27)",
7,bitmap,sh_spk_fc_1_1_0,"(-19, 32)",
8,bitmap,sh_spk_fc_1_1_1,"(-20, 31)",
9,bitmap,sh_spk_fc_1_2_0,"(-16, 32)",
10,bitmap,sh_spk_fc_1_2_1,"(-16, 31)",
11,bitmap,sh_spk_fc_1_3_0,"(-12, 29)",
12,bitmap,sh_spk_fc_1_3_1,"(-12, 28)",
13,bitmap,sh_lay_fc_1_2_0,"(4, 16)",
