Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_ch_1_0_0,"(-9, 24)",
2,bitmap,sh_std_ch_1_1_0,"(-11, 23)",
3,bitmap,sh_std_ch_1_2_0,"(-9, 23)",
4,bitmap,sh_std_ch_1_3_0,"(-9, 24)",
5,bitmap,sh_std_ch_1_7_0,"(-10, 23)",
6,bitmap,sh_lay_ch_1_2_0,"(2, 11)",
8,bitmap,sh_std_ch_3_0_0,"(-9, 24)",
9,bitmap,sh_std_ch_3_1_0,"(-11, 24)",
10,bitmap,sh_std_ch_3_2_0,"(-9, 23)",
11,bitmap,sh_std_ch_3_3_0,"(-9, 24)",
12,bitmap,sh_std_ch_3_7_0,"(-10, 24)",
13,bitmap,sh_lay_ch_3_2_0,"(2, 11)",
15,bitmap,sh_std_ch_5_0_0,"(-9, 24)",
16,bitmap,sh_std_ch_5_1_0,"(-11, 24)",
17,bitmap,sh_std_ch_5_2_0,"(-9, 23)",
18,bitmap,sh_std_ch_5_3_0,"(-9, 24)",
19,bitmap,sh_std_ch_5_7_0,"(-10, 24)",
20,bitmap,sh_lay_ch_5_2_0,"(2, 11)",
21,bitmap,sh_std_ch_8_0_0,"(-9, 24)",
22,bitmap,sh_std_ch_8_1_0,"(-11, 23)",
23,bitmap,sh_std_ch_8_2_0,"(-9, 23)",
24,bitmap,sh_std_ch_8_3_0,"(-9, 24)",
25,bitmap,sh_std_ch_8_7_0,"(-10, 23)",
26,bitmap,sh_lay_ch_8_2_0,"(2, 11)",
28,bitmap,sh_std_ch_9_0_0,"(-9, 24)",
29,bitmap,sh_std_ch_9_1_0,"(-11, 24)",
30,bitmap,sh_std_ch_9_2_0,"(-8, 23)",
31,bitmap,sh_std_ch_9_3_0,"(-9, 24)",
32,bitmap,sh_std_ch_9_7_0,"(-10, 23)",
33,bitmap,sh_lay_ch_9_2_0,"(2, 11)",
35,bitmap,sh_std_ch_10_0_0,"(-9, 26)",
36,bitmap,sh_std_ch_10_1_0,"(-8, 24)",
37,bitmap,sh_std_ch_10_2_0,"(-6, 25)",
38,bitmap,sh_std_ch_10_3_0,"(-9, 24)",
39,bitmap,sh_std_ch_10_7_0,"(-10, 24)",
40,bitmap,sh_lay_ch_10_2_0,"(1, 11)",
42,bitmap,sh_std_ch_20_0_0,"(-9, 25)",
43,bitmap,sh_std_ch_20_1_0,"(-11, 23)",
44,bitmap,sh_std_ch_20_2_0,"(-9, 24)",
45,bitmap,sh_std_ch_20_3_0,"(-9, 24)",
46,bitmap,sh_std_ch_20_7_0,"(-10, 24)",
47,bitmap,sh_lay_ch_20_2_0,"(2, 11)",
49,bitmap,sh_std_ch_1020_0_0,"(-19, 24)",
50,bitmap,sh_std_ch_1020_1_0,"(-19, 19)",
51,bitmap,sh_std_ch_1020_2_0,"(-16, 20)",
52,bitmap,sh_std_ch_1020_3_0,"(-14, 20)",
53,bitmap,sh_std_ch_1020_7_0,"(-18, 24)",
54,bitmap,sh_lay_ch_1020_2_0,"(-5, 9)",
56,bitmap,sh_std_ch_21_0_0,"(-9, 24)",
57,bitmap,sh_std_ch_21_1_0,"(-11, 23)",
58,bitmap,sh_std_ch_21_2_0,"(-9, 23)",
59,bitmap,sh_std_ch_21_3_0,"(-9, 24)",
60,bitmap,sh_std_ch_21_7_0,"(-10, 23)",
61,bitmap,sh_lay_ch_21_2_0,"(1, 11)",
63,bitmap,sh_std_ch_1021_0_0,"(-11, 24)",
64,bitmap,sh_std_ch_1021_1_0,"(-14, 23)",
65,bitmap,sh_std_ch_1021_2_0,"(-16, 20)",
66,bitmap,sh_std_ch_1021_3_0,"(-13, 21)",
67,bitmap,sh_std_ch_1021_7_0,"(-21, 23)",
68,bitmap,sh_lay_ch_1021_2_0,"(-6, 10)",
70,bitmap,sh_std_ch_100_0_0,"(-9, 24)",
71,bitmap,sh_std_ch_100_1_0,"(-11, 23)",
72,bitmap,sh_std_ch_100_2_0,"(-9, 23)",
73,bitmap,sh_std_ch_100_3_0,"(-9, 24)",
74,bitmap,sh_std_ch_100_7_0,"(-10, 23)",
75,bitmap,sh_lay_ch_100_2_0,"(2, 11)",
77,bitmap,sh_std_ch_1100_0_0,"(-9, 24)",
78,bitmap,sh_std_ch_1100_1_0,"(-11, 23)",
79,bitmap,sh_std_ch_1100_2_0,"(-9, 23)",
80,bitmap,sh_std_ch_1100_3_0,"(-9, 23)",
81,bitmap,sh_std_ch_1100_7_0,"(-10, 23)",
82,bitmap,sh_lay_ch_1100_2_0,"(-7, 9)",
84,bitmap,sh_std_ch_105_0_0,"(-9, 24)",
85,bitmap,sh_std_ch_105_1_0,"(-11, 24)",
86,bitmap,sh_std_ch_105_2_0,"(-9, 23)",
87,bitmap,sh_std_ch_105_3_0,"(-9, 24)",
88,bitmap,sh_std_ch_105_7_0,"(-10, 23)",
89,bitmap,sh_lay_ch_105_2_0,"(2, 11)",
91,bitmap,sh_std_ch_200_0_0,"(-9, 24)",
92,bitmap,sh_std_ch_200_1_0,"(-11, 24)",
93,bitmap,sh_std_ch_200_2_0,"(-8, 24)",
94,bitmap,sh_std_ch_200_3_0,"(-9, 24)",
95,bitmap,sh_std_ch_200_7_0,"(-10, 24)",
96,bitmap,sh_lay_ch_200_2_0,"(2, 11)",
98,bitmap,sh_std_ch_1200_0_0,"(-9, 19)",
99,bitmap,sh_std_ch_1200_1_0,"(-11, 16)",
100,bitmap,sh_std_ch_1200_2_0,"(-8, 16)",
101,bitmap,sh_std_ch_1200_3_0,"(-9, 17)",
102,bitmap,sh_std_ch_1200_7_0,"(-10, 18)",
103,bitmap,sh_lay_ch_1200_2_0,"(-4, 8)",
105,bitmap,sh_std_ch_202_0_0,"(-9, 25)",
106,bitmap,sh_std_ch_202_1_0,"(-11, 23)",
107,bitmap,sh_std_ch_202_2_0,"(-8, 24)",
108,bitmap,sh_std_ch_202_3_0,"(-9, 23)",
109,bitmap,sh_std_ch_202_7_0,"(-10, 24)",
110,bitmap,sh_lay_ch_202_2_0,"(1, 11)",
112,bitmap,sh_std_ch_1202_0_0,"(-9, 25)",
113,bitmap,sh_std_ch_1202_1_0,"(-11, 23)",
114,bitmap,sh_std_ch_1202_2_0,"(-8, 24)",
115,bitmap,sh_std_ch_1202_3_0,"(-9, 23)",
116,bitmap,sh_std_ch_1202_7_0,"(-10, 24)",
117,bitmap,sh_lay_ch_1202_2_0,"(-1, 11)",
119,bitmap,sh_std_ch_207_0_0,"(-9, 24)",
120,bitmap,sh_std_ch_207_1_0,"(-11, 22)",
121,bitmap,sh_std_ch_207_2_0,"(-9, 23)",
122,bitmap,sh_std_ch_207_3_0,"(-10, 24)",
123,bitmap,sh_std_ch_207_7_0,"(-10, 23)",
124,bitmap,sh_lay_ch_207_2_0,"(0, 12)",
126,bitmap,sh_std_ch_1207_0_0,"(-12, 19)",
127,bitmap,sh_std_ch_1207_1_0,"(-12, 22)",
