Number,Type,Name,Registration Point,Filename
1,bitmap,sh_std_sh_1_0_0,"(-10, 4)",
2,bitmap,sh_std_sh_1_1_0,"(-12, 1)",
3,bitmap,sh_std_sh_1_2_0,"(-10, 4)",
4,bitmap,sh_std_sh_1_3_0,"(-10, 2)",
5,bitmap,sh_std_sh_1_7_0,"(-11, 1)",
6,bitmap,sh_wlk_sh_1_0_0,"(-11, 4)",
7,bitmap,sh_wlk_sh_1_0_1,"(-6, 4)",
8,bitmap,sh_wlk_sh_1_0_2,"(-10, 5)",
9,bitmap,sh_wlk_sh_1_0_3,"(-11, 3)",
10,bitmap,sh_wlk_sh_1_1_0,"(-12, 3)",
11,bitmap,sh_wlk_sh_1_1_1,"(-7, 3)",
12,bitmap,sh_wlk_sh_1_1_2,"(-13, 2)",
13,bitmap,sh_wlk_sh_1_1_3,"(-6, 3)",
14,bitmap,sh_wlk_sh_1_2_0,"(-8, 2)",
15,bitmap,sh_wlk_sh_1_2_1,"(-13, 1)",
16,bitmap,sh_wlk_sh_1_2_2,"(-10, 3)",
17,bitmap,sh_wlk_sh_1_2_3,"(-6, 4)",
18,bitmap,sh_wlk_sh_1_3_0,"(-10, 2)",
19,bitmap,sh_wlk_sh_1_3_1,"(-10, 3)",
20,bitmap,sh_wlk_sh_1_3_2,"(-10, 3)",
21,bitmap,sh_wlk_sh_1_3_3,"(-11, 3)",
22,bitmap,sh_wlk_sh_1_7_0,"(-11, 3)",
23,bitmap,sh_wlk_sh_1_7_1,"(-11, 3)",
24,bitmap,sh_wlk_sh_1_7_2,"(-11, 3)",
25,bitmap,sh_wlk_sh_1_7_3,"(-12, 2)",
26,bitmap,sh_sit_sh_1_0_0,"(-20, 21)",
27,bitmap,sh_sit_sh_1_2_0,"(-17, 12)",
28,bitmap,sh_lay_sh_1_2_0,"(-17, 3)",
31,bitmap,sh_std_sh_2_0_0,"(-10, 2)",
32,bitmap,sh_std_sh_2_1_0,"(-13, 1)",
33,bitmap,sh_std_sh_2_2_0,"(-10, 4)",
34,bitmap,sh_std_sh_2_3_0,"(-10, 0)",
35,bitmap,sh_std_sh_2_7_0,"(-11, -2)",
36,bitmap,sh_wlk_sh_2_0_0,"(-11, 2)",
37,bitmap,sh_wlk_sh_2_0_1,"(-6, 4)",
38,bitmap,sh_wlk_sh_2_0_2,"(-10, 4)",
39,bitmap,sh_wlk_sh_2_0_3,"(-11, 3)",
40,bitmap,sh_wlk_sh_2_1_0,"(-12, 2)",
41,bitmap,sh_wlk_sh_2_1_1,"(-7, 3)",
42,bitmap,sh_wlk_sh_2_1_2,"(-13, 1)",
43,bitmap,sh_wlk_sh_2_1_3,"(-6, 3)",
44,bitmap,sh_wlk_sh_2_2_0,"(-8, 3)",
45,bitmap,sh_wlk_sh_2_2_1,"(-13, 0)",
46,bitmap,sh_wlk_sh_2_2_2,"(-10, 3)",
47,bitmap,sh_wlk_sh_2_2_3,"(-6, 3)",
48,bitmap,sh_wlk_sh_2_3_0,"(-12, 1)",
49,bitmap,sh_wlk_sh_2_3_1,"(-10, 3)",
50,bitmap,sh_wlk_sh_2_3_2,"(-10, 1)",
51,bitmap,sh_wlk_sh_2_3_3,"(-11, 2)",
52,bitmap,sh_wlk_sh_2_7_0,"(-12, -1)",
53,bitmap,sh_wlk_sh_2_7_1,"(-11, 2)",
54,bitmap,sh_wlk_sh_2_7_2,"(-11, 3)",
55,bitmap,sh_wlk_sh_2_7_3,"(-13, 1)",
56,bitmap,sh_sit_sh_2_0_0,"(-20, 21)",
57,bitmap,sh_sit_sh_2_2_0,"(-19, 12)",
58,bitmap,sh_lay_sh_2_2_0,"(-17, 3)",
61,bitmap,sh_std_sh_3_0_0,"(-10, 4)",
62,bitmap,sh_std_sh_3_1_0,"(-12, 2)",
63,bitmap,sh_std_sh_3_2_0,"(-10, 4)",
64,bitmap,sh_std_sh_3_3_0,"(-10, 2)",
65,bitmap,sh_std_sh_3_7_0,"(-11, 1)",
66,bitmap,sh_wlk_sh_3_0_0,"(-11, 4)",
67,bitmap,sh_wlk_sh_3_0_1,"(-6, 5)",
68,bitmap,sh_wlk_sh_3_0_2,"(-10, 5)",
69,bitmap,sh_wlk_sh_3_0_3,"(-11, 4)",
70,bitmap,sh_wlk_sh_3_1_0,"(-12, 3)",
71,bitmap,sh_wlk_sh_3_1_1,"(-7, 4)",
72,bitmap,sh_wlk_sh_3_1_2,"(-13, 2)",
73,bitmap,sh_wlk_sh_3_1_3,"(-6, 4)",
74,bitmap,sh_wlk_sh_3_2_0,"(-8, 3)",
75,bitmap,sh_wlk_sh_3_2_1,"(-13, 1)",
76,bitmap,sh_wlk_sh_3_2_2,"(-10, 3)",
77,bitmap,sh_wlk_sh_3_2_3,"(-6, 4)",
78,bitmap,sh_wlk_sh_3_3_0,"(-10, 2)",
79,bitmap,sh_wlk_sh_3_3_1,"(-10, 3)",
80,bitmap,sh_wlk_sh_3_3_2,"(-10, 3)",
81,bitmap,sh_wlk_sh_3_3_3,"(-11, 3)",
82,bitmap,sh_wlk_sh_3_7_0,"(-11, 3)",
83,bitmap,sh_wlk_sh_3_7_1,"(-11, 3)",
84,bitmap,sh_wlk_sh_3_7_2,"(-11, 3)",
85,bitmap,sh_wlk_sh_3_7_3,"(-12, 2)",
86,bitmap,sh_sit_sh_3_0_0,"(-20, 21)",
87,bitmap,sh_sit_sh_3_2_0,"(-17, 12)",
88,bitmap,sh_lay_sh_3_2_0,"(-17, 4)",
91,bitmap,sh_std_sh_4_0_0,"(-10, 4)",
92,bitmap,sh_std_sh_4_1_0,"(-12, 2)",
93,bitmap,sh_std_sh_4_2_0,"(-10, 4)",
94,bitmap,sh_std_sh_4_3_0,"(-10, 2)",
95,bitmap,sh_std_sh_4_7_0,"(-11, 2)",
96,bitmap,sh_wlk_sh_4_0_0,"(-10, 4)",
97,bitmap,sh_wlk_sh_4_0_1,"(-6, 5)",
98,bitmap,sh_wlk_sh_4_0_2,"(-10, 5)",
99,bitmap,sh_wlk_sh_4_0_3,"(-11, 3)",
100,bitmap,sh_wlk_sh_4_1_0,"(-13, 4)",
101,bitmap,sh_wlk_sh_4_1_1,"(-7, 4)",
102,bitmap,sh_wlk_sh_4_1_2,"(-13, 3)",
103,bitmap,sh_wlk_sh_4_1_3,"(-7, 4)",
104,bitmap,sh_wlk_sh_4_2_0,"(-8, 4)",
105,bitmap,sh_wlk_sh_4_2_1,"(-12, 1)",
106,bitmap,sh_wlk_sh_4_2_2,"(-10, 3)",
107,bitmap,sh_wlk_sh_4_2_3,"(-5, 4)",
108,bitmap,sh_wlk_sh_4_3_0,"(-10, 2)",
109,bitmap,sh_wlk_sh_4_3_1,"(-10, 3)",
110,bitmap,sh_wlk_sh_4_3_2,"(-10, 3)",
111,bitmap,sh_wlk_sh_4_3_3,"(-11, 3)",
112,bitmap,sh_wlk_sh_4_7_0,"(-11, 3)",
113,bitmap,sh_wlk_sh_4_7_1,"(-11, 3)",
114,bitmap,sh_wlk_sh_4_7_2,"(-11, 3)",
115,bitmap,sh_wlk_sh_4_7_3,"(-12, 2)",
116,bitmap,sh_sit_sh_4_0_0,"(-20, 22)",
117,bitmap,sh_sit_sh_4_2_0,"(-16, 14)",
118,bitmap,sh_lay_sh_4_2_0,"(-17, 4)",
131,bitmap,sh_sit_sh_1_1_0,"(-25, 14)",
132,bitmap,sh_sit_sh_1_3_0,"(-8, 10)",
133,bitmap,sh_sit_sh_1_7_0,"(0, 0)",
134,bitmap,sh_sit_sh_2_1_0,"(-26, 13)",
135,field,memberalias.index,"(0, 0)",
136,bitmap,sh_sit_sh_5_1_0,"(-22, 17)",
137,bitmap,sh_sit_sh_6_1_0,"(-24, 16)",
138,bitmap,sh_sit_sh_7_1_0,"(-25, 15)",
139,bitmap,sh_sit_sh_8_1_0,"(-25, 16)",
151,bitmap,sh_std_sh_5_0_0,"(-11, 9)",
152,bitmap,sh_std_sh_5_1_0,"(-13, 5)",
153,bitmap,sh_std_sh_5_2_0,"(-10, 5)",
154,bitmap,sh_std_sh_5_3_0,"(-7, 0)",
155,bitmap,sh_std_sh_5_7_0,"(-11, 2)",
156,bitmap,sh_wlk_sh_5_0_0,"(-11, 7)",
157,bitmap,sh_wlk_sh_5_0_1,"(-6, 10)",
158,bitmap,sh_wlk_sh_5_0_2,"(-11, 8)",
159,bitmap,sh_wlk_sh_5_0_3,"(-11, 4)",
160,bitmap,sh_wlk_sh_5_1_0,"(-12, 3)",
161,bitmap,sh_wlk_sh_5_1_1,"(-6, 8)",
162,bitmap,sh_wlk_sh_5_1_2,"(-11, 4)",
163,bitmap,sh_wlk_sh_5_1_3,"(-6, 8)",
164,bitmap,sh_wlk_sh_5_2_0,"(-7, 5)",
165,bitmap,sh_wlk_sh_5_2_1,"(-13, 3)",
166,bitmap,sh_wlk_sh_5_2_2,"(-10, 5)",
167,bitmap,sh_wlk_sh_5_2_3,"(-5, 5)",
168,bitmap,sh_wlk_sh_5_3_0,"(-8, 1)",
169,bitmap,sh_wlk_sh_5_3_1,"(-7, 2)",
170,bitmap,sh_wlk_sh_5_3_2,"(-7, 2)",
171,bitmap,sh_wlk_sh_5_3_3,"(-8, 1)",
172,bitmap,sh_wlk_sh_5_7_0,"(-11, 3)",
173,bitmap,sh_wlk_sh_5_7_1,"(-11, 4)",
174,bitmap,sh_wlk_sh_5_7_2,"(-11, 3)",
175,bitmap,sh_wlk_sh_5_7_3,"(-11, 4)",
176,bitmap,sh_sit_sh_5_0_0,"(-20, 22)",
177,bitmap,sh_sit_sh_5_2_0,"(-17, 15)",
178,bitmap,sh_lay_sh_5_2_0,"(-16, 7)",
181,bitmap,sh_std_sh_6_0_0,"(-10, 4)",
182,bitmap,sh_std_sh_6_1_0,"(-12, 2)",
183,bitmap,sh_std_sh_6_2_0,"(-10, 4)",
184,bitmap,sh_std_sh_6_3_0,"(-10, 2)",
185,bitmap,sh_std_sh_6_7_0,"(-11, 1)",
186,bitmap,sh_wlk_sh_6_0_0,"(-11, 4)",
187,bitmap,sh_wlk_sh_6_0_1,"(-6, 5)",
188,bitmap,sh_wlk_sh_6_0_2,"(-10, 5)",
189,bitmap,sh_wlk_sh_6_0_3,"(-11, 4)",
190,bitmap,sh_wlk_sh_6_1_0,"(-12, 3)",
191,bitmap,sh_wlk_sh_6_1_1,"(-7, 4)",
192,bitmap,sh_wlk_sh_6_1_2,"(-13, 2)",
193,bitmap,sh_wlk_sh_6_1_3,"(-6, 4)",
194,bitmap,sh_wlk_sh_6_2_0,"(-8, 3)",
195,bitmap,sh_wlk_sh_6_2_1,"(-13, 1)",
196,bitmap,sh_wlk_sh_6_2_2,"(-10, 3)",
