Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_ea_1_0_0,"(-37, 65)",
2,bitmap,h_std_ea_1_1_0,"(-26, 63)",
3,bitmap,h_std_ea_1_2_0,"(-22, 64)",
4,bitmap,h_std_ea_1_3_0,"(-20, 61)",
5,bitmap,h_lay_ea_1_2_0,"(16, 38)",
11,bitmap,h_std_ea_2_0_0,"(-36, 62)",
12,bitmap,h_std_ea_2_1_0,"(-29, 63)",
13,bitmap,h_std_ea_2_2_0,"(-25, 66)",
14,bitmap,h_std_ea_2_3_0,"(-23, 64)",
15,bitmap,h_lay_ea_2_2_0,"(13, 36)",
21,bitmap,h_std_ea_3_0_0,"(-37, 62)",
22,bitmap,h_std_ea_3_1_0,"(-26, 61)",
23,bitmap,h_std_ea_3_2_0,"(-22, 63)",
24,bitmap,h_std_ea_3_3_0,"(-20, 60)",
25,bitmap,h_lay_ea_3_2_0,"(11, 35)",
31,bitmap,h_std_ea_4_0_0,"(-36, 64)",
32,bitmap,h_std_ea_4_1_0,"(-27, 62)",
33,bitmap,h_std_ea_4_2_0,"(-23, 64)",
34,bitmap,h_std_ea_4_3_0,"(-21, 60)",
35,bitmap,h_std_ea_4_6_0,"(-20, 59)",
36,bitmap,h_lay_ea_4_2_0,"(14, 35)",
41,bitmap,h_std_ea_5_0_0,"(-38, 62)",
42,bitmap,h_std_ea_5_1_0,"(-27, 62)",
43,bitmap,h_std_ea_5_2_0,"(-23, 64)",
44,bitmap,h_std_ea_5_3_0,"(-21, 60)",
45,bitmap,h_lay_ea_5_2_0,"(16, 36)",
51,bitmap,h_std_ea_6_0_0,"(-37, 62)",
52,bitmap,h_std_ea_6_1_0,"(-28, 62)",
53,bitmap,h_std_ea_6_2_0,"(-23, 63)",
54,bitmap,h_std_ea_6_3_0,"(-20, 60)",
55,bitmap,h_lay_ea_6_2_0,"(16, 36)",
