Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_bd_1_0_0,"(-20, 49)",
2,bitmap,h_std_bd_1_1_0,"(-24, 49)",
3,bitmap,h_std_bd_1_2_0,"(-22, 50)",
4,bitmap,h_std_bd_1_3_0,"(-21, 50)",
5,bitmap,h_std_bd_1_7_0,"(-22, 47)",
6,bitmap,h_wlk_bd_1_0_0,"(-20, 49)",
7,bitmap,h_wlk_bd_1_0_1,"(-14, 48)",
8,bitmap,h_wlk_bd_1_0_2,"(-20, 49)",
9,bitmap,h_wlk_bd_1_0_3,"(-20, 48)",
10,bitmap,h_wlk_bd_1_1_0,"(-24, 49)",
11,bitmap,h_wlk_bd_1_1_1,"(-15, 48)",
12,bitmap,h_wlk_bd_1_1_2,"(-24, 49)",
13,bitmap,h_wlk_bd_1_1_3,"(-15, 48)",
14,bitmap,h_wlk_bd_1_2_0,"(-22, 52)",
15,bitmap,h_wlk_bd_1_2_1,"(-23, 51)",
16,bitmap,h_wlk_bd_1_2_2,"(-23, 52)",
17,bitmap,h_wlk_bd_1_2_3,"(-17, 51)",
18,bitmap,h_wlk_bd_1_3_0,"(-21, 50)",
19,bitmap,h_wlk_bd_1_3_1,"(-21, 49)",
20,bitmap,h_wlk_bd_1_3_2,"(-21, 50)",
21,bitmap,h_wlk_bd_1_3_3,"(-21, 49)",
22,bitmap,h_wlk_bd_1_7_0,"(-22, 47)",
23,bitmap,h_wlk_bd_1_7_1,"(-22, 46)",
24,bitmap,h_wlk_bd_1_7_2,"(-22, 47)",
25,bitmap,h_wlk_bd_1_7_3,"(-22, 46)",
26,bitmap,h_sit_bd_1_0_0,"(-22, 49)",
27,bitmap,h_sit_bd_1_2_0,"(-22, 51)",
28,bitmap,h_lay_bd_1_2_0,"(3, 23)",
31,bitmap,h_std_rh_1_0_0,"(-37, 43)",
32,bitmap,h_std_rh_1_1_0,"(-27, 42)",
33,bitmap,h_std_rh_1_2_0,"(-18, 44)",
34,bitmap,h_std_rh_1_3_0,"(-17, 48)",
35,bitmap,h_std_rh_1_7_0,"(-42, 45)",
36,bitmap,h_wlk_rh_1_0_0,"(-36, 42)",
37,bitmap,h_wlk_rh_1_0_1,"(-34, 42)",
38,bitmap,h_wlk_rh_1_0_2,"(-36, 44)",
39,bitmap,h_wlk_rh_1_0_3,"(-36, 42)",
40,bitmap,h_wlk_rh_1_1_0,"(-27, 42)",
41,bitmap,h_wlk_rh_1_1_1,"(-21, 42)",
42,bitmap,h_wlk_rh_1_1_2,"(-27, 42)",
43,bitmap,h_wlk_rh_1_1_3,"(-28, 40)",
44,bitmap,h_wlk_rh_1_2_0,"(-18, 46)",
45,bitmap,h_wlk_rh_1_2_1,"(-14, 45)",
46,bitmap,h_wlk_rh_1_2_2,"(-18, 47)",
47,bitmap,h_wlk_rh_1_2_3,"(-19, 46)",
48,bitmap,h_wlk_rh_1_3_0,"(-17, 48)",
49,bitmap,h_wlk_rh_1_3_1,"(-17, 46)",
50,bitmap,h_wlk_rh_1_3_2,"(-17, 47)",
51,bitmap,h_wlk_rh_1_3_3,"(-17, 46)",
52,bitmap,h_wlk_rh_1_7_0,"(-43, 43)",
53,bitmap,h_wlk_rh_1_7_1,"(-42, 43)",
54,bitmap,h_wlk_rh_1_7_2,"(-42, 45)",
55,bitmap,h_wlk_rh_1_7_3,"(-42, 43)",
56,bitmap,h_sit_rh_1_0_0,"(-37, 44)",
57,bitmap,h_sit_rh_1_2_0,"(-17, 45)",
58,bitmap,h_crr_rh_1_0_0,"(-37, 44)",
59,bitmap,h_crr_rh_1_1_0,"(-28, 41)",
60,bitmap,h_crr_rh_1_2_0,"(-19, 47)",
61,bitmap,h_crr_rh_1_3_0,"(-17, 48)",
62,bitmap,h_crr_rh_1_4_0,"(-7, 46)",
63,bitmap,h_crr_rh_1_5_0,"(-13, 47)",
64,bitmap,h_crr_rh_1_6_0,"(-44, 46)",
65,bitmap,h_crr_rh_1_7_0,"(-44, 45)",
66,bitmap,h_drk_rh_1_0_0,"(-36, 59)",
67,bitmap,h_drk_rh_1_1_0,"(-28, 55)",
68,bitmap,h_drk_rh_1_2_0,"(-24, 51)",
69,bitmap,h_drk_rh_1_3_0,"(-18, 48)",
70,bitmap,h_drk_rh_1_4_0,"(-11, 54)",
71,bitmap,h_drk_rh_1_5_0,"(-8, 55)",
72,bitmap,h_drk_rh_1_6_0,"(-18, 58)",
73,bitmap,h_drk_rh_1_7_0,"(-32, 59)",
74,bitmap,h_lay_rh_1_2_0,"(4, 15)",
91,bitmap,h_std_lh_1_0_0,"(-17, 45)",
92,bitmap,h_std_lh_1_1_0,"(-27, 42)",
93,bitmap,h_std_lh_1_2_0,"(-43, 47)",
94,bitmap,h_std_lh_1_3_0,"(-42, 48)",
95,bitmap,h_std_lh_1_7_0,"(-17, 44)",
96,bitmap,h_wlk_lh_1_0_0,"(-17, 45)",
97,bitmap,h_wlk_lh_1_0_1,"(-18, 46)",
98,bitmap,h_wlk_lh_1_0_2,"(-17, 45)",
99,bitmap,h_wlk_lh_1_0_3,"(-14, 44)",
100,bitmap,h_wlk_lh_1_1_0,"(-27, 45)",
101,bitmap,h_wlk_lh_1_1_1,"(-39, 28)",
102,bitmap,h_wlk_lh_1_1_2,"(-27, 45)",
103,bitmap,h_wlk_lh_1_1_3,"(-21, 40)",
104,bitmap,h_wlk_lh_1_2_0,"(-43, 47)",
105,bitmap,h_wlk_lh_1_2_1,"(-44, 46)",
106,bitmap,h_wlk_lh_1_2_2,"(-43, 47)",
107,bitmap,h_wlk_lh_1_2_3,"(-42, 46)",
108,bitmap,h_wlk_lh_1_3_0,"(-42, 49)",
109,bitmap,h_wlk_lh_1_3_1,"(-42, 48)",
110,bitmap,h_wlk_lh_1_3_2,"(-42, 49)",
111,bitmap,h_wlk_lh_1_3_3,"(-42, 48)",
112,bitmap,h_wlk_lh_1_7_0,"(-17, 45)",
113,bitmap,h_wlk_lh_1_7_1,"(-17, 44)",
114,bitmap,h_wlk_lh_1_7_2,"(-17, 45)",
115,bitmap,h_wlk_lh_1_7_3,"(-17, 44)",
116,bitmap,h_sit_lh_1_0_0,"(-18, 46)",
117,bitmap,h_sit_lh_1_2_0,"(-42, 46)",
118,bitmap,h_wav_lh_1_0_0,"(-11, 72)",
119,bitmap,h_wav_lh_1_0_1,"(-7, 72)",
120,bitmap,h_wav_lh_1_1_0,"(-33, 72)",
121,bitmap,h_wav_lh_1_1_1,"(-34, 73)",
122,bitmap,h_wav_lh_1_2_0,"(-39, 74)",
123,bitmap,h_wav_lh_1_2_1,"(-39, 74)",
124,bitmap,h_wav_lh_1_3_0,"(-43, 73)",
125,bitmap,h_wav_lh_1_3_1,"(-43, 73)",
126,bitmap,h_wav_lh_1_4_0,"(-42, 69)",
127,bitmap,h_wav_lh_1_4_1,"(-42, 69)",
128,bitmap,h_wav_lh_1_5_0,"(-20, 70)",
129,bitmap,h_wav_lh_1_5_1,"(-21, 70)",
130,bitmap,h_wav_lh_1_6_0,"(-8, 69)",
131,bitmap,h_wav_lh_1_6_1,"(-4, 67)",
132,bitmap,h_wav_lh_1_7_0,"(-11, 72)",
133,bitmap,h_wav_lh_1_7_1,"(-7, 72)",
134,bitmap,h_lay_lh_1_2_0,"(-13, 23)",
135,bitmap,h_crr_lh_1_0_0,"(-17, 45)",
136,bitmap,h_crr_lh_1_1_0,"(-28, 41)",
137,bitmap,h_crr_lh_1_2_0,"(-43, 47)",
138,bitmap,h_crr_lh_1_3_0,"(-38, 48)",
139,bitmap,h_crr_lh_1_7_0,"(-17, 45)",
141,bitmap,h_std_hd_1_0_0,"(-18, 73)",
142,bitmap,h_std_hd_1_1_0,"(-18, 73)",
143,bitmap,h_std_hd_1_2_0,"(-20, 74)",
144,bitmap,h_std_hd_1_3_0,"(-20, 74)",
145,bitmap,h_std_hd_1_7_0,"(-20, 72)",
146,bitmap,h_spk_hd_1_0_0,"(-18, 74)",
147,bitmap,h_spk_hd_1_0_1,"(-18, 73)",
148,bitmap,h_spk_hd_1_1_0,"(-18, 74)",
149,bitmap,h_spk_hd_1_1_1,"(-18, 73)",
150,bitmap,h_spk_hd_1_2_0,"(-20, 75)",
151,bitmap,h_spk_hd_1_2_1,"(-20, 74)",
152,bitmap,h_spk_hd_1_3_0,"(-20, 75)",
153,bitmap,h_spk_hd_1_3_1,"(-20, 74)",
154,bitmap,h_spk_hd_1_7_0,"(-20, 73)",
155,bitmap,h_spk_hd_1_7_1,"(-20, 72)",
156,bitmap,h_lay_hd_1_2_0,"(20, 37)",
157,bitmap,h_lsp_hd_1_2_0,"(20, 37)",
158,bitmap,h_lsp_hd_1_2_1,"(20, 37)",
171,bitmap,h_std_hd_2_0_0,"(-18, 73)",
172,bitmap,h_std_hd_2_1_0,"(-18, 73)",
173,bitmap,h_std_hd_2_2_0,"(-20, 74)",
174,bitmap,h_std_hd_2_3_0,"(-20, 74)",
175,bitmap,h_std_hd_2_7_0,"(-20, 72)",
176,bitmap,h_spk_hd_2_0_0,"(-18, 74)",
177,bitmap,h_spk_hd_2_0_1,"(-18, 73)",
178,bitmap,h_spk_hd_2_1_0,"(-18, 74)",
