Number,Type,Name,Registration Point,Filename
1,bitmap,h_std_sh_1_0_0,"(-21, 6)",
2,bitmap,h_std_sh_1_1_0,"(-26, 4)",
3,bitmap,h_std_sh_1_2_0,"(-23, 7)",
4,bitmap,h_std_sh_1_3_0,"(-22, 5)",
5,bitmap,h_std_sh_1_7_0,"(-22, 4)",
6,bitmap,h_wlk_sh_1_0_0,"(-21, 6)",
7,bitmap,h_wlk_sh_1_0_1,"(-14, 7)",
8,bitmap,h_wlk_sh_1_0_2,"(-22, 7)",
9,bitmap,h_wlk_sh_1_0_3,"(-19, 6)",
10,bitmap,h_wlk_sh_1_1_0,"(-24, 5)",
11,bitmap,h_wlk_sh_1_1_1,"(-14, 5)",
12,bitmap,h_wlk_sh_1_1_2,"(-23, 8)",
13,bitmap,h_wlk_sh_1_1_3,"(-14, 5)",
14,bitmap,h_wlk_sh_1_2_0,"(-20, 7)",
15,bitmap,h_wlk_sh_1_2_1,"(-28, 2)",
16,bitmap,h_wlk_sh_1_2_2,"(-23, 5)",
17,bitmap,h_wlk_sh_1_2_3,"(-15, 9)",
18,bitmap,h_wlk_sh_1_3_0,"(-24, 5)",
19,bitmap,h_wlk_sh_1_3_1,"(-23, 5)",
20,bitmap,h_wlk_sh_1_3_2,"(-22, 5)",
21,bitmap,h_wlk_sh_1_3_3,"(-25, 5)",
22,bitmap,h_wlk_sh_1_7_0,"(-22, 4)",
23,bitmap,h_wlk_sh_1_7_1,"(-23, 4)",
24,bitmap,h_wlk_sh_1_7_2,"(-23, 4)",
25,bitmap,h_wlk_sh_1_7_3,"(-24, 4)",
26,bitmap,h_sit_sh_1_0_0,"(-44, 36)",
27,bitmap,h_sit_sh_1_2_0,"(-37, 21)",
28,bitmap,h_lay_sh_1_2_0,"(-35, 8)",
31,bitmap,h_std_sh_2_0_0,"(-21, 4)",
32,bitmap,h_std_sh_2_1_0,"(-26, 4)",
33,bitmap,h_std_sh_2_2_0,"(-23, 7)",
34,bitmap,h_std_sh_2_3_0,"(-22, 3)",
35,bitmap,h_std_sh_2_7_0,"(-22, 0)",
36,bitmap,h_wlk_sh_2_0_0,"(-21, 4)",
37,bitmap,h_wlk_sh_2_0_1,"(-14, 7)",
38,bitmap,h_wlk_sh_2_0_2,"(-22, 4)",
39,bitmap,h_wlk_sh_2_0_3,"(-19, 5)",
40,bitmap,h_wlk_sh_2_1_0,"(-24, 4)",
41,bitmap,h_wlk_sh_2_1_1,"(-14, 3)",
42,bitmap,h_wlk_sh_2_1_2,"(-23, 5)",
43,bitmap,h_wlk_sh_2_1_3,"(-14, 4)",
44,bitmap,h_wlk_sh_2_2_0,"(-20, 6)",
45,bitmap,h_wlk_sh_2_2_1,"(-29, 1)",
46,bitmap,h_wlk_sh_2_2_2,"(-23, 5)",
47,bitmap,h_wlk_sh_2_2_3,"(-15, 6)",
48,bitmap,h_wlk_sh_2_3_0,"(-24, 4)",
49,bitmap,h_wlk_sh_2_3_1,"(-23, 2)",
50,bitmap,h_wlk_sh_2_3_2,"(-23, 4)",
51,bitmap,h_wlk_sh_2_3_3,"(-25, 2)",
52,bitmap,h_wlk_sh_2_7_0,"(-23, 2)",
53,bitmap,h_wlk_sh_2_7_1,"(-23, 1)",
54,bitmap,h_wlk_sh_2_7_2,"(-23, 2)",
55,bitmap,h_wlk_sh_2_7_3,"(-24, 1)",
56,bitmap,h_sit_sh_2_0_0,"(-44, 36)",
57,bitmap,h_sit_sh_2_2_0,"(-38, 21)",
58,bitmap,h_lay_sh_2_2_0,"(-36, 8)",
61,bitmap,h_std_sh_3_0_0,"(-21, 6)",
62,bitmap,h_std_sh_3_1_0,"(-26, 5)",
63,bitmap,h_std_sh_3_2_0,"(-23, 7)",
64,bitmap,h_std_sh_3_3_0,"(-23, 5)",
65,bitmap,h_std_sh_3_7_0,"(-23, 4)",
66,bitmap,h_wlk_sh_3_0_0,"(-21, 7)",
67,bitmap,h_wlk_sh_3_0_1,"(-14, 8)",
68,bitmap,h_wlk_sh_3_0_2,"(-21, 7)",
69,bitmap,h_wlk_sh_3_0_3,"(-19, 6)",
70,bitmap,h_wlk_sh_3_1_0,"(-24, 5)",
71,bitmap,h_wlk_sh_3_1_1,"(-14, 5)",
72,bitmap,h_wlk_sh_3_1_2,"(-23, 8)",
73,bitmap,h_wlk_sh_3_1_3,"(-14, 5)",
74,bitmap,h_wlk_sh_3_2_0,"(-21, 6)",
75,bitmap,h_wlk_sh_3_2_1,"(-28, 2)",
76,bitmap,h_wlk_sh_3_2_2,"(-23, 6)",
77,bitmap,h_wlk_sh_3_2_3,"(-15, 9)",
78,bitmap,h_wlk_sh_3_3_0,"(-24, 5)",
79,bitmap,h_wlk_sh_3_3_1,"(-23, 5)",
80,bitmap,h_wlk_sh_3_3_2,"(-23, 5)",
81,bitmap,h_wlk_sh_3_3_3,"(-24, 4)",
82,bitmap,h_wlk_sh_3_7_0,"(-22, 4)",
83,bitmap,h_wlk_sh_3_7_1,"(-23, 4)",
84,bitmap,h_wlk_sh_3_7_2,"(-23, 4)",
85,bitmap,h_wlk_sh_3_7_3,"(-24, 4)",
86,bitmap,h_sit_sh_3_0_0,"(-43, 36)",
87,bitmap,h_sit_sh_3_2_0,"(-36, 23)",
88,bitmap,h_lay_sh_3_2_0,"(-34, 10)",
91,bitmap,h_std_sh_4_0_0,"(-21, 6)",
92,bitmap,h_std_sh_4_1_0,"(-25, 7)",
93,bitmap,h_std_sh_4_2_0,"(-23, 7)",
94,bitmap,h_std_sh_4_3_0,"(-23, 5)",
95,bitmap,h_std_sh_4_7_0,"(-23, 5)",
96,bitmap,h_wlk_sh_4_0_0,"(-21, 6)",
97,bitmap,h_wlk_sh_4_0_1,"(-13, 10)",
98,bitmap,h_wlk_sh_4_0_2,"(-20, 7)",
99,bitmap,h_wlk_sh_4_0_3,"(-18, 8)",
100,bitmap,h_wlk_sh_4_1_0,"(-24, 8)",
101,bitmap,h_wlk_sh_4_1_1,"(-15, 5)",
102,bitmap,h_wlk_sh_4_1_2,"(-23, 8)",
103,bitmap,h_wlk_sh_4_1_3,"(-13, 5)",
104,bitmap,h_wlk_sh_4_2_0,"(-20, 7)",
105,bitmap,h_wlk_sh_4_2_1,"(-27, 2)",
106,bitmap,h_wlk_sh_4_2_2,"(-22, 9)",
107,bitmap,h_wlk_sh_4_2_3,"(-15, 10)",
108,bitmap,h_wlk_sh_4_3_0,"(-23, 6)",
109,bitmap,h_wlk_sh_4_3_1,"(-23, 7)",
110,bitmap,h_wlk_sh_4_3_2,"(-23, 6)",
111,bitmap,h_wlk_sh_4_3_3,"(-23, 7)",
112,bitmap,h_wlk_sh_4_7_0,"(-22, 8)",
113,bitmap,h_wlk_sh_4_7_1,"(-23, 8)",
114,bitmap,h_wlk_sh_4_7_2,"(-23, 8)",
115,bitmap,h_wlk_sh_4_7_3,"(-24, 8)",
116,bitmap,h_sit_sh_4_0_0,"(-43, 38)",
117,bitmap,h_sit_sh_4_2_0,"(-37, 25)",
118,bitmap,h_lay_sh_4_2_0,"(-33, 11)",
121,bitmap,h_std_sh_5_0_0,"(-21, 11)",
122,bitmap,h_std_sh_5_1_0,"(-26, 9)",
123,bitmap,h_std_sh_5_2_0,"(-23, 8)",
124,bitmap,h_std_sh_5_3_0,"(-20, 1)",
125,bitmap,h_std_sh_5_7_0,"(-23, 7)",
126,bitmap,h_wlk_sh_5_0_0,"(-21, 7)",
127,bitmap,h_wlk_sh_5_0_1,"(-14, 12)",
128,bitmap,h_wlk_sh_5_0_2,"(-22, 11)",
129,bitmap,h_wlk_sh_5_0_3,"(-18, 10)",
130,bitmap,h_wlk_sh_5_1_0,"(-25, 6)",
131,bitmap,h_wlk_sh_5_1_1,"(-14, 12)",
132,bitmap,h_wlk_sh_5_1_2,"(-24, 7)",
133,bitmap,h_wlk_sh_5_1_3,"(-15, 13)",
134,bitmap,h_wlk_sh_5_2_0,"(-21, 8)",
135,bitmap,h_wlk_sh_5_2_1,"(-27, 5)",
136,bitmap,h_wlk_sh_5_2_2,"(-23, 2)",
137,bitmap,h_wlk_sh_5_2_3,"(-16, 10)",
138,bitmap,h_wlk_sh_5_3_0,"(-21, 2)",
139,bitmap,h_wlk_sh_5_3_1,"(-20, 0)",
140,bitmap,h_wlk_sh_5_3_2,"(-20, 2)",
141,bitmap,h_wlk_sh_5_3_3,"(-21, 0)",
142,bitmap,h_wlk_sh_5_7_0,"(-23, 7)",
143,bitmap,h_wlk_sh_5_7_1,"(-23, 7)",
144,bitmap,h_wlk_sh_5_7_2,"(-23, 7)",
145,bitmap,h_wlk_sh_5_7_3,"(-24, 7)",
146,bitmap,h_sit_sh_5_0_0,"(-43, 43)",
147,bitmap,h_sit_sh_5_2_0,"(-35, 29)",
148,bitmap,h_lay_sh_5_2_0,"(-30, 15)",
151,bitmap,h_std_sh_6_0_0,"(-21, 5)",
152,bitmap,h_wlk_sh_6_0_0,"(-21, 7)",
153,bitmap,h_wlk_sh_6_0_1,"(-14, 8)",
154,bitmap,h_wlk_sh_6_0_2,"(-21, 7)",
155,bitmap,h_wlk_sh_6_0_3,"(-19, 6)",
156,bitmap,h_std_sh_6_1_0,"(-26, 5)",
157,bitmap,h_wlk_sh_6_1_0,"(-24, 5)",
158,bitmap,h_wlk_sh_6_1_1,"(-14, 5)",
159,bitmap,h_wlk_sh_6_1_2,"(-24, 8)",
160,bitmap,h_wlk_sh_6_1_3,"(-14, 5)",
161,bitmap,h_std_sh_6_2_0,"(-23, 7)",
162,bitmap,h_wlk_sh_6_2_0,"(-21, 6)",
163,bitmap,h_wlk_sh_6_2_1,"(-28, 1)",
164,bitmap,h_wlk_sh_6_2_2,"(-23, 6)",
165,bitmap,h_wlk_sh_6_2_3,"(-15, 9)",
166,bitmap,h_std_sh_6_3_0,"(-23, 5)",
167,bitmap,h_wlk_sh_6_3_0,"(-24, 5)",
168,bitmap,h_wlk_sh_6_3_1,"(-23, 5)",
169,bitmap,h_wlk_sh_6_3_2,"(-24, 5)",
170,bitmap,h_wlk_sh_6_3_3,"(-24, 6)",
171,bitmap,h_std_sh_6_7_0,"(-23, 4)",
172,bitmap,h_wlk_sh_6_7_0,"(-22, 4)",
173,bitmap,h_wlk_sh_6_7_1,"(-23, 4)",
174,bitmap,h_wlk_sh_6_7_2,"(-23, 4)",
175,bitmap,h_wlk_sh_6_7_3,"(-24, 4)",
176,bitmap,h_sit_sh_6_0_0,"(-43, 37)",
177,bitmap,h_sit_sh_6_2_0,"(-36, 23)",
178,bitmap,h_lay_sh_6_2_0,"(-34, 10)",
181,bitmap,h_std_sh_7_0_0,"(-21, 6)",
182,bitmap,h_std_sh_7_1_0,"(-26, 5)",
183,bitmap,h_std_sh_7_2_0,"(-24, 4)",
184,bitmap,h_std_sh_7_3_0,"(-22, 1)",
185,bitmap,h_std_sh_7_7_0,"(-23, 0)",
186,bitmap,h_wlk_sh_7_0_0,"(-21, 6)",
187,bitmap,h_wlk_sh_7_0_1,"(-14, 5)",
188,bitmap,h_wlk_sh_7_0_2,"(-20, 7)",
189,bitmap,h_wlk_sh_7_0_3,"(-20, 5)",
190,bitmap,h_wlk_sh_7_1_0,"(-25, 6)",
191,bitmap,h_wlk_sh_7_1_1,"(-15, 5)",
192,bitmap,h_wlk_sh_7_1_2,"(-24, 6)",
193,bitmap,h_wlk_sh_7_1_3,"(-15, 4)",
194,bitmap,h_wlk_sh_7_2_0,"(-21, 5)",
195,bitmap,h_wlk_sh_7_2_1,"(-27, 4)",
196,bitmap,h_wlk_sh_7_2_2,"(-24, 4)",
197,bitmap,h_wlk_sh_7_2_3,"(-16, 9)",
198,bitmap,h_wlk_sh_7_3_0,"(-24, 2)",
199,bitmap,h_wlk_sh_7_3_1,"(-23, 2)",
200,bitmap,h_wlk_sh_7_3_2,"(-23, 1)",
201,bitmap,h_wlk_sh_7_3_3,"(-23, 2)",
202,bitmap,h_wlk_sh_7_7_0,"(-23, 3)",
