Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,IG Handler Class,"(0, 0)",
4,script,IG Component Class,"(0, 0)",
5,script,IG Interface Class,"(0, 0)",
6,script,IG TooltipManager Class,"(0, 0)",
11,script,IGComponent Base Class,"(0, 0)",
12,script,IG ListContainer Base Class,"(0, 0)",
13,script,IG ItemContainer Base Class,"(0, 0)",
14,script,IGComponentUI Base Class,"(0, 0)",
15,script,IGComponentUI Subcomponent Class,"(0, 0)",
18,script,IG RoomLoader Class,"(0, 0)",
19,script,IG GameAssetImport Class,"(0, 0)",
21,script,IG Recommended Class,"(0, 0)",
22,script,IG RecommendedUI Class,"(0, 0)",
23,script,IG Popup Class,"(0, 0)",
24,script,IG HumanIcon Class,"(0, 0)",
27,script,IG GameTypes Class,"(0, 0)",
28,script,IG Snowwar GameType Class,"(0, 0)",
29,script,IG BB GameType Class,"(0, 0)",
31,script,IG GameList Class,"(0, 0)",
32,script,IG GameInstanceData Class,"(0, 0)",
34,script,IG GameListUI Class,"(0, 0)",
35,script,IG GameListUI List Class,"(0, 0)",
36,script,IG GameListUI Details Class,"(0, 0)",
37,script,IG GameListUI Snowwar Class,"(0, 0)",
38,script,IG GameListUI BB Class,"(0, 0)",
39,script,IG GameListUI Highscore Class,"(0, 0)",
41,script,IG LevelList Class,"(0, 0)",
42,script,IG LevelInstanceData Class,"(0, 0)",
44,script,IG LevelListUI Class,"(0, 0)",
45,script,IG LevelListUI List Class,"(0, 0)",
46,script,IG LevelListUI Details Class,"(0, 0)",
47,script,IG LevelListUI Snowwar Class,"(0, 0)",
48,script,IG LevelListUI BB Class,"(0, 0)",
49,script,IG LevelListUI Highscore Class,"(0, 0)",
51,script,IG Prejoin Class,"(0, 0)",
52,script,IG PrejoinUI Class,"(0, 0)",
54,script,IG GameRulesUI Class,"(0, 0)",
55,script,IG BottomBarUI Class,"(0, 0)",
56,script,IG ArenaQueueUI Class,"(0, 0)",
59,script,IG GameChat Class,"(0, 0)",
60,script,IG GameData Class,"(0, 0)",
61,script,IG JoinedGame Class,"(0, 0)",
62,script,IG JoinedGameUI Class,"(0, 0)",
64,script,IG JoinedGameUI Details Class,"(0, 0)",
65,script,IG JoinedGameUI Highscore Class,"(0, 0)",
66,script,IG JoinedGameUI Minimized Class,"(0, 0)",
67,script,IG JoinedGameUI ChangeTeam Class,"(0, 0)",
70,script,IG TeamUI Subcomponent Class,"(0, 0)",
71,script,IG PreGame Class,"(0, 0)",
72,script,IG PreGameUI Class,"(0, 0)",
74,script,IG PreGameUI Countdown Class,"(0, 0)",
75,script,IG PreGameUI ProgressBar Class,"(0, 0)",
76,script,IG PreGameUI Teams Class,"(0, 0)",
77,script,IG PreGameUI ShowRulesButton Class,"(0, 0)",
78,script,IG PreGameUI HideRulesButton Class,"(0, 0)",
79,script,IG PreGameUI Rules Class,"(0, 0)",
81,script,IG AfterGame Class,"(0, 0)",
82,script,IG AfterGameUI Class,"(0, 0)",
84,script,IG AfterGameUI Gameover Class,"(0, 0)",
85,script,IG AfterGameUI GameScore Class,"(0, 0)",
86,script,IG AfterGameUI ReplayQuery Class,"(0, 0)",
87,script,IG AfterGameUI HighscoreButton Class,"(0, 0)",
88,script,IG AfterGameUI GamescoreButton Class,"(0, 0)",
89,script,IG AfterGameUI AlltimeScore Class,"(0, 0)",
90,script,IG AfterGameUI Rejoin Class,"(0, 0)",
91,script,IG FlagManager Class,"(0, 0)",
92,script,IG UIFlag Class,"(0, 0)",
93,script,IG UIFlag AfterGameXP,"(0, 0)",
94,script,IG UIFlag AfterGameHighscore,"(0, 0)",
95,script,IG UIFlag AfterGameTeamHighscore,"(0, 0)",
96,script,IG UIFlag AfterGameTime,"(0, 0)",
97,script,IG UIFlag PreGameUserLeft,"(0, 0)",
101,script,Multicomponent Window Wrapper Class,"(0, 0)",
102,script,Multicomponent Window Wrapper Set Class,"(0, 0)",
109,script,IG Chat Bubble Info,"(0, 0)",
111,script,,"(0, 0)",
114,script,IG InviteResp Class,"(0, 0)",
115,script,IG InviteSend Class,"(0, 0)",
128,script,NOT USED IG LevelListData Class,"(0, 0)",
131,sound,ig-losing,"(0, 0)",
132,sound,ig-winning,"(0, 0)",
133,sound,ig-countdown,"(0, 0)",
