Number,Type,Name,Registration Point,Filename
1,field,ig_recommeded_popup.window,"(0, 0)",
2,field,ig_popup_bg.window,"(0, 0)",
3,field,ig_gamelist.window,"(0, 0)",
4,field,ig_tms_btm_drk.window,"(0, 0)",
5,field,ig_title_starting_gms.window,"(0, 0)",
8,field,ig_tms_plrs_2_6.window,"(0, 0)",
9,field,ig_tms_plrs_4_3.window,"(0, 0)",
10,field,ig_join_tms_plrs_4_3.window,"(0, 0)",
11,field,ig_bb_powerups.window,"(0, 0)",
13,field,ig_divider_hor.window,"(0, 0)",
15,field,ig_title_choose_lvl.window,"(0, 0)",
18,field,ig_choose_teams_ss.window,"(0, 0)",
19,field,ig_choose_teams_bb.window,"(0, 0)",
20,field,ig_choose_powerups.window,"(0, 0)",
21,field,ig_choose_availability.window,"(0, 0)",
22,field,ig_choose_duration.window,"(0, 0)",
23,field,ig_duration.window,"(0, 0)",
30,field,ig_jnd_tms_plrs_4_3.window,"(0, 0)",
31,field,ig_std_tms_plrs_4_3.window,"(0, 0)",
32,field,ig_std_tms_plrs_2_6.window,"(0, 0)",
33,field,ig_jnd_tms_plrs_2_6.window,"(0, 0)",
34,field,ig_std_tms_plrs_3_4.window,"(0, 0)",
35,field,ig_jnd_tms_plrs_3_4.window,"(0, 0)",
36,field,ig_std_tms_plrs_1_12.window,"(0, 0)",
37,field,ig_jnd_tms_plrs_1_12.window,"(0, 0)",
38,field,ig_jnd_change_4_3.window,"(0, 0)",
39,field,ig_std_change_4_3.window,"(0, 0)",
40,field,ig_jnd_change_3_4.window,"(0, 0)",
41,field,ig_std_change_3_4.window,"(0, 0)",
42,field,ig_jnd_highscores.window,"(0, 0)",
43,field,ig_std_highscores.window,"(0, 0)",
44,field,ig_jnd_minimized.window,"(0, 0)",
45,field,ig_frame_join.window,"(0, 0)",
46,field,ig_frame_join_btm.window,"(0, 0)",
47,field,ig_frame_swap.window,"(0, 0)",
48,field,ig_frame_swap_own.window,"(0, 0)",
49,field,ig_frame_startnew_btm.window,"(0, 0)",
50,field,ig_frame_blank_btm.window,"(0, 0)",
51,field,ig_tms_btm.window,"(0, 0)",
52,field,ig_tms_plrs_3_4.window,"(0, 0)",
53,field,ig_tms_plrs_1_12.window,"(0, 0)",
54,field,ig_frame_blank2_btm.window,"(0, 0)",
55,field,ig_frame_create.window,"(0, 0)",
56,field,ig_frame_create_btm.window,"(0, 0)",
57,field,ig_level_highscores.window,"(0, 0)",
58,field,ig_tooltip.window,"(0, 0)",
59,field,ig_prejoin.window,"(0, 0)",
62,field,ig_ag_score_plrs_3.window,"(0, 0)",
63,field,ig_ag_score_plrs_4.window,"(0, 0)",
64,field,ig_ag_score_plrs_6.window,"(0, 0)",
65,field,ig_ag_score_plrs_12.window,"(0, 0)",
66,field,ig_ag_join_plrs_3.window,"(0, 0)",
68,field,ig_ag_join_plrs_4.window,"(0, 0)",
70,field,ig_ag_join_plrs_6.window,"(0, 0)",
72,field,ig_ag_join_plrs_12.window,"(0, 0)",
74,field,ig_ag_play_again.window,"(0, 0)",
75,field,ig_ag_show_highscores.window,"(0, 0)",
76,field,ig_ag_hide_highscores.window,"(0, 0)",
77,field,ig_ag_leave_game.window,"(0, 0)",
78,field,ig_ag_highscores_top.window,"(0, 0)",
79,field,ig_ag_highscores_btm.window,"(0, 0)",
80,field,ig_ag_teamhigh_top.window,"(0, 0)",
81,field,ig_ag_teamhigh_brk.window,"(0, 0)",
82,field,ig_ag_teamhigh_mid.window,"(0, 0)",
83,field,ig_ag_teamhigh_btm.window,"(0, 0)",
84,field,ig_ag_score_min.window,"(0, 0)",
85,field,ig_ag_waiting_players.window,"(0, 0)",
86,field,ig_ag_game_starting.window,"(0, 0)",
87,field,ig_ag_tip_title.window,"(0, 0)",
88,field,ig_ag_tip_title_close.window,"(0, 0)",
89,field,ig_ag_tip_title_exp.window,"(0, 0)",
90,field,ig_ag_tip_xp.window,"(0, 0)",
91,field,ig_ag_tip_activity_points.window,"(0, 0)",
92,field,ig_ag_tip_jointime.window,"(0, 0)",
93,field,ig_ag_tip_jointime_close.window,"(0, 0)",
94,field,ig_ag_gameover.window,"(0, 0)",
95,field,ig_chat_bubble.window,"(0, 0)",
102,field,ig_pg_load_plrs_3.window,"(0, 0)",
103,field,ig_pg_load_plrs_3_btm.window,"(0, 0)",
104,field,ig_pg_load_plrs_4.window,"(0, 0)",
105,field,ig_pg_load_plrs_4_btm.window,"(0, 0)",
106,field,ig_pg_load_plrs_6.window,"(0, 0)",
107,field,ig_pg_load_plrs_6_btm.window,"(0, 0)",
108,field,ig_pg_load_plrs_12_btm.window,"(0, 0)",
109,field,ig_pg_loadbar.window,"(0, 0)",
112,field,ig_pg_rules_a_0.window,"(0, 0)",
113,field,ig_pg_rules_b_0.window,"(0, 0)",
114,field,ig_pg_rules_a_1.window,"(0, 0)",
115,field,ig_pg_rules_b_1.window,"(0, 0)",
116,field,ig_pg_countdown.window,"(0, 0)",
122,palette,ig_UI_colors Palette,"(0, 0)",
123,palette,ig_UI_icons Palette,"(0, 0)",
129,bitmap,ig_title_px_blue,"(0, 0)",
130,bitmap,ig_list_px_black,"(0, 0)",
131,bitmap,ig_title_px_gray,"(0, 0)",
137,bitmap,ig_px_team1_slot_0,"(0, 0)",
138,bitmap,ig_px_team2_slot_0,"(0, 0)",
139,bitmap,ig_px_team1_slot_1,"(0, 0)",
140,bitmap,ig_px_team2_slot_1,"(0, 0)",
141,bitmap,ig_title_px_red,"(0, 0)",
142,bitmap,ig_title_px_orange,"(0, 0)",
151,bitmap,ig_frame_drt,"(0, 0)",
152,bitmap,ig_frame_drt2,"(-1, -1)",
195,bitmap,ig_clock_icon,"(0, 0)",
209,bitmap,ig_pllr4_left,"(0, 0)",
210,bitmap,ig_pllr4_mid,"(0, 0)",
211,bitmap,ig_pllr4_right,"(0, 0)",
212,bitmap,ig_frm_top_left,"(0, 0)",
213,bitmap,ig_frm_top_mid,"(0, 0)",
214,bitmap,ig_frm_top_right,"(0, 0)",
215,bitmap,ig_frm_btm_left,"(0, 0)",
216,bitmap,ig_frm_btm_mid,"(0, 0)",
217,bitmap,ig_frm_btm_right,"(0, 0)",
218,bitmap,ig_frm_btm2_left,"(0, 0)",
219,bitmap,ig_frm_btm2_mid,"(0, 0)",
220,bitmap,ig_frm_btm2_right,"(0, 0)",
221,bitmap,ig_frm_btm3_left,"(0, 0)",
222,bitmap,ig_frm_btm3_mid,"(0, 0)",
223,bitmap,ig_frm_btm3_right,"(0, 0)",
224,bitmap,ig_pllr_left,"(0, 0)",
225,bitmap,ig_pllr_mid,"(0, 0)",
226,bitmap,ig_pllr_right,"(0, 0)",
227,bitmap,ig_pllr2_left,"(0, 0)",
228,bitmap,ig_pllr2_mid,"(0, 0)",
229,bitmap,ig_pllr2_right,"(0, 0)",
230,bitmap,ig_frm2_top_left,"(0, 0)",
231,bitmap,ig_frm2_top_mid,"(0, 0)",
232,bitmap,ig_frm2_top_right,"(0, 0)",
233,bitmap,ig_pllr3_left,"(0, 0)",
234,bitmap,ig_pllr3_mid,"(0, 0)",
235,bitmap,ig_pllr3_right,"(0, 0)",
236,bitmap,ig_frm_btm4_left,"(0, 0)",
237,bitmap,ig_frm_btm4_mid,"(0, 0)",
238,bitmap,ig_frm_btm4_right,"(0, 0)",
239,bitmap,ig_frm_icon_close,"(0, 0)",
240,palette,aftergame Palette,"(0, 0)",
241,bitmap,ig_icon_medal_1,"(0, 0)",
242,bitmap,ig_icon_medal_2,"(0, 0)",
243,bitmap,ig_icon_medal_3,"(0, 0)",
244,bitmap,ig_icon_medal_4,"(0, 0)",
245,bitmap,ig_icon_leave,"(0, 0)",
246,bitmap,ig_icon_gameleft,"(0, 0)",
247,bitmap,ig_icon_highscores,"(0, 0)",
248,bitmap,ig_icon_joinclock,"(0, 0)",
249,bitmap,ig_icon_clock_green,"(0, 0)",
250,bitmap,ig_frm_mid_out,"(0, 0)",
251,bitmap,ig_frm_mid_in,"(0, 0)",
252,bitmap,ig_frm_px_gray,"(0, 0)",
253,bitmap,ig_chat_bubble_left,"(0, 0)",
254,bitmap,ig_chat_bubble_mid,"(0, 0)",
255,bitmap,ig_chat_bubble_right,"(0, 0)",
256,bitmap,ig_frm_top_left_dk,"(0, 0)",
257,bitmap,ig_frm_top_mid_dk,"(0, 0)",
258,bitmap,ig_frm_top_right_dk,"(0, 0)",
259,bitmap,ig_frm_top_left_lt,"(0, 0)",
260,bitmap,ig_frm_top_mid_lt,"(0, 0)",
261,bitmap,ig_frm_top_right_lt,"(0, 0)",
262,bitmap,ig_icon_face_bg,"(0, 0)",
263,bitmap,ig_frm_btm6_left,"(0, 0)",
