Number,Type,Name,Registration Point,Filename
1,font,v,"(3, 3)",
2,font,vb,"(3, 3)",
3,palette,interface palette,"(0, 0)",
4,bitmap,window.top.left,"(0, 0)",
5,bitmap,window.top.middle,"(0, 0)",
6,bitmap,window.top.right,"(0, 0)",
7,bitmap,window.middle.left,"(0, 0)",
8,bitmap,window.middle.middle,"(0, 0)",
9,bitmap,window.middle.right,"(0, 0)",
10,bitmap,window.bottom.left,"(0, 0)",
11,bitmap,window.bottom.middle,"(0, 0)",
12,bitmap,window.bottom.right,"(0, 0)",
13,bitmap,window.scale,"(0, 0)",
14,bitmap,grid.top.left,"(0, 0)",
15,bitmap,grid.top.middle,"(0, 0)",
16,bitmap,grid.top.right,"(0, 0)",
17,bitmap,content.top.left,"(0, 0)",
18,bitmap,content.top.middle,"(0, 0)",
19,bitmap,content.top.right,"(0, 0)",
20,bitmap,content.middle.left,"(0, 0)",
21,bitmap,content.middle.middle,"(0, 0)",
22,bitmap,content.middle.right,"(0, 0)",
23,bitmap,content.bottom.left,"(0, 0)",
24,bitmap,content.bottom.middle,"(0, 0)",
25,bitmap,content.bottom.right,"(0, 0)",
26,bitmap,content.corner,"(0, 0)",
27,bitmap,tab.top.left,"(0, 0)",
28,bitmap,tab.top.middle,"(0, 0)",
29,bitmap,tab.top.right,"(0, 0)",
30,bitmap,tab.middle.left,"(0, 0)",
31,bitmap,tab.middle.middle,"(0, 0)",
32,bitmap,shadow.top.left,"(0, 0)",
33,bitmap,shadow.top.right,"(0, 0)",
34,bitmap,shadow.pixel,"(0, 0)",
35,bitmap,shadow.bottom.right,"(0, 0)",
36,bitmap,shadow.bottom.left,"(0, 0)",
37,bitmap,button.close.up,"(0, 0)",
38,bitmap,button.close.down,"(0, 0)",
39,bitmap,field.left,"(0, 0)",
40,bitmap,field.middle,"(0, 0)",
41,bitmap,field.right,"(0, 0)",
42,bitmap,button.radio.on,"(0, 0)",
43,bitmap,button.radio.off,"(0, 0)",
44,bitmap,button.checkbox.on,"(0, 0)",
45,bitmap,button.checkbox.off,"(0, 0)",
46,bitmap,button.scroll.up.passive,"(0, 0)",
47,bitmap,button.scroll.up.active,"(0, 0)",
48,bitmap,button.scroll.up.pressed,"(0, 0)",
49,bitmap,button.scroll.down.active,"(0, 0)",
50,bitmap,scrollbar.vertical.active,"(0, 0)",
51,bitmap,scrollbar.vertical.pressed,"(0, 0)",
52,bitmap,button.scroll.lift.active,"(0, 0)",
53,bitmap,button.scroll.lift.pressed,"(0, 0)",
54,bitmap,button.scroll.lift.passive,"(0, 0)",
55,bitmap,button.a.left.active,"(0, 0)",
56,bitmap,button.a.middle.active,"(0, 0)",
57,bitmap,button.a.right.active,"(0, 0)",
58,bitmap,button.a.left.pressed,"(0, 0)",
59,bitmap,button.a.middle.pressed,"(0, 0)",
60,bitmap,button.b.left.active,"(0, 0)",
61,bitmap,button.b.middle.active,"(0, 0)",
62,bitmap,button.b.right.active,"(0, 0)",
