Number,Type,Name,Registration Point,Filename
1,field,char_continent_list,"(0, 0)",
2,field,char_country_list,"(0, 0)",
3,field,swimfigure_ids_Male,"(0, 0)",
4,field,swimfigure_ids_Female,"(0, 0)",
5,palette,messenger buttons palette,"(0, 0)",
6,bitmap,mes_1_down,"(0, 0)",
7,bitmap,mes_2_down,"(0, 0)",
8,bitmap,mes_3_down,"(0, 0)",
9,bitmap,mes_4_down,"(0, 0)",
10,bitmap,create_room_icon,"(45, 44)",
11,bitmap,mes_2_up,"(0, 0)",
12,bitmap,mes_3_up,"(0, 0)",
13,bitmap,mes_4_up,"(0, 0)",
14,bitmap,mes_1_up,"(0, 0)",
15,bitmap,pelle_kyltti2,"(0, 120)",
16,bitmap,room_hand_next,"(0, 0)",
17,bitmap,room_hand_next hi,"(0, 0)",
18,bitmap,pelle_kyltti1,"(0, 0)",
19,bitmap,ad_warning_L,"(53, 31)",
20,bitmap,ad_warning_R,"(53, 30)",
21,palette,default_bus_badge Palette,"(0, 0)",
26,field,Poster Index List,"(0, 0)",
27,palette,catalog_fp_headerpic Palette,"(0, 0)",
28,bitmap,catal_fp_header,"(146, 75)",
29,palette,catalogue_header_palette,"(0, 0)",
30,bitmap,catalog_love_headline1,"(143, 15)",
31,bitmap,catalog_xmas_headline1,"(143, 30)",
32,bitmap,catalog_spaces_headline1,"(137, 28)",
33,bitmap,catalog_easter_headline1,"(143, 29)",
34,bitmap,catalog_camera_headline1,"(143, 30)",
35,bitmap,catalog_gifts_headline1,"(142, 29)",
36,bitmap,catalog_extra_headline1,"(143, 30)",
37,bitmap,catalog_rugs_headline1,"(143, 30)",
38,bitmap,catalog_deals_headline1,"(143, 29)",
39,bitmap,catalog_bath_headline1,"(143, 30)",
40,bitmap,catalog_plants_headline1,"(143, 25)",
41,bitmap,catalog_area_headline1,"(141, 25)",
42,bitmap,catalog_candy_headline1,"(143, 30)",
43,bitmap,catalog_plasto_headline1,"(138, 25)",
44,bitmap,catalog_flags_headline1,"(138, 29)",
45,bitmap,catalog_pura_headline1,"(143, 30)",
46,bitmap,catalog_sports_headline1,"(142, 21)",
47,bitmap,catalog_doors_headline1,"(128, 24)",
48,bitmap,catalog_lodge_headline1,"(143, 30)",
49,bitmap,catalog_club_headline1,"(143, 30)",
50,bitmap,catalog_rares_headline1,"(143, 30)",
51,bitmap,catalog_iced_headline1,"(143, 30)",
52,bitmap,catalog_mode_headline1,"(143, 30)",
53,bitmap,catalog_gallery_headline1,"(102, 27)",
54,bitmap,catalog_trophies_headline1,"(131, 24)",
55,palette,halloween_header Palette,"(0, 0)",
56,bitmap,catalog_halloween_headline1,"(143, 30)",
57,bitmap,catalog_pet_headline1,"(95, 24)",
58,bitmap,catalog_pet_headline2,"(95, 24)",
59,bitmap,catalog_roller_headline1,"(107, 30)",
60,bitmap,catalog_asian_headline1,"(85, 28)",
61,palette,Glass Palette,"(0, 0)",
62,bitmap,catalog_glass_headline1,"(106, 28)",
63,bitmap,catalog_gothic_headline1,"(142, 26)",
64,palette,gothic_palette,"(0, 0)",
65,palette,bankhabbologo Palette,"(0, 0)",
66,bitmap,catalog_bank_headline1,"(144, 31)",
67,palette,traxcat palette,"(0, 0)",
68,bitmap,catalog_djshop_headline1,"(143, 30)",
69,bitmap,catalog_recycler_headline1,"(137, 28)",
70,palette,catalog_romantique_palette,"(0, 0)",
71,bitmap,catalog_romantique_headline1,"(140, 24)",
72,palette, limited Palette,"(0, 0)",
73,bitmap,catalog_limited_headline1,"(142, 29)",
