Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Recycler Interface Class,"(0, 0)",
4,script,Recycler Component Class,"(0, 0)",
5,script,Recycler Handler Class,"(0, 0)",
6,script,Recycler Progress Animation Class,"(0, 0)",
7,script,Recycler Status Icon Class,"(0, 0)",
10,field,recycler_notification.window,"(0, 0)",
11,field,ctlg_recycler_open.window,"(0, 0)",
12,field,ctlg_recycler_progress.window,"(0, 0)",
13,field,ctlg_recycler_ready.window,"(0, 0)",
14,palette, rclr_palette,"(0, 0)",
15,bitmap,ctlg_recycler_jaw_bg_left_middle,"(0, 0)",
16,bitmap,ctlg_recycler_bg,"(0, 0)",
17,bitmap,ctlg_recycler_jaw_bg_right_middle,"(0, 0)",
18,bitmap,ctlg_recycler_hinge_left,"(0, 0)",
19,bitmap,ctlg_recycler_hinge_right,"(0, 0)",
20,bitmap,ctlg_recycler_jaw_bg_left_lower_middle,"(0, 0)",
21,bitmap,ctlg_recycler_jaw_right_lower_middle,"(0, 0)",
22,bitmap,ctlg_recycler_jaw_bg_left,"(0, 0)",
23,bitmap,ctlg_recycler_jaw_bg_middle,"(0, 0)",
24,bitmap,ctlg_recycler_jaw_bg_right,"(0, 0)",
25,bitmap,ctlg_recycler_slot_bg,"(0, 0)",
26,bitmap,ctlg_recycler_jaw_upper_top,"(0, 0)",
27,bitmap,ctlg_recycler_jaw_upper_middle,"(0, 0)",
28,bitmap,ctlg_recycler_jaw_upper_tip,"(0, 0)",
29,bitmap,ctlg_recycler_jaw_lower_tip,"(0, 0)",
30,bitmap,ctlg_recycler_jaw_lower_middle,"(0, 0)",
31,bitmap,ctlg_recycler_jaw_lower_bottom,"(0, 0)",
32,bitmap,ctlg_recycler_bar_left_orange,"(0, 0)",
33,bitmap,ctlg_recycler_bar_middle_orange,"(0, 0)",
34,bitmap,ctlg_recycler_bar_right_orange,"(4, 14)",
35,bitmap,ctlg_recycler_bar_left_yellow,"(0, 0)",
36,bitmap,ctlg_recycler_bar_middle_yellow,"(0, 0)",
37,bitmap,ctlg_recycler_bar_right_yellow,"(4, 14)",
38,bitmap,ctlg_recycler_bar_left_green,"(0, 0)",
39,bitmap,ctlg_recycler_bar_middle_green,"(0, 0)",
40,bitmap,ctlg_recycler_bar_right_green,"(4, 14)",
41,bitmap,ctlg_recycler_bar_left_gray,"(0, 0)",
42,bitmap,ctlg_recycler_bar_middle_gray,"(0, 0)",
43,bitmap,ctlg_recycler_bar_right_gray,"(4, 14)",
44,bitmap,recycler_icon_tag,"(0, 0)",
45,bitmap,recycler_icon_normal,"(0, 0)",
46,bitmap,recycler_icon_highlight,"(2, 2)",
47,bitmap,recycler_icon_big,"(-55, -20)",
