Number,Type,Name,Registration Point,Filename
1,script,Pseudorandom Number Generator Class,"(0, 0)",
2,field,lsd_1.props,"(0, 0)",
3,field,lsd_2.props,"(0, 0)",
4,field,lsd_3.props,"(0, 0)",
5,field,s_lsd_6.props,"(0, 0)",
6,script,,"(0, 0)",
7,field,lsd_4.props,"(0, 0)",
8,field,lsd_5.props,"(0, 0)",
9,field,lsd_6.props,"(0, 0)",
10,field,lsd_7.props,"(0, 0)",
11,field,s_lsd_1.props,"(0, 0)",
12,field,s_lsd_2.props,"(0, 0)",
13,field,s_lsd_3.props,"(0, 0)",
14,field,s_lsd_4.props,"(0, 0)",
15,field,s_lsd_5.props,"(0, 0)",
16,field,s_lsd_7.props,"(0, 0)",
17,field,lsd_8.props,"(0, 0)",
18,field,s_lsd_8.props,"(0, 0)",
20,palette,clouded Palette,"(0, 0)",
21,bitmap,lsd_1_1,"(0, 199)",
22,bitmap,lsd_1_2,"(0, 215)",
23,bitmap,lsd_1_item_1,"(4, 5)",
24,bitmap,lsd_1_item_2,"(0, 0)",
25,palette,cityscape Palette,"(0, 0)",
26,palette,basic landscapes Palette,"(0, 0)",
27,bitmap,lsd_2_1,"(0, 257)",
28,bitmap,lsd_2_2,"(0, 258)",
29,bitmap,lsd_2_item_1,"(22, 24)",
30,bitmap,lsd_3_1,"(0, 174)",
31,bitmap,lsd_3_2,"(0, 174)",
32,bitmap,lsd_3_item_1,"(5, 11)",
33,bitmap,lsd_4_1,"(-1, 177)",
34,palette,cityscape2 Palette,"(0, 0)",
35,bitmap,landscapetemp,"(667, 484)",
36,bitmap,lsd_4_2,"(-1, 192)",
37,bitmap,s_lsd_2_1,"(0, 129)",
38,bitmap,s_lsd_2_2,"(0, 129)",
39,bitmap,s_lsd_1_1,"(0, 105)",
40,bitmap,s_lsd_1_2,"(0, 112)",
41,bitmap,s_lsd_1_item_1,"(3, 3)",
42,bitmap,s_lsd_3_1,"(0, 88)",
43,bitmap,s_lsd_3_2,"(0, 88)",
44,bitmap,s_lsd_3_item_1,"(3, 5)",
45,bitmap,s_lsd_2_item_1,"(12, 11)",
46,bitmap,s_lsd_4_1,"(-1, 88)",
47,bitmap,s_lsd_4_2,"(-1, 95)",
48,bitmap,lsd_5_1,"(-1, 139)",
49,bitmap,s_lsd_5_1,"(49, 35)",
50,bitmap,lsd_6_1,"(0, 140)",
51,bitmap,s_lsd_6_1,"(0, 70)",
52,palette,landscapes_alt Palette,"(0, 0)",
53,bitmap,alham_cat_prev,"(421, 593)",
54,bitmap,lsd_7_1,"(97, 86)",
55,bitmap,lsd_7_2,"(97, 88)",
56,bitmap,lsd_7_item1,"(0, 8)",
57,bitmap,lsd_7_item2,"(17, 34)",
61,bitmap,s_lsd_7_1,"(49, 43)",
62,bitmap,s_lsd_7_2,"(49, 44)",
63,bitmap,s_lsd_7_item_1,"(2, 1)",
64,bitmap,s_lsd_7_item_2,"(8, 17)",
65,palette,star_scape Palette,"(0, 0)",
66,bitmap,lsd_8_1,"(97, 128)",
67,bitmap,lsd_8_2,"(97, 128)",
68,bitmap,lsd_8_item_1,"(27, 14)",
69,bitmap,lds_8_item_2,"(10, 5)",
70,bitmap,lsd_8_item_3,"(4, 4)",
71,bitmap,lsd_8_item_4,"(25, 13)",
72,bitmap,s_lsd_8_1,"(49, 64)",
73,bitmap,s_lsd_8_2,"(49, 64)",
74,bitmap,s_lsd_8_item_1,"(14, 7)",
75,bitmap,s_lds_8_item_2,"(10, 5)",
76,bitmap,s_lsd_8_item_3,"(4, 4)",
77,bitmap,s_lsd_8_item_4,"(12, 6)",
91,bitmap,lsd_bg_1,"(0, 168)",
92,bitmap,lsd_bg_2,"(0, 168)",
93,bitmap,lsd_bg_3,"(0, 168)",
94,bitmap,lsd_bg_4,"(0, 168)",
95,bitmap,lsd_bg_5,"(0, 168)",
96,bitmap,lsd_bg_6,"(8, 84)",
106,bitmap,s_lsd_bg_1,"(0, 83)",
107,bitmap,s_lsd_bg_2,"(0, 84)",
108,bitmap,s_lsd_bg_3,"(0, 84)",
109,bitmap,s_lsd_bg_4,"(0, 84)",
110,bitmap,s_lsd_bg_5,"(0, 84)",
111,bitmap,s_lsd_bg_6,"(4, 42)",
