Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,bitmap,blockhilite,"(0, 15)",
4,bitmap,left_wallpart_0_a_0_0_0,"(-32, 115)",
5,bitmap,left_wallmask_0_a_0_0_0,"(-31, 115)",
6,bitmap,right_wallpart_0_a_0_2_0,"(0, 116)",
7,bitmap,left_wallpart_1_a_0_0_0,"(-32, 115)",
8,bitmap,left_wallmask_1_a_0_0_0,"(-31, 115)",
9,bitmap,right_wallpart_1_a_0_2_0,"(0, 116)",
10,bitmap,left_wallend_0_b_0_0_0,"(-25, 99)",
11,bitmap,right_wallend_0_b_0_2_0,"(-32, 100)",
12,bitmap,left_wallpart2_0_a_0_0_0,"(-32, 147)",
13,bitmap,right_wallpart2_0_a_0_2_0,"(0, 148)",
14,bitmap,left_wallpart2_1_a_0_0_0,"(-32, 147)",
15,bitmap,right_wallpart2_1_a_0_2_0,"(0, 148)",
16,bitmap,left_wallend2_0_b_0_0_0,"(-25, 131)",
17,bitmap,right_wallend2_0_b_0_2_0,"(-32, 132)",
18,bitmap,right_stairs1_0_a_0_2_0,"(0, 116)",
19,bitmap,right_stairs1_1_a_0_2_0,"(0, 116)",
20,bitmap,right_stairs2_0_a_0_2_0,"(0, 148)",
21,bitmap,right_stairs2_1_a_0_2_0,"(0, 148)",
22,bitmap,left_stairs1_0_a_0_2_0,"(-32, 115)",
23,bitmap,left_stairs1_1_a_0_2_0,"(-32, 115)",
24,bitmap,left_stairs2_0_a_0_2_0,"(-32, 147)",
25,bitmap,left_stairs2_1_a_0_2_0,"(-32, 147)",
26,field,left_wallpart_0.props,"(0, 0)",
27,field,left_wallmask_0.props,"(0, 0)",
29,script,Private Room Engine Class,"(0, 0)",
30,script,Wall Door Class,"(0, 0)",
31,bitmap,leftdoor_open_mask,"(-10, 79)",
32,bitmap,landscape_bg,"(360, 200)",
34,script,Landscape Manager,"(0, 0)",
35,script,Landscape Background Manager,"(0, 0)",
36,script,Landscape Animation Manager,"(0, 0)",
37,script,Wall Mask Manager,"(0, 0)",
38,script,Landscape Cloud,"(0, 0)",
39,script,OLD Landscape Animation Manager,"(0, 0)",
42,bitmap,flat_floor_0_a_0_0_0,"(0, 0)",
43,bitmap,flat_floor_1_a_0_0_0,"(0, 0)",
44,bitmap,flat_floor_2_a_0_0_0,"(0, 0)",
45,bitmap,flat_stair_0_a_0_0_0,"(0, 0)",
46,bitmap,flat_stair_1_a_0_0_0,"(0, 0)",
47,bitmap,flat_stair_2_a_0_0_0,"(0, 0)",
48,bitmap,flat_stairmask_0_a_0_0_0,"(0, 0)",
52,bitmap,landscape_cloud_0_left,"(0, 0)",
53,bitmap,landscape_cloud_0_right,"(16, 15)",
54,bitmap,landscape_cloud_1_left,"(0, 0)",
55,bitmap,landscape_cloud_1_right,"(0, 0)",
56,bitmap,landscape_cloud_2_left,"(0, 0)",
57,bitmap,landscape_cloud_2_right,"(0, 0)",
59,bitmap,leftdoor_open,"(-10, 79)",
60,bitmap,private_exitshape,"(0, 0)",
61,bitmap,window_single_a,"(10, 0)",
62,bitmap,window_double_a,"(0, 0)",
63,bitmap,window_double_b,"(15, 14)",
64,bitmap,window_double_c,"(-17, -2)",
65,bitmap,window_double_d,"(-49, -18)",
66,bitmap,window_single_b,"(-24, -12)",
67,script,DEPR_Landscape Cloud,"(0, 0)",
69,palette,floor_basic,"(0, 0)",
70,palette,floor_fuzzy1,"(0, 0)",
71,palette,floor_tiles1,"(0, 0)",
72,palette,floor_tiles2,"(0, 0)",
73,palette,floor_tiles3,"(0, 0)",
74,palette,floor_tiles4,"(0, 0)",
75,palette,floor_tiles5,"(0, 0)",
76,palette,wall_testpattern,"(0, 0)",
77,palette,wall_smalltile,"(0, 0)",
78,palette,wall_lego,"(0, 0)",
79,palette,wall_fuzzy,"(0, 0)",
80,palette,wall_lively,"(0, 0)",
81,palette,wall_white,"(0, 0)",
82,palette,wall_testpattern2,"(0, 0)",
83,palette,wall_stripe,"(0, 0)",
84,palette,wall_tiles1,"(0, 0)",
85,palette,wall_tiles2,"(0, 0)",
86,palette,wall_stripes,"(0, 0)",
87,palette,wall_half1,"(0, 0)",
88,palette,wall_half2,"(0, 0)",
89,palette,wall_half3,"(0, 0)",
90,palette,wall_vstripes1,"(0, 0)",
92,palette,wall_groovy1,"(0, 0)",
93,palette,wall_groovy2,"(0, 0)",
94,palette,wall_groovy3,"(0, 0)",
95,palette,wall_groovy4,"(0, 0)",
96,palette,wall_groovy5,"(0, 0)",
97,palette,wall_groovy6,"(0, 0)",
98,palette,wall_groovy7,"(0, 0)",
99,field,wallpattern_patterns,"(0, 0)",
100,field,wallpattern_plain,"(0, 0)",
101,field,wallpattern_fuzzy,"(0, 0)",
102,field,wallpattern_lively,"(0, 0)",
103,field,wallpattern_tiles1,"(0, 0)",
104,field,wallpattern_tiles2,"(0, 0)",
105,field,wallpattern_stripes,"(0, 0)",
106,field,wallpattern_half1,"(0, 0)",
107,field,wallpattern_half2,"(0, 0)",
108,field,wallpattern_half3,"(0, 0)",
109,field,wallpattern_vstripes1,"(0, 0)",
110,field,wallpattern_vstripes2,"(0, 0)",
111,field,wallpattern_groovy,"(0, 0)",
112,field,floorpattern_patterns,"(0, 0)",
113,field,floorpattern_plain,"(0, 0)",
114,field,floorpattern_fuzzy,"(0, 0)",
115,field,floorpattern_wood,"(0, 0)",
116,field,floorpattern_tiles2,"(0, 0)",
117,field,floorpattern_tiles3,"(0, 0)",
118,field,floorpattern_tiles5,"(0, 0)",
119,field,model_a.room,"(0, 0)",
120,field,model_b.room,"(0, 0)",
121,field,model_c.room,"(0, 0)",
122,field,model_d.room,"(0, 0)",
123,field,model_e.room,"(0, 0)",
124,field,model_f.room,"(0, 0)",
125,field,model_g.room,"(0, 0)",
126,field,model_h.room,"(0, 0)",
127,field,model_i.room,"(0, 0)",
128,field,model_j.room,"(0, 0)",
129,field,model_k.room,"(0, 0)",
130,field,model_l.room,"(0, 0)",
131,field,model_m.room,"(0, 0)",
132,field,model_n.room,"(0, 0)",
133,field,model_o.room,"(0, 0)",
134,field,model_p.room,"(0, 0)",
135,field,model_q.room,"(0, 0)",
136,field,model_r.room,"(0, 0)",
137,field,model_s.room,"(0, 0)",
143,bitmap,small_blockhilite,"(-1, 7)",
144,bitmap,left_swallpart_0_a_0_0_0,"(-16, 59)",
145,bitmap,left_swallmask_0_a_0_0_0,"(-16, 59)",
146,bitmap,right_swallpart_0_a_0_2_0,"(0, 60)",
147,bitmap,left_swallpart_1_a_0_0_0,"(-16, 59)",
148,bitmap,left_swallmask_1_a_0_0_0,"(-16, 59)",
149,bitmap,right_swallpart_1_a_0_2_0,"(0, 60)",
150,bitmap,left_swallend_0_b_0_0_0,"(0, 0)",
151,bitmap,right_swallend_0_b_0_2_0,"(0, 0)",
152,bitmap,left_swallpart2_0_a_0_0_0,"(-16, 75)",
153,bitmap,right_swallpart2_0_a_0_2_0,"(0, 76)",
154,bitmap,left_swallpart2_1_a_0_0_0,"(-16, 75)",
155,bitmap,right_swallpart2_1_a_0_2_0,"(0, 76)",
156,bitmap,left_swallend2_0_b_0_0_0,"(0, 0)",
157,bitmap,right_swallend2_0_b_0_2_0,"(0, 0)",
158,bitmap,right_sstairs1_0_a_0_2_0,"(0, 60)",
159,bitmap,right_sstairs1_1_a_0_2_0,"(0, 60)",
160,bitmap,right_sstairs2_0_a_0_2_0,"(0, 76)",
161,bitmap,right_sstairs2_1_a_0_2_0,"(0, 76)",
162,bitmap,left_sstairs1_0_a_0_2_0,"(-18, 60)",
163,bitmap,left_sstairs1_1_a_0_2_0,"(-18, 60)",
164,bitmap,left_sstairs2_0_a_0_2_0,"(-16, 75)",
165,bitmap,left_sstairs2_1_a_0_2_0,"(-16, 75)",
166,bitmap,flat_sfloor_0_a_0_0_0,"(-1, 0)",
167,bitmap,flat_sfloor_1_a_0_0_0,"(-1, 0)",
168,bitmap,flat_sfloor_2_a_0_0_0,"(-1, 0)",
169,bitmap,flat_sstair_0_a_0_0_0,"(0, 0)",
170,bitmap,flat_sstair_1_a_0_0_0,"(0, 0)",
171,bitmap,flat_sstair_2_a_0_0_0,"(0, 0)",
173,bitmap,leftdoor_open_small,"(-16, 41)",
174,bitmap,private_exitshape_small,"(-17, 40)",
175,bitmap,window_single_a_small,"(5, 0)",
176,bitmap,window_double_b_small,"(-13, -6)",
177,bitmap,window_double_c_small,"(4, 2)",
178,bitmap,window_double_d_small,"(-28, -13)",
179,bitmap,window_single_b_small,"(-13, -6)",
180,bitmap,leftdoor_open_small_mask,"(-16, 41)",
181,bitmap,flat_sstair_0_a_0_2_0,"(0, 0)",
182,bitmap,flat_sstair_1_a_0_2_0,"(0, 0)",
183,bitmap,flat_sstair_2_a_0_2_0,"(0, 0)",
184,bitmap,left_swallmask2_0_a_0_0_0,"(-16, 75)",
185,bitmap,left_swallmask2_1_a_0_0_0,"(-16, 75)",
186,bitmap,flat_edge_0_a_0_0_0,"(0, 0)",
187,bitmap,flat_edge_0_a_0_2_0,"(0, 0)",
188,bitmap,flat_sfloormask_0_a_0_0_0,"(1, 0)",
189,bitmap,flat_sfloormask_0_a_0_2_0,"(-1, 0)",
190,bitmap,flat_sfloormask_1_a_0_0_0,"(1, 0)",
191,bitmap,flat_sfloormask_1_a_0_2_0,"(-1, 0)",
192,bitmap,flat_vedge_0_a_0_0_0,"(0, 0)",
199,bitmap,left_swallmask2_3_a_0_0_0,"(-16, 75)",
200,bitmap,left_wallpart_3_a_0_0_0,"(-32, 115)",
201,bitmap,left_wallmask_3_a_0_0_0,"(-31, 115)",
202,bitmap,right_wallpart_3_a_0_2_0,"(0, 116)",
203,bitmap,left_wallend_3_b_0_0_0,"(-25, 99)",
204,bitmap,right_wallend_3_b_0_2_0,"(-32, 99)",
205,bitmap,left_wallpart2_3_a_0_0_0,"(-32, 146)",
206,bitmap,right_wallpart2_3_a_0_2_0,"(0, 147)",
207,bitmap,left_wallend2_3_b_0_0_0,"(-25, 130)",
208,bitmap,right_wallend2_3_b_0_2_0,"(-32, 131)",
