Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
4,script,Roomdimmer Interface Class,"(0, 0)",
5,script,Roomdimmer Component Class,"(0, 0)",
6,script,Roomdimmer Handler Class,"(0, 0)",
8,script,Furniture Roomdimmer Class,"(0, 0)",
9,script,Color Converter Class,"(0, 0)",
26,field,roomdimmer_control_panel.window,"(0, 0)",
46,palette,Roomdimmer palette,"(0, 0)",
47,bitmap,dimmer.bg.pattern,"(0, 0)",
48,bitmap,dimmer.preview.frame,"(0, 0)",
49,bitmap,dimmer.slider.scale,"(0, 0)",
50,bitmap,dimmer.slider.handle,"(0, 0)",
51,bitmap,dimmer.checkbox.checked,"(0, 0)",
52,bitmap,dimmer.checkbox.unchecked,"(0, 0)",
53,bitmap,pixel.black,"(0, 0)",
54,bitmap,dimmer.drag.pattern,"(0, 0)",
55,bitmap,dimmer.close,"(0, 0)",
56,bitmap,dimmer.preview.all,"(0, 0)",
57,bitmap,dimmer.preview.bg,"(0, 0)",
58,bitmap,dimmer.preview.fg,"(0, 0)",
59,bitmap,dimmer.button.radio.off,"(0, 0)",
60,bitmap,dimmer.button.radio.on,"(0, 0)",
61,bitmap,dimmer.color.highlighter,"(0, 0)",
62,bitmap,dimmer.button,"(0, 0)",
64,bitmap,dimmer.border.top,"(0, 0)",
65,bitmap,dimmer.border.left,"(0, 0)",
66,bitmap,dimmer.border.right,"(0, 0)",
67,bitmap,dimmer.border.bottom,"(0, 0)",
