Number,Type,Name,Registration Point,Filename
1,field,thread.index,"(0, 0)",
2,field,variable.index,"(0, 0)",
3,script,Hobba Interface Class,"(0, 0)",
4,script,Hobba Component Class,"(0, 0)",
5,script,Hobba Handler Class,"(0, 0)",
7,script,Server Date Class,"(0, 0)",
8,script,Connection Problem Class,"(0, 0)",
9,script,Element Bouncer Class,"(0, 0)",
10,script,CLangTest,"(0, 0)",
11,script,Figure Converter Class COPY,"(0, 0)",
19,script,Help Tooltip Manager Class,"(0, 0)",
20,script,Ticket Window Manager Class,"(0, 0)",
22,script,Date Class,"(0, 0)",
23,field,DefaultPartList COPY,"(0, 0)",
24,field,class.index,"(0, 0)",
26,field,habbo_lang_test.window,"(0, 0)",
27,field,plate_gold.window,"(0, 0)",
28,field,plate_silver.window,"(0, 0)",
29,field,plate_bronze.window,"(0, 0)",
30,field,habbo_modtool_main.window,"(0, 0)",
31,field,habbo_modtool_user.window,"(0, 0)",
32,field,habbo_modtool_room.window,"(0, 0)",
33,field,habbo_modtool_ban.window,"(0, 0)",
34,field,habbo_hobba_alert.window,"(0, 0)",
35,field,habbo_hobba_reply.window,"(0, 0)",
37,bitmap,trophyblink1,"(1, 1)",
38,bitmap,trophyblink2,"(2, 2)",
39,bitmap,trophyblink3,"(3, 3)",
40,bitmap,trophyblink4,"(3, 3)",
41,bitmap,trophyblink5,"(5, 5)",
42,bitmap,trophyblink6,"(5, 5)",
43,bitmap,trophyblink7,"(4, 4)",
44,bitmap,trophyblink8,"(1, 1)",
45,bitmap,trophyblink9,"(1, 1)",
47,palette,trophyinterface_s palette,"(0, 0)",
48,palette,trophyinterface_b palette,"(0, 0)",
49,palette,trophyinterface_g palette,"(0, 0)",
50,script,Sound API,"(0, 0)",
51,script,Sound Manager Class,"(0, 0)",
52,script,Sound Channel Class,"(0, 0)",
53,script,Sound Instance Class,"(0, 0)",
55,script,Error Report Interface Class,"(0, 0)",
56,script,Error Report Component Class,"(0, 0)",
57,script,Error Report Handler Class,"(0, 0)",
58,field,error_report_details.window,"(0, 0)",
59,field,error_report.window,"(0, 0)",
60,script,Game Oneclick Buy Window Manager Class,"(0, 0)",
63,script,Statistics Broker Class,"(0, 0)",
64,script,Statistics Broker Javascript Class,"(0, 0)",
67,sound,sound_cfh_received,"(0, 0)",
68,script,External Link Interface Class,"(0, 0)",
69,field,tooltip_external_link.window,"(0, 0)",
71,script,OLD Figure System Class,"(0, 0)",
72,script,OLD Figure Preview Class,"(0, 0)",
73,script,OLD Human Template Class,"(0, 0)",
74,script,OLD Bodypart Template Class,"(0, 0)",
75,script,OLD Swimmer Template Class,"(0, 0)",
76,script,OLD Swimpart Template Class,"(0, 0)",
